"","code","title","timing","scope","severity","score","invasive","sp"
"95","9.2.1","Oil spills","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Melanitta perspicillata"
"96","9.2.3","Type Unknown/Unrecorded","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Melanitta perspicillata"
"97","11.1","Habitat shifting & alteration","Ongoing","Whole (>90%)","Unknown","Unknown",NA,"Melanitta deglandi"
"98","11.5","Other impacts","Ongoing","Majority (50-90%)","Unknown","Unknown",NA,"Melanitta deglandi"
"99","3.1","Oil & gas drilling","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Melanitta deglandi"
"100","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Melanitta deglandi"
"101","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Melanitta deglandi"
"102","5.4","Fishing & harvesting aquatic resources","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Melanitta deglandi"
"103","5.4.4","Unintentional effects: (large scale) [harvest]","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Melanitta deglandi"
"104","6.1","Recreational activities","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Melanitta deglandi"
"105","9.2","Industrial & military effluents","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Melanitta deglandi"
"106","9.2","Industrial & military effluents","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Melanitta deglandi"
"107","9.2.1","Oil spills","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Melanitta deglandi"
"108","9.2.3","Type Unknown/Unrecorded","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Melanitta deglandi"
"109","11.1","Habitat shifting & alteration","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA,"Melanitta nigra"
"110","11.5","Other impacts","Future","Majority (50-90%)","Unknown","Unknown",NA,"Melanitta nigra"
"111","3.2","Mining & quarrying","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Melanitta nigra"
"112","3.3","Renewable energy","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Melanitta nigra"
