Common_Name,Scientific.name,Scientific_name,GBIF_ID,Dietary_Guild,Water_Forager,Ground.Understory_Forager,Midhigh.Canopy_Forager,Aerial_Forager,Foraging.Strata,Activity_Time,Global.IUCN.Red.List.Category,Annual_Trend,Mean_Wing_Length_.mm.,Mean_M_Wing_Length_.mm.,Mean_F_Wing_Length_.mm.,Mean_Tail_Length_.mm.,Mean_M_Tail_Length_.mm.,Mean_F_Tail_Length_.mm.,Mean_Bill_Length_.mm.,Mean_M_Bill_Length_.mm.,Mean_F_Bill_Length_.mm.,Wingspan_cm,Mean_Body_Length_.cm.,Mean_M_Body_Length_.cm.,Mean_F_Body_Length_.cm.,Mean_Body_Mass_.g.,Mean_F_Body_Mass_.g.,Mean_M_Body_Mass_.g.,Mean_Clutch_Size_.n.,Clutches_per_year,Life_Span_.years.,Generation_length,Number_of_Subspecies,Population_size_MIN,Population_size_MAX,Social,Flight_pattern,Migration.Distance,Migration.Status,Scienttific_name,Waterfowl,Birds.of.Prey,Wetland.Birds,Seabirds,Forest.Birds,All.Other.Birds.,Shorebirds,Grassland.Birds,Aerial.Insectivores,Waterfowl.and.Wetland.Birds...Goose.species._Sauvagine.et.oiseaux.de.milieux.humides...espèces.d.oies,Waterfowl.and.Wetland.Birds...Duck.Species._Sauvagine.et.oiseaux.de.milieux.humides...espèces.de.canards,Grassland.Birds...Species.Dependent.On.Native..Grassland._Oiseaux.de.prairie...espèces.dépendantes.des.prairies.indigènes,Grassland.Birds...Species.Tolerant.Of.Agriculture._Oiseaux.de.prairie...espèces.tolérantes.des.paysages.agricoles,Shorebirds...Long.distance.Migrants._Oiseaux.de.rivage.migrant.sur.de.grandes.distances,Shorebirds...Short.distance.Migrants._Oiseaux.de.rivage.migrant.sur.de.courtes.distances,Forest.Birds...Species.Wintering.In.South.America._Oiseaux.forestiers...espèces.hivernant.en.Amérique.du.Sud,Forest.Birds...Species.Wintering.In.Canada._Oiseaux.forestiers...espèces.hivernant.au.Canada,Forest.Birds...Forest.Crop.Specialists._Oiseaux.forestiers...spécialistes.de.graines.et.de.fruits.d.arbres
Bufflehead,Bucephala albeola,Bucephala_albeola,2498329,Invertebrate,100,0,0,0,Water,0,LC,2.83,172.92521,173,156,68.90002,74.7,65.7,27.31016,28.7,25.1,57.5,36.5,37.6,33,398.73,334.75,477,8.400544959,1,14.9,7.4,0,1200000,2765171.615,Flocks,Duck-like,long,Obligate,Bucephala albeola,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Common Goldeneye,Bucephala clangula,Bucephala_clangula,2498326,Invertebrate,100,0,0,0,Water,0,LC,0.505,211.5,220,203,81.05,84.6,77.5,31.35,33.3,29.4,80,46,59.194435,54.63917,884.83,728.1875,982,9.5,1,16.95833334,8,2,2700000,4700000,Flocks,Duck-like,short,Obligate,Bucephala clangula,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Barrow's Goldeneye,Bucephala islandica,Bucephala_islandica,2498325,Invertebrate,100,0,0,0,Water,0,LC,-1.33,227.5,237,218,86.95,88.9,85,31.85,33,30.7,73.5,47.5,63.90965333,58.02086,978.2616667,781.25,1193.375,9.5,1,15.66666667,6.5,0,175000,2.00E+05,Flocks,Duck-like,short,Obligate,Bucephala islandica,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hooded Merganser,Lophodytes cucullatus,Lophodytes_cucullatus,2498408,Omnivore,100,0,0,0,Water,0,LC,4.64,207.3417,204.56029,198.11265,80.47108333,83.25477714,76.41692,42.371115,44.132095,41.93456,63,46,49.167045,46.38926,615.385,617,617,11,1,11.3,6.3,0,7373151.884,9253711.468,Flocks,Duck-like,short,Obligate,Lophodytes cucullatus,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Common Merganser,Mergus merganser,Mergus_merganser,9537647,VertFishScav,100,0,0,0,Water,0,LC,0.402,273.5,285,262,102.5,105,100,52.25,55.8,48.7,86,62,62.44899833,58.66621,1449.673333,1226,1680,9.65,1,14.4,7.3,3,1700000,2400000,Flocks,Duck-like,short,Obligate,Mergus merganser,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Red-breasted Merganser,Mergus serrator,Mergus_serrator,2498375,VertFishScav,100,0,0,0,Water,0,LC,-2.48,237.5,247,228,78.8,81.2,76.4,55.65,59.2,52.1,70,55,63.01081333,58.12835,1046.584444,995,1108.5,9.05,1,15.16583333,7.3,0,495000,605000,Flocks/Colonies,Duck-like,short,Obligate,Mergus serrator,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ruddy Duck,Oxyura jamaicensis,Oxyura_jamaicensis,2498305,Invertebrate,100,0,0,0,Water,0,LC,0.922,146,149,143,68.5,68.8,68.2,39.4,40.4,38.4,59,38.55,49.09957,45.28083,572.7166667,529.5,600,8,1,13.8,6.2,0,2498228.114,3445976.98,Flocks,Duck-like,long,Obligate,Oxyura jamaicensis,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mountain Quail,Oreortyx pictus,Oreortyx_pictus,2474320,PlantSeed,0,100,0,0,Ground.Understory,0,LC,0.066429,145.25929,133.7,133.1,83.340105,86.1,82.7,15.82097,15.3,15.3,47.41199,27,29.817635,26.40809,233,231.85,239.85,10,1,9.935254,3.9,0,8642933.1,30631213.05,Family Groups,Grouse-like,non-migratory,Non-migratory,Oreortyx pictus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Bobwhite,Colinus virginianus,Colinus_virginianus,9791464,PlantSeed,0,100,0,0,Ground.Understory,0,NT,-18.7,116,116,116,151.2,146,156.3,14.16,14.124,13.823055,31.5,23.75,32.575265,29.26352,183.7411111,161.5,178,12.5,1.25,6.2,3.7,21,61696132.5,116668559.5,Flocks,Grouse-like,non-migratory,Non-migratory,Colinus virginianus,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
California Quail,Callipepla californica,Callipepla_californica,5228080,PlantSeed,0,100,0,0,Ground.Understory,0,LC,3.2,110,110,110,90.157405,89.2,83.8,13.62673,8.675,8.275,32.5,24,31.08852,29.15353,170.4,164.25,185.5,14,1,8.495833334,4,8,24014854.7,73499088.37,Flocks,Grouse-like,non-migratory,Non-migratory,Callipepla californica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
