,keyword,fr_count,fr_mean
488,Paon bleu,6259,28.19
489,Paon du Congo,2079,9.36
490,Paradisier de Raggi,766,3.43
491,Paradisier de Wallace,793,3.56
492,Paradisier du Prince Albert,584,2.62
493,Paradisier noir,764,3.43
494,Paradisier republicain,210,0.94
495,Paradisier rouge,835,3.74
496,Paradisier royal,1395,6.26
497,Paradisier sifilet,1659,7.44
498,Paradisier superbe,875,3.92
499,Paruline a croupion jaune,569,2.55
500,Paruline bleue,872,3.91
501,Paruline de Bachman,301,1.35
502,Paruline de Townsend,503,2.26
503,Paruline des buissons,138,0.62
504,Paruline des pins,459,2.06
505,Paruline des ruisseaux,692,3.10
506,Paruline du Canada,1994,8.94
507,Paruline flamboyante,1121,5.03
508,Paruline jaune,2044,9.17
509,Paruline noir et blanc,1022,4.58
510,Paruline obscure,441,1.98
511,Paruline rayee,465,2.09
512,Passerin indigo,1986,8.91
513,Passerin nonpareil,510,2.29
514,Pelican blanc,3749,16.89
515,Perdrix bartavelle,2943,13.26
516,Perdrix choukar,1648,7.42
517,Perdrix gambra,1576,7.10
518,Perdrix grise,5179,23.33
519,Perdrix rouge,7743,34.88
520,Perroquet de Meyer,1793,8.08
521,Perroquet jaco,2469,11.12
522,Perroquet youyou,5147,23.18
523,Perruche de Barraband,1491,6.72
524,Perruche de Latham,1535,6.91
525,Perruche de Pennant,3109,14.00
526,Perruche elegante,1131,5.09
527,Perruche melanure,2035,9.17
528,Perruche nocturne,875,3.94
529,Perruche omnicolore,4308,19.41
530,Perruche ondulee,6201,27.93
531,Perruche royale,3537,15.93
532,Perruche splendide,2926,13.18
533,Perruche turquoisine,3908,17.60
534,Petit Blongios,797,3.59
535,Petit Carouge,5434,24.37
536,Petit Chevalier,7400,33.33
537,Petit Corbeau,901.5,4.04
538,Petit Coucou,6998,31.52
539,Petit Faucon,3741,16.85
540,Petit Fournier,2170,9.77
541,Petit Garrot,2185,9.84
542,Petit Moineau,6668,29.90
543,Petit Pingouin,7912,35.64
544,Petite Buse,1531,6.90
545,Petite Nyctale,2236,10.07
546,Petite Spatule,4200,18.92
547,Petrel de Barau,691,3.11
548,Petrel de Bourbon,620,2.79
549,Petrel de Bulwer,589,2.65
550,Petrel geant,461,2.08
551,Petrel noir,1508,6.79
552,Phragmite aquatique,1827,8.19
553,Phragmite des joncs,1835,8.23
554,Pic a bec ivoire,341,1.54
555,Pic barre,2510,11.31
556,Pic bride,6216,28.00
557,Pic brun,1849,8.33
558,Pic casque,2371,10.68
559,Pic elegant,8186,36.87
560,Pic epeiche,7683,34.61
561,Pic epeichette,1213,5.46
562,Pic flamboyant,3548,15.98
563,Pic glandivore,837,3.77
564,Pic imperial,4070,18.33
565,Pic jaune,4776,21.51
566,Pic masque,1896,8.54
567,Pic mineur,3026,13.63
568,Pic noir,9372,42.22
569,Pic onde,5570,25.09
570,Pic roux,3001,13.52
571,Pic sultan,999,4.50
572,Pic tridactyle,742,3.34
573,Pic vert,11559,52.07
574,Pie bavarde,4185,18.77
575,Pigeon a collier blanc,361,1.63
576,Pigeon a couronne blanche,364,1.64
577,Pigeon biset,5323,23.98
578,Pigeon colombin,2776,12.50
579,Pigeon gris,2436,10.97
580,Pigeon marron,2740,12.34
581,Pigeon ramier,10002,45.05
582,Pigeon rose,8117,36.56
583,Pigeon simple,5991,26.99
584,Pigeon violet,2172,9.78
585,Pinson bleu,1835,8.23
586,Pinson des arbres,5214,23.38
587,Pinson du Nord,3212,14.40
588,Pintade de Numidie,2021,9.10
589,Pintade vulturine,589,2.65
590,Pipit de Godlewski,297,1.33
591,Pipit des arbres,1849,8.29
592,Pipit farlouse,4234,18.99
593,Pipit jaunatre,210,0.94
