,keyword,mean
506,Paruline du Canada,8.941704036
507,Paruline flamboyante,5.02690583
508,Paruline jaune,9.165919283
509,Paruline noir et blanc,4.582959641
510,Paruline obscure,1.977578475
511,Paruline rayee,2.085201794
512,Passerin indigo,8.905829596
513,Passerin nonpareil,2.286995516
514,Pelican blanc,16.88738739
515,Perdrix bartavelle,13.25675676
516,Perdrix choukar,7.423423423
517,Perdrix gambra,7.099099099
518,Perdrix grise,23.32882883
519,Perdrix rouge,34.87837838
520,Perroquet de Meyer,8.076576577
521,Perroquet jaco,11.12162162
522,Perroquet youyou,23.18468468
523,Perruche de Barraband,6.716216216
524,Perruche de Latham,6.914414414
525,Perruche de Pennant,14.0045045
526,Perruche elegante,5.094594595
527,Perruche melanure,9.166666667
528,Perruche nocturne,3.941441441
529,Perruche omnicolore,19.40540541
530,Perruche ondulee,27.93243243
531,Perruche royale,15.93243243
532,Perruche splendide,13.18018018
533,Perruche turquoisine,17.6036036
534,Petit Blongios,3.59009009
535,Petit Carouge,24.367713
536,Petit Chevalier,33.33333333
537,Petit Corbeau,4.042600897
538,Petit Coucou,31.52252252
539,Petit Faucon,16.85135135
540,Petit Fournier,9.774774775
541,Petit Garrot,9.842342342
542,Petit Moineau,29.90134529
543,Petit Pingouin,35.63963964
544,Petite Buse,6.896396396
545,Petite Nyctale,10.07207207
546,Petite Spatule,18.91891892
547,Petrel de Barau,3.112612613
548,Petrel de Bourbon,2.792792793
549,Petrel de Bulwer,2.653153153
550,Petrel geant,2.076576577
551,Petrel noir,6.792792793
552,Phragmite aquatique,8.192825112
553,Phragmite des joncs,8.228699552
554,Pic a bec ivoire,1.536036036
555,Pic barre,11.30630631
556,Pic bride,28
557,Pic brun,8.328828829
558,Pic casque,10.68018018
559,Pic elegant,36.87387387
560,Pic epeiche,34.60810811
561,Pic epeichette,5.463963964
562,Pic flamboyant,15.98198198
563,Pic glandivore,3.77027027
564,Pic imperial,18.33333333
565,Pic jaune,21.51351351
566,Pic masque,8.540540541
567,Pic mineur,13.63063063
568,Pic noir,42.21621622
569,Pic onde,25.09009009
570,Pic roux,13.51801802
571,Pic sultan,4.5
572,Pic tridactyle,3.342342342
573,Pic vert,52.06756757
574,Pie bavarde,18.76681614
575,Pigeon a collier blanc,1.626126126
576,Pigeon a couronne blanche,1.63963964
577,Pigeon biset,23.97747748
578,Pigeon colombin,12.5045045
579,Pigeon gris,10.97297297
580,Pigeon marron,12.34234234
581,Pigeon ramier,45.05405405
582,Pigeon rose,36.56306306
583,Pigeon simple,26.98648649
584,Pigeon violet,9.783783784
585,Pinson bleu,8.228699552
586,Pinson des arbres,23.38116592
587,Pinson du Nord,14.40358744
588,Pintade de Numidie,9.103603604
589,Pintade vulturine,2.653153153
590,Pipit de Godlewski,1.331838565
591,Pipit des arbres,8.291479821
592,Pipit farlouse,18.98654709
593,Pipit jaunatre,0.941704036
594,Pipit maritime,10.14798206
595,Pipit rousseline,5.834080717
596,Pipit spioncelle,8.937219731
597,Piranga ecarlate,5.094170404
598,Pitohui bicolore,6.135135135
599,Plectrophane des neiges,8.304932735
600,Plongeon arctique,6.828828829
601,Plongeon catmarin,5.81981982
602,Plongeon du Pacifique,0.936936937
603,Plongeon huard,10.58558559
604,Pluvier asiatique,1.193693694
605,Pluvier kildir,4.905405405
606,Pluvier roux,3.153153153
607,Pluvier siffleur,5.801801802
608,Podarge de Ceylan,3.671171171
609,Podarge gris,5.869369369
610,Podarge oreillard,1.054054054
611,Pouillot brun,5.125560538
612,Pouillot de Bonelli,5.367713004
613,Pouillot de Hume,1.695067265
614,Pouillot de Pallas,4.784753363
615,Pouillot de Schwarz,1.739910314
616,Pouillot fitis,14.7309417
617,Pouillot oriental,1.080717489
618,Pouillot siffleur,14.71300448
619,Pouillot veloce,6.529147982
620,Puffin a bec grele,0.815315315
621,Puffin des Anglais,5.873873874
622,Puffin fouquet,1.599099099
623,Puffin fuligineux,2.175675676
624,Puffin yelkouan,3.54954955
625,Pygargue a queue blanche,5.846846847
626,Pygargue a tete blanche,11.95945946
627,Pygargue blagre,2.995495495
628,Pygargue empereur,1.752252252
629,Quetzal resplendissant,6.54954955
630,Quiscale merle,7.919282511
631,Quiscale noir,7.901345291
632,Quiscale rouilleux,8.968609865
633,Rale de Cuvier,0.738738739
634,Rale des genets,12.03603604
635,Republicain social,12.57847534
636,Robin dore,10.22421525
637,Roitelet huppe,6.69058296
638,Rollier a longs brins,2.887387387
639,Roselin cramoisi,3.551569507
640,Roselin familier,5.286995516
641,Roselin githagine,3.408071749
642,Roselin rose,10.57847534
643,Rossignol bleu,14.59192825
644,Rossignol philomele,3.255605381
645,Rougegorge familier,4.304932735
646,Rougequeue a front blanc,5.726457399
647,Rougequeue noir,16.47982063
648,Rousserolle effarvatte,5.560538117
649,Rousserolle isabelle,1.497757848
650,Rousserolle turdoide,5.502242152
651,Rousserolle verderolle,2.865470852
652,Sarcelle de Bernier,1.396396396
653,Sarcoramphe roi,2.725225225
654,Serin cini,33.34080717
655,Serin des Canaries,6.215246637
656,Serin du Mozambique,12.86098655
657,Sittelle corse,6.3632287
658,Sittelle kabyle,2.744394619
659,Sittelle torchepot,26.78475336
660,Solitaire masque,9.358744395
661,Souimanga siparaja,3.269058296
662,Spatule blanche,13.25225225
663,Starique de Cassin,0.581081081
664,Sterne arctique,8.684684685
665,Sterne caspienne,3.720720721
666,Sterne caugek,5.765765766
667,Sterne de Dougall,4.855855856
668,Sterne de Forster,2.099099099
669,Sterne diamant,11.16666667
670,Sterne fuligineuse,6.864864865
671,Sterne hansel,4.220720721
672,Sterne inca,6.211711712
673,Sterne naine,7.405405405
674,Sterne pierregarin,12.45045045
675,Stourne luisant,0.748878924
676,Strigops kakapo,4.445945946
677,Tadorne casarca,20.25225225
678,Tadorne de Belon,8.531531532
679,Tantale ibis,3.896396396
680,Tarin de Magellan,18.34977578
681,Tarin des aulnes,19.04932735
682,Tarin des pins,7.99103139
683,Tarin rouge,16.17040359
684,Tchitrec du Japon,3.738738739
685,Tetras lyre,17.5045045
686,Tichodrome echelette,7.161434978
687,Tisserin gendarme,6.609865471
688,Todier de Cuba,3.711711712
689,Torcol fourmilier,10.5990991
690,Toucan ariel,5.657657658
691,Toucan bleu,17.87387387
692,Toucan toco,17.72072072
693,Toui catherine,10.65315315
694,Toui celeste,18.16666667
695,Touraco de Livingstone,6.184684685
696,Touraco vert,5.40990991
697,Tourterelle des bois,14.38288288
698,Tourterelle rieuse,9.355855856
699,Tourterelle triste,9.585585586
700,Tourterelle turque,26.66216216
701,Tragopan de Temminck,3.427927928
702,Tragopan satyre,5.018018018
703,Traquet isabelle,3.995515695
704,Traquet kurde,3.744394619
705,Traquet motteux,11.12107623
706,Traquet oreillard,4.313901345
707,Traquet pie,2.430493274
708,Troglodyte arada,1.520179372
709,Troglodyte des rochers,4.488789238
710,Troglodyte familier,3.390134529
711,Troglodyte mignon,27.17488789
712,Trogon de Cuba,6.432432432
713,Trogon elegant,11.72072072
714,Trogon narina,12.12162162
715,Tyran tritri,7.572072072
716,Urubu a tete rouge,5.540540541
717,Urubu noir,10.22072072
