"","Var1","Freq"
"562","Calidris pygmaea",16
"563","Calidris ruficollis",8
"564","Calidris subminuta",1
"565","Calidris subruficollis",18
"566","Calidris temminckii",15
"567","Calidris tenuirostris",17
"568","Calidris virgata",1
"569","Caligavis chrysops",1
"570","Callaeas cinereus",16
"571","Callaeas wilsoni",16
"572","Calliope obscura",9
"573","Calliope pectardens",4
"574","Callocephalon fimbriatum",1
"575","Caloenas nicobarica",10
"576","Calonectris borealis",16
"577","Calonectris diomedea",9
"578","Calonectris edwardsii",4
"579","Calonectris leucomelas",14
"580","Caloperdix oculeus",2
"581","Caloramphus hayii",4
"582","Calyptomena hosii",10
"583","Calyptomena viridis",10
"584","Calyptophilus frugivorus",4
"585","Calyptophilus tertius",10
"586","Calyptorhynchus lathami",1
"587","Calyptura cristata",5
"588","Campephilus gayaquilensis",4
"589","Campephilus imperialis",5
"590","Campephilus magellanicus",1
"591","Campephilus principalis",7
"592","Campephilus splendens",8
"593","Campethera notata",4
"594","Campicoloides bifasciatus",1
"595","Camptorhynchus labradorius",4
"596","Campylopterus calcirupicola",14
"597","Campylopterus diamantinensis",6
"598","Campylopterus ensipennis",9
"599","Campylopterus hyperythrus",1
"600","Campylopterus largipennis",7
"601","Campylopterus phainopeplus",12
"602","Campylopterus villaviscensio",9
"603","Campylorhamphus multostriatus",6
"604","Campylorhynchus yucatanicus",3
"605","Canirallus oculeus",2
"606","Capito dayi",4
"607","Capito fitzpatricki",5
"608","Capito hypoleucus",9
"609","Capito quinticolor",8
"610","Capito squamatus",9
"611","Capito wallacei",5
"612","Caprimulgus centralasicus",6
"613","Caprimulgus concretus",12
"614","Caprimulgus phalaena",6
"615","Caprimulgus prigoginei",4
"616","Caprimulgus pulchellus",8
"617","Caprimulgus solala",8
"618","Caracara lutosa",4
"619","Cardellina versicolor",15
"620","Carduelis carduelis",3
"621","Carpococcyx radiceus",6
"622","Carpococcyx renauldi",8
"623","Carpococcyx viridis",4
"624","Carpodacus ferreorostris",6
"625","Carpodectes antoniae",9
"626","Carpornis cucullata",8
"627","Carpornis melanocephala",8
"628","Caryothraustes erythromelas",7
"629","Casuarius bennetti",12
"630","Casuarius casuarius",22
"631","Casuarius unappendiculatus",6
"632","Catharacta antarctica",2
"633","Catharacta chilensis",5
"634","Catharacta skua",5
"635","Catharopeza bishopi",7
"636","Catharus bicknelli",11
"637","Catharus dryas",2
"638","Catharus gracilirostris",1
"639","Catharus guttatus",1
"640","Catreus wallichii",19
