threatened,masscentr,rangecentr,Migration,agriculture,climate_change,invasive,resource_use
1,-2.473650824,-5.779870756,1,1,1,1,0
0,-1.573275547,2.05807508,3,1,0,0,1
0,-1.169594561,-4.530109942,1,0,0,0,1
0,-1.862741741,-2.284945251,1,1,1,0,1
0,-0.877458138,-0.982074228,1,1,1,0,0
1,-0.132351219,-4.85286649,1,1,0,0,1
1,-2.282595587,-4.832583574,1,1,1,1,1
0,-2.103903798,1.09863487,1,1,1,0,1
1,-1.611427313,-3.526785493,1,1,0,0,0
0,-2.250507272,0.67126654,2,1,0,0,1
1,-1.668585727,-0.26858762,1,1,0,0,1
1,-1.827650422,-1.064041895,1,1,0,0,1
0,-1.773946243,-0.50437667,1,1,0,0,1
1,-1.17676305,-0.25156371,3,1,1,1,1
0,-2.000363119,2.32217,1,0,1,0,0
0,-1.166029495,0.3501806,1,0,1,0,0
0,-1.127630362,4.46724645,1,0,0,0,1
0,-1.127630362,-2.259387659,1,1,0,0,1
0,-0.990253632,1.83042894,1,1,0,0,0
0,-0.612021675,-0.69483618,1,0,0,0,1
0,-0.392565896,-2.649326078,1,0,0,0,1
1,-0.298600104,1.44601045,1,1,0,0,1
1,-0.392565896,-6.232115772,1,0,1,1,0
1,-0.392565896,-4.940651771,1,1,0,0,1
1,-0.070982272,-3.585334994,1,0,0,0,1
1,-2.150423814,-2.995499741,1,1,0,0,1
1,-2.03369954,-3.445678476,1,1,0,0,0
0,-1.443091998,-2.705103734,1,1,0,0,1
0,-1.443091998,-2.365633748,1,1,0,0,1
0,-1.443091998,-1.762178182,1,1,0,0,1
0,-1.443091998,-3.278134522,1,1,0,0,1
0,-1.433746136,-0.5482627,1,1,0,0,1
0,-1.622600614,-0.75934238,1,1,0,0,1
0,-0.371444071,-4.718137137,1,1,0,1,0
0,-0.579825735,-5.920845023,1,1,0,1,0
0,0.488633516,-4.306750455,1,1,0,0,1
1,-1.375038535,0.65004014,1,1,1,0,1
1,-0.371444071,-4.94690232,1,1,0,1,0
1,-1.611427313,-4.494935169,1,1,0,0,1
0,-2.385543556,4.96548173,1,1,0,0,0
0,-2.513924723,2.17425166,1,1,0,0,1
0,-1.107290677,-4.300945161,1,0,1,0,0
0,1.83838385,6.18962534,1,0,1,0,0
0,-2.085885293,-0.80681584,1,1,0,0,1
1,-2.209264314,-1.945995073,1,1,0,0,1
1,-1.546888792,0.33309943,3,0,1,1,0
1,-1.605887133,-0.42681104,1,1,0,0,1
0,-2.050793973,2.34122292,1,1,0,0,0
0,-2.304574494,2.45720899,1,0,1,0,0
0,-2.219416685,-1.449393888,1,1,0,0,1
0,-1.79374887,-0.44826388,1,1,1,0,0
0,-1.79374887,-0.09979549,1,1,0,0,1
1,-1.63959819,-1.816286514,1,0,1,1,1
0,0.631643652,-2.134476667,2,1,0,1,1
0,-1.884403238,-2.825124932,1,0,0,0,1
0,-2.076996345,-1.947903343,1,1,0,0,1
1,-2.103903798,-3.951500055,1,1,1,0,1
0,-2.150423814,2.43111402,1,1,0,0,0
0,-1.011370556,0.21402149,1,1,0,0,0
0,0.454027987,3.29783621,1,1,0,0,0
0,-0.260472318,-4.601220757,1,0,1,0,1
0,-1.011370556,-0.53870928,1,1,0,0,0
0,-0.749944818,1.73329495,1,1,0,0,1
0,0.96626107,1.29948274,1,1,0,0,1
0,0.100366606,2.98016164,1,1,0,0,1
1,0.454027987,-0.952707294,1,1,0,0,1
1,-0.503598369,-0.29377807,2,1,0,0,1
1,0.396040729,0.88142049,1,1,0,0,0
1,0.645695406,0.76655453,1,1,0,0,1
1,0.454027987,-1.307039182,1,1,0,0,1
1,0.454027987,-0.55844236,1,1,0,0,1
1,-0.715339289,0.93492013,1,1,0,0,0
0,-2.076996345,-1.458385359,1,0,0,0,0
0,3.365306429,5.9274253,1,0,0,1,1
0,-2.261089382,0.6123176,1,0,1,0,0
0,-1.158937266,0.51075812,1,1,0,0,0
1,-2.094853963,1.49530849,1,1,0,0,1
1,-2.229673185,0.44334103,2,1,0,0,0
0,-1.401706782,5.92958328,3,0,0,1,0
0,-2.103903798,3.04583939,1,1,0,0,0
0,-1.158937266,-2.621476641,1,0,1,0,0
0,-1.80717189,-5.828388106,1,1,0,0,0
1,-2.094853963,-4.575781023,1,1,0,0,1
1,-2.113036282,-5.619309176,1,1,1,0,0
0,-1.628234431,1.40299768,1,1,0,0,1
0,0.840535181,2.37203644,1,0,0,0,1
0,-2.599691545,-5.183366417,1,0,1,0,1
0,-1.077536416,1.93111289,1,1,1,0,0
1,-2.122252937,-7.069220348,1,0,1,1,0
1,-2.042210229,-2.163755161,1,1,0,0,0
0,-1.388283762,0.77706308,1,1,0,0,0
0,-2.14094507,2.2368965,1,0,1,0,0
1,-0.414143497,4.98371528,3,0,1,0,1
0,0.039365785,-1.332600121,1,1,0,0,1
0,-1.224654338,3.40609224,1,0,1,1,1
0,-2.059452036,-2.705079723,1,0,0,0,1
1,-2.271784671,-5.053657168,1,1,1,1,1
0,-2.050793973,3.1222578,1,1,1,1,0
0,-2.14094507,-1.653784737,1,1,0,0,1
0,-2.059452036,0.54928592,1,1,0,0,0
0,-1.158937266,-0.73225771,1,0,1,0,1
0,-2.304574494,1.53419252,1,1,0,0,0
0,0.052077821,-3.468817752,1,1,0,0,1
0,-2.076996345,0.87547745,1,1,0,0,1
