"","species_names","iucn_pull"
"355","Chiroxiphia linearis","Unknown"
"356","Lemur catta","Unknown"
"357","Pan paniscus","Unknown"
"358","Gorilla gorilla","Unknown"
"359","Chiroxiphia linearis","Unknown"
"360","Lemur catta","Unknown"
"361","Pan paniscus","Unknown"
"362","Gorilla gorilla","Unknown"
"363","Chiroxiphia linearis","Unknown"
"364","Lemur catta","Unknown"
"365","Pan paniscus","Unknown"
"366","Gorilla gorilla","Unknown"
"367","Chiroxiphia linearis","Unknown"
"368","Lemur catta","Unknown"
"369","Pan paniscus","Unknown"
"370","Gorilla gorilla","Unknown"
"371","Chiroxiphia linearis","Unknown"
"372","Lemur catta","Unknown"
"373","Pan paniscus","Unknown"
"374","Gorilla gorilla","Unknown"
"375","Chiroxiphia linearis","Unknown"
"376","Lemur catta","Unknown"
"377","Pan paniscus","Unknown"
"378","Gorilla gorilla","Unknown"
"379","Chiroxiphia linearis","Unknown"
"380","Lemur catta","Unknown"
"381","Pan paniscus","Unknown"
"382","Gorilla gorilla","Unknown"
"383","Chiroxiphia linearis","Unknown"
"384","Lemur catta","Unknown"
"385","Pan paniscus",NA
"386","Gorilla gorilla",NA
"387","Chiroxiphia linearis",NA
"388","Lemur catta",NA
"389","Pan paniscus",NA
"390","Gorilla gorilla",NA
"391","Chiroxiphia linearis",NA
"392","Lemur catta",NA
"393","Pan paniscus",NA
"394","Gorilla gorilla",NA
"395","Chiroxiphia linearis",NA
"396","Lemur catta",NA
