"","count","result.taxonid","result.scientific_name","result.subspecies","result.rank","result.subpopulation","result.category"
"450",11162,22686268,"Amazona finschi",NA,NA,NA,"EN"
"451",11162,45430583,"Amazona guatemalae",NA,NA,NA,"NT"
"452",11162,22686403,"Amazona guildingii",NA,NA,NA,"VU"
"453",11162,22686411,"Amazona imperialis",NA,NA,NA,"CR"
"454",11162,22686363,"Amazona kawalli",NA,NA,NA,"NT"
"455",11162,22686201,"Amazona leucocephala",NA,NA,NA,"NT"
"456",11162,22728296,"Amazona lilacina",NA,NA,NA,"CR"
"457",11162,22728705,"Amazona martinicana",NA,NA,NA,"EX"
"458",11162,22686354,"Amazona mercenarius",NA,NA,NA,"LC"
"459",11162,22686346,"Amazona ochrocephala",NA,NA,NA,"LC"
"460",11162,22686337,"Amazona oratrix",NA,NA,NA,"EN"
"461",11162,22686251,"Amazona pretrei",NA,NA,NA,"VU"
"462",11162,22686288,"Amazona rhodocorytha",NA,NA,NA,"VU"
"463",11162,22686246,"Amazona tucumana",NA,NA,NA,"VU"
"464",11162,22686215,"Amazona ventralis",NA,NA,NA,"VU"
"465",11162,22686387,"Amazona versicolor",NA,NA,NA,"VU"
"466",11162,22686374,"Amazona vinacea",NA,NA,NA,"EN"
"467",11162,22728701,"Amazona violacea",NA,NA,NA,"EX"
"468",11162,22686259,"Amazona viridigenalis",NA,NA,NA,"EN"
"469",11162,22686239,"Amazona vittata",NA,NA,NA,"CR"
"470",11162,22686226,"Amazona xantholora",NA,NA,NA,"LC"
"471",11162,22680115,"Amazonetta brasiliensis",NA,NA,NA,"LC"
"472",11162,22724065,"Amblycercus holosericeus",NA,NA,NA,"LC"
"473",11162,22703657,"Amblyornis flavifrons",NA,NA,NA,"LC"
"474",11162,22703644,"Amblyornis inornata",NA,NA,NA,"LC"
"475",11162,22703651,"Amblyornis macgregoriae",NA,NA,NA,"LC"
"476",11162,22703654,"Amblyornis subalaris",NA,NA,NA,"LC"
"477",11162,22719260,"Amblyospiza albifrons",NA,NA,NA,"LC"
"478",11162,22724265,"Amblyramphus holosericeus",NA,NA,NA,"LC"
"479",11162,22721150,"Ammodramus aurifrons",NA,NA,NA,"LC"
"480",11162,22721147,"Ammodramus humeralis",NA,NA,NA,"LC"
"481",11162,22721144,"Ammodramus savannarum",NA,NA,NA,"LC"
"482",11162,22717236,"Ammomanes cinctura",NA,NA,NA,"LC"
"483",11162,22717254,"Ammomanes deserti",NA,NA,NA,"LC"
"484",11162,22717247,"Ammomanes phoenicura",NA,NA,NA,"LC"
"485",11162,22717258,"Ammomanopsis grayi",NA,NA,NA,"LC"
"486",11162,22701823,"Ammonastes pelzelni",NA,NA,NA,"LC"
"487",11162,22678652,"Ammoperdix griseogularis",NA,NA,NA,"LC"
"488",11162,22678657,"Ammoperdix heyi",NA,NA,NA,"LC"
"489",11162,22721129,"Ammospiza caudacuta",NA,NA,NA,"EN"
"490",11162,22721135,"Ammospiza leconteii",NA,NA,NA,"LC"
"491",11162,22721123,"Ammospiza maritima",NA,NA,NA,"LC"
"492",11162,22728393,"Ammospiza nelsoni",NA,NA,NA,"LC"
"493",11162,22710949,"Ampeliceps coronatus",NA,NA,NA,"LC"
"494",11162,22700815,"Ampelioides tschudii",NA,NA,NA,"LC"
"495",11162,22700753,"Ampelion rubrocristatus",NA,NA,NA,"LC"
"496",11162,22700761,"Ampelion rufaxilla",NA,NA,NA,"LC"
"497",11162,22701847,"Ampelornis griseiceps",NA,NA,NA,"VU"
"498",11162,22721194,"Amphispiza bilineata",NA,NA,NA,"LC"
"499",11162,22721200,"Amphispiza quinquestriata",NA,NA,NA,"LC"
"500",11162,22735654,"Amytornis ballarae",NA,NA,NA,"LC"
"501",11162,22703780,"Amytornis barbatus",NA,NA,NA,"LC"
"502",11162,22703786,"Amytornis dorotheae",NA,NA,NA,"VU"
