"","x"
"786","Spotted Crake"
"787","Australian Crake"
"788","Ruddy-breasted Crake"
"789","Band-bellied Crake"
"790","Brown Crake"
"791","Black Crake"
"792","Little Crake"
"793","Baillon's Crake"
"794","Sakalava Rail"
"795","Black-tailed Crake"
"796","Henderson Crake"
"797","Spotless Crake"
"798","Isabelline Bush-hen"
"799","Philippine Bush-hen"
"800","Talaud Bush-hen"
"801","Pale-vented Bush-hen"
"802","White-breasted Waterhen"
"803","White-browed Crake"
"804","Striped Crake"
"805","New Guinea Flightless Rail"
"806","Watercock"
"807","Purple Swamphen"
"808","South Island Takahe"
"809","Allen's Gallinule"
"810","Purple Gallinule"
"811","Azure Gallinule"
"812","Makira Moorhen"
"813","Samoan Moorhen"
"814","Gough Moorhen"
"815","Common Moorhen"
"816","Common Gallinule"
"817","Dusky Moorhen"
"818","Lesser Moorhen"
"819","Spot-flanked Gallinule"
"820","Black-tailed Native-hen"
"821","Tasmanian Native-hen"
"822","Red-knobbed Coot"
"823","Common Coot"
"824","Hawaiian Coot"
"825","American Coot"
"826","White-winged Coot"
"827","Andean Coot"
"828","Red-gartered Coot"
"829","Red-fronted Coot"
"830","Giant Coot"
"831","Horned Coot"
"832","Grey-winged Trumpeter"
"833","Ochre-winged Trumpeter"
"834","White-winged Trumpeter"
"835","Green-winged Trumpeter"
"836","Olive-winged Trumpeter"
"837","Black-winged Trumpeter"
"838","Limpkin"
"839","Grey Crowned Crane"
"840","Black Crowned Crane"
"841","Siberian Crane"
"842","Wattled Crane"
"843","Blue Crane"
"844","Demoiselle Crane"
"845","Red-crowned Crane"
"846","Whooping Crane"
"847","Common Crane"
"848","Hooded Crane"
"849","Black-necked Crane"
"850","Little Bustard"
"851","Great Bustard"
"852","African Houbara"
"853","Asian Houbara"
"854","Hartlaub's Bustard"
"855","Black-bellied Bustard"
"856","Ludwig's Bustard"
"857","Denham's Bustard"
"858","Heuglin's Bustard"
"859","Nubian Bustard"
"860","Arabian Bustard"
"861","Kori Bustard"
"862","Great Indian Bustard"
"863","Australian Bustard"
"864","Bengal Florican"
"865","Lesser Florican"
"866","Savile's Bustard"
"867","Buff-crested Bustard"
"868","Red-crested Bustard"
"869","Karoo Bustard"
"870","Rüppell's Bustard"
"871","Little Brown Bustard"
"872","Southern Black Bustard"
"873","Northern Black Bustard"
"874","White-bellied Bustard"
"875","Blue Bustard"
"876","Great Blue Turaco"
"877","White-bellied Go-away-bird"
"878","Eastern Plantain-eater"
"879","Western Plantain-eater"
"880","Brown-faced Go-away-bird"
"881","Black-faced Go-away-bird"
"882","Grey Go-away-bird"
"883","Purple-crested Turaco"
"884","Ruwenzori Turaco"
"885","Schalow's Turaco"
"886","Hartlaub's Turaco"
"887","Black-billed Turaco"
"888","Livingstone's Turaco"
"889","Fischer's Turaco"
"890","Knysna Turaco"
"891","Green Turaco"
"892","White-cheeked Turaco"
"893","Ruspoli's Turaco"
"894","Bannerman's Turaco"
"895","Red-crested Turaco"
"896","White-crested Turaco"
"897","Yellow-billed Turaco"
"898","Ross's Turaco"
"899","Violet Turaco"
"900","Red-throated Loon"
"901","Arctic Loon"
"902","Pacific Loon"
"903","Common Loon"
"904","Yellow-billed Loon"
"905","King Penguin"
"906","Emperor Penguin"
"907","Gentoo Penguin"
"908","Adelie Penguin"
"909","Chinstrap Penguin"
"910","Royal Penguin"
"911","Macaroni Penguin"
"912","Northern Rockhopper Penguin"
"913","Southern Rockhopper Penguin"
"914","Erect-crested Penguin"
"915","Fiordland Penguin"
"916","Snares Penguin"
