,species,English.name,French.name,Spanish.name
10017,Peucaea cassinii,Cassin's Sparrow,Bruant de Cassin,Chingolo de Cassin
10018,Peucaea aestivalis,Bachman's Sparrow,Bruant des pinedes,Chingolo de Bachman
10019,Arremonops rufivirgatus,Olive Sparrow,Tohi olive,Cerquero Olivaceo
10020,Arremonops chloronotus,Green-backed Sparrow,Tohi a dos vert,Cerquero Dorsiverde
10021,Arremonops tocuyensis,Tocuyo Sparrow,Tohi de Tocuyo,Cerquero de El Tocuyo
10022,Arremonops conirostris,Black-striped Sparrow,Tohi ligne,Cerquero Negrilistado
10023,Ammodramus savannarum,Grasshopper Sparrow,Bruant sauterelle,Chingolo Saltamontes
10024,Ammodramus humeralis,Grassland Sparrow,Bruant des savanes,Chingolo Pajonalero
10025,Ammodramus aurifrons,Yellow-browed Sparrow,Bruant a front d'or,Chingolo Cejigualdo
10026,Oreothraupis arremonops,Tanager Finch,Tohi elegant,Cerquero Tangarino
10027,Chlorospingus flavopectus,Common Bush-tanager,Chlorospin des buissons,Clorospingo Comun
10028,Chlorospingus tacarcunae,Tacarcuna Bush-tanager,Chlorospin du Tacarcuna,Cloroapingo del Tacarcuna
10029,Chlorospingus inornatus,Pirre Bush-tanager,Chlorospin du Pirre,Clorospingo del Pirre
10030,Chlorospingus semifuscus,Dusky Bush-tanager,Chlorospin ombre,Clorospingo Oscuro
10031,Chlorospingus pileatus,Sooty-capped Bush-tanager,Chlorospin a sourcils brises,Clorospingo Cejiblanco
10032,Chlorospingus parvirostris,Short-billed Bush-Tanager,Chlorospin a bec court,Clorospingo Bigotudo
10033,Chlorospingus hypophaeus,Orange-throated Bush-tanager,NA,NA
10034,Chlorospingus flavigularis,Yellow-throated Bush-tanager,Chlorospin a gorge jaune,Clorospingo Gorjiamarillo
10035,Chlorospingus canigularis,Ashy-throated Bush-tanager,Chlorospin a gorge grise,Clorospingo Gorjigris
10036,Arremon crassirostris,Sooty-faced Finch,Tohi masque,Cerquero Carisucio
10037,Arremon castaneiceps,Olive Finch,Tohi lysure,Cerquero Capirrufo
10038,Arremon brunneinucha,Chestnut-capped Brush-finch,Tohi a nuque brune,Cerquero Coronicastano
10039,Arremon virenticeps,Green-striped Brush-finch,Tohi a raies vertes,Cerquero Verdilistado
10040,Arremon costaricensis,Costa Rican Brush-finch,Tohi du Costa Rica,Cerquero Costarricense
10041,Arremon assimilis,Grey-browed Brush-finch,Tohi a raies grises,Cerquero Picofino
10042,Arremon basilicus,Sierra Nevada Brush-finch,Tohi de Bangs,Cerquero de Bangs
10043,Arremon perijanus,Perija Brush-finch,Tohi de la Perija,Cerquero del Perija
10044,Arremon torquatus,White-browed Brush-finch,Tohi a tete rayee,Cerquero Cabecilistado
10045,Arremon atricapillus,Black-headed Brush-finch,Tohi a tete noire,Cerquero Cabecinegro
10046,Arremon phaeopleurus,Caracas Brush-finch,Tohi de Sclater,Cerquero de Sclater
10047,Arremon phygas,Paria Brush-finch,Tohi de Berlepsch,Cerquero de Berlepsch
10048,Arremon dorbignii,Stripe-crowned Sparrow,Tohi de d'Orbigny,Cerquero Cejilargo
10049,Arremon flavirostris,Saffron-billed Sparrow,Tohi a bec jaune,Cerquero Piquiamarillo
10050,Arremon axillaris,Yellow-mandibled Sparrow,NA,NA
10051,Arremon taciturnus,Pectoral Sparrow,Tohi silencieux,Cerquero Pectoral
10052,Arremon semitorquatus,Half-collared Sparrow,Tohi a semi-collier,Cerquero Semiacollarado
10053,Arremon franciscanus,Sao Francisco Sparrow,Tohi du Sao Francisco,Cerquero Franciscano
10054,Arremon abeillei,Black-capped Sparrow,Tohi d'Abeille,Cerquero Coroninegro
10055,Arremon nigriceps,Maranon Sparrow,NA,NA
10056,Arremon aurantiirostris,Orange-billed Sparrow,Tohi a bec orange,Cerquero Piquinaranja
10057,Arremon schlegeli,Golden-winged Sparrow,Tohi de Schlegel,Cerquero Alidorado
10058,Pipilo ocai,Collared Towhee,Tohi a collier,Toqui Acollarado
10059,Pipilo chlorurus,Green-tailed Towhee,Tohi a queue verte,Toqui Coliverde
10060,Pipilo maculatus,Spotted Towhee,Tohi tachete,Toqui Moteado
10061,Pipilo socorroensis,Socorro Towhee,NA,NA
10062,Pipilo erythrophthalmus,Eastern Towhee,Tohi a flancs roux,Toqui Flanquirrufo
10063,Pselliophorus tibialis,Yellow-thighed Finch,NA,NA
10064,Pselliophorus luteoviridis,Yellow-green Finch,NA,NA
10065,Atlapetes pileatus,Rufous-capped Brush-finch,Tohi a calotte rousse,Atlapetes Coronirrufo
10066,Atlapetes meridae,Merida Brush-finch,NA,NA
10067,Atlapetes albofrenatus,Moustached Brush-finch,Tohi moustachu,Atlapetes Bigotudo
10068,Atlapetes semirufus,Ochre-breasted Brush-finch,Tohi demi-roux,Atlapetes Semirrufo
10069,Atlapetes personatus,Tepui Brush-finch,Tohi des tepuis,Atlapetes de Tepui
10070,Atlapetes albinucha,White-naped Brush-finch,Tohi a calotte blanche,Atlapetes Nuquiblanco
10071,Atlapetes melanocephalus,Santa Marta Brush-finch,Tohi de Santa Marta,Atlapetes de Santa Marta
10072,Atlapetes pallidinucha,Pale-naped Brush-finch,Tohi a nuque claire,Atlapetes Nuquipalido
10073,Atlapetes flaviceps,Yellow-headed Brush-finch,Tohi a tete olive,Atlapetes Cabecigualdo
10074,Atlapetes fuscoolivaceus,Dusky-headed Brush-finch,Tohi sombre,Atlapetes Sombrio
10075,Atlapetes crassus,Choco Brush-finch,NA,NA
10076,Atlapetes tricolor,Tricolored Brush-finch,Tohi tricolore,Atlapetes Tricolor
10077,Atlapetes leucopis,White-rimmed Brush-finch,Tohi bride,Atlapetes Embridado
10078,Atlapetes nigrifrons,Black-fronted Brush-finch,NA,NA
10079,Atlapetes latinuchus,Yellow-breasted Brush-finch,Tohi a miroir,Atlapetes Pechiamarillo
10080,Atlapetes blancae,Antioquia Brush-finch,Tohi de Blanca,Atlapetes Antioqueno
10081,Atlapetes rufigenis,Rufous-eared Brush-finch,Tohi rougeaud,Atlapetes Orejirrufo
10082,Atlapetes forbesi,Apurimac Brush-finch,Tohi de Forbes,Atlapetes de Apurimac
10083,Atlapetes melanopsis,Black-spectacled Brush-finch,Tohi a face noire,Atlapetes de Anteojos
10084,Atlapetes schistaceus,Slaty Brush-finch,Tohi ardoise,Atlapetes Pizarroso
10085,Atlapetes taczanowskii,Taczanowski's Brush-finch,NA,NA
10086,Atlapetes leucopterus,White-winged Brush-finch,Tohi leucoptere,Atlapetes Aliblanco
10087,Atlapetes paynteri,Cream-crowned Brush-finch,NA,NA
10088,Atlapetes albiceps,White-headed Brush-finch,Tohi a tete blanche,Atlapetes Cabeciblanco
10089,Atlapetes pallidiceps,Pale-headed Brush-finch,Tohi grisonnant,Atlapetes Cabecipalido
10090,Atlapetes seebohmi,Bay-crowned Brush-finch,Tohi de Seebohm,Atlapetes de Seebohm
10091,Atlapetes nationi,Rusty-bellied Brush-finch,Tohi a ventre roux,Atlapetes Ventrirrufo
10092,Atlapetes canigenis,Cuzco Brush-finch,Tohi a joues grises,Atlapetes de Cuzco
10093,Atlapetes terborghi,Vilcabamba Brush-finch,Tohi de Terborgh,Atlapetes de Vilcabamba
10094,Atlapetes melanolaemus,Black-faced Brush-finch,Tohi melanien,Atlapetes Carinegro
10095,Atlapetes rufinucha,Bolivian Brush-finch,Tohi a nuque rousse,Atlapetes Nuquirrufo
10096,Atlapetes fulviceps,Fulvous-headed Brush-finch,Tohi a tete rousse,Atlapetes Cabecirrufo
10097,Atlapetes citrinellus,Yellow-striped Brush-finch,Tohi citrin,Atlapetes Amarillo
10098,Pezopetes capitalis,Large-footed Finch,Tohi a grands pieds,Cerquero Patigrande
10099,Torreornis inexpectata,Zapata Sparrow,Bruant de Zapata,Chingolo de La Cienaga
10100,Melozone kieneri,Rusty-crowned Ground-sparrow,Tohi de Kiener,Toqui Nuquirrufo
10101,Melozone fusca,Canyon Towhee,Tohi des canyons,Toqui Pardo
10102,Melozone albicollis,White-throated Towhee,Tohi a gorge blanche,Toqui Oaxaqueno
10103,Melozone crissalis,California Towhee,Tohi de Californie,Toqui Californiano
10104,Melozone aberti,Abert's Towhee,Tohi d'Abert,Toqui de Abert
10105,Melozone biarcuata,Prevost's Ground-sparrow,Tohi a face blanche,Toqui Cuatro Ojos
10106,Melozone cabanisi,Costa Rican Ground-sparrow,Tohi de Cabanis,Toqui Costarriquense
10107,Melozone occipitalis,Grey-crowned Ground-sparrow,NA,NA
10108,Melozone leucotis,White-eared Ground-sparrow,Tohi oreillard,Toqui Orejiblanco
10109,Aimophila rufescens,Rusty Sparrow,Tohi roussatre,Chingolo Rojizo
10110,Aimophila ruficeps,Rufous-crowned Sparrow,Tohi a calotte fauve,Chingolo Coronirrufo
10111,Aimophila notosticta,Oaxaca Sparrow,Tohi d'Oaxaca,Chingolo Oaxaqueno
10112,Junco vulcani,Volcano Junco,Junco des volcans,Junco de Los Volcanes
10113,Junco hyemalis,Dark-eyed Junco,Junco ardoise,Junco Ojioscuro
10114,Junco insularis,Guadalupe Junco,Junco de Guadalupe,Junco de Isla Guadalupe
10115,Junco phaeonotus,Yellow-eyed Junco,Junco aux yeux jaunes,Junco Ojilumbre
10116,Junco bairdi,Baird's Junco,Junco de Baird,Junco de Baird
10117,Zonotrichia capensis,Rufous-collared Sparrow,Bruant chingolo,Chingolo Comun
10118,Zonotrichia querula,Harris's Sparrow,Bruant a face noire,Chingolo de Harris
10119,Zonotrichia albicollis,White-throated Sparrow,Bruant a gorge blanche,Chingolo Gorjiblanco
10120,Zonotrichia leucophrys,White-crowned Sparrow,Bruant a couronne blanche,Chingolo Coroniblanco
10121,Zonotrichia atricapilla,Golden-crowned Sparrow,Bruant a couronne doree,Chingolo Coronidorado
10122,Passerella iliaca,Red Fox-sparrow,Bruant fauve,Chingolo Zorruno
10123,Passerella unalaschcensis,Sooty Fox-sparrow,NA,NA
10124,Passerella schistacea,Slate-colored Fox-sparrow,NA,NA
10125,Passerella megarhyncha,Thick-billed Fox-sparrow,NA,NA
10126,Passerella arborea,American Tree Sparrow,NA,NA
10127,Ammospiza leconteii,Le Conte's Sparrow,Bruant de LeConte,Chingolo de Leconte
10128,Ammospiza maritima,Seaside Sparrow,Bruant maritime,Chingolo Costero
10129,Ammospiza nelsoni,Nelson's Sparrow,Bruant de Nelson,Chingolo de Nelson
10130,Ammospiza caudacuta,Saltmarsh Sparrow,Bruant a queue aiguë,Chingolo Colifino
10131,Artemisiospiza nevadensis,Sagebrush Sparrow,Bruant des armoises,Chingolo de Nevada
10132,Artemisiospiza belli,Bell's Sparrow,Bruant de Bell,Chingolo de Bell
10133,Pooecetes gramineus,Vesper Sparrow,Bruant vesperal,Chingolo Coliblanco
10134,Oriturus superciliosus,Striped Sparrow,Bruant raye,Chingolo Rayado
10135,Passerculus sandwichensis,Savannah Sparrow,Bruant des pres,Chingolo Sabanero
10136,Passerculus guttatus,Belding's Sparrow,NA,NA
10137,Passerculus sanctorum,San Benito Sparrow,NA,NA
10138,Passerculus rostratus,Large-billed Sparrow,NA,NA
10139,Passerculus bairdii,Baird's Sparrow,NA,NA
10140,Passerculus henslowii,Henslow's Sparrow,NA,NA
10141,Xenospiza baileyi,Sierra Madre Sparrow,Bruant des sierras,Chingolo Serrano
10142,Melospiza melodia,Song Sparrow,Bruant chanteur,Chingolo Cantor
10143,Melospiza lincolnii,Lincoln's Sparrow,Bruant de Lincoln,Chingolo de Lincoln
10144,Melospiza georgiana,Swamp Sparrow,Bruant des marais,Chingolo Pantanero
10145,Zeledonia coronata,Wrenthrush,Zeledonie couronnee,Reinita de Zeledon
10146,Teretistris fernandinae,Yellow-headed Warbler,Chillina de Fernandina,Reinita Chillina
10147,Teretistris fornsi,Oriente Warbler,Chillina d'Oriente,Reinita de Oriente
10148,Icteria virens,Yellow-breasted Chat,Icterie polyglotte,Reinita Grande
10149,Xanthocephalus xanthocephalus,Yellow-headed Blackbird,Carouge a tete jaune,Tordo Cabeciamarillo
10150,Dolichonyx oryzivorus,Bobolink,Goglu des pres,Tordo Charlatan
10151,Sturnella neglecta,Western Meadowlark,Sturnelle de l'Ouest,Pradero Occidental
10152,Sturnella magna,Eastern Meadowlark,Sturnelle des pres,Pradero Oriental
10153,Leistes militaris,Red-breasted Blackbird,Sturnelle militaire,Loica Pechirroja
10154,Leistes superciliaris,White-browed Blackbird,Sturnelle a sourcils blancs,Loica Cejiblanca
10155,Leistes bellicosus,Peruvian Meadowlark,Sturnelle du Perou,Loica Peruana
10156,Leistes defilippii,Pampas Meadowlark,Sturnelle des pampas,Loica Pampeana
10157,Leistes loyca,Long-tailed Meadowlark,Sturnelle australe,Loica Comun
10158,Amblycercus holosericeus,Yellow-billed Cacique,Cassique a bec jaune,Cacique Piquiclaro
10159,Cassiculus melanicterus,Yellow-winged Cacique,Cassique a ailes jaunes,Cacique Mexicano
10160,Psarocolius wagleri,Chestnut-headed Oropendola,Cassique a tete brune,Cacique Cabecicastano
10161,Psarocolius atrovirens,Dusky-green Oropendola,Cassique olivatre,Cacique Verdioscuro
10162,Psarocolius angustifrons,Russet-backed Oropendola,Cassique roussatre,Cacique Dorsirrufo
10163,Psarocolius oleagineus,Green-billed Oropendola,NA,NA
10164,Psarocolius decumanus,Crested Oropendola,Cassique huppe,Cacique Crestado
10165,Psarocolius viridis,Green Oropendola,Cassique vert,Cacique Verde
10166,Psarocolius yuracares,Amazonian Oropendola,NA,NA
10167,Psarocolius bifasciatus,Para Oropendola,Cassique du Para,Cacique de Para
10168,Psarocolius montezuma,Montezuma Oropendola,Cassique de Montezuma,Cacique de Moctezuma
10169,Psarocolius guatimozinus,Black Oropendola,Cassique noir,Cacique Negro
10170,Psarocolius cassini,Baudo Oropendola,Cassique de Cassin,Cacique de Cassin
10171,Cacicus solitarius,Solitary Cacique,Cassique solitaire,Cacique Solitario
10172,Cacicus chrysopterus,Golden-winged Cacique,Cassique a epaulettes,Cacique Aliamarillo
10173,Cacicus sclateri,Ecuadorian Cacique,Cassique d'equateur,Cacique Ecuatoriano
10174,Cacicus koepckeae,Selva Cacique,Cassique de Koepcke,Cacique de Koepcke
10175,Cacicus microrhynchus,Scarlet-rumped Cacique,NA,NA
10176,Cacicus pacificus,Pacific Cacique,NA,NA
10177,Cacicus uropygialis,Subtropical Cacique,Cassique a dos rouge,Cacique Lomiescarlata
10178,Cacicus flavicrissus,Black-tailed Cacique,NA,NA
10179,Cacicus cela,Yellow-rumped Cacique,Cassique cul-jaune,Cacique Lomiamarillo
10180,Cacicus leucoramphus,Northern Mountain Cacique,NA,NA
10181,Cacicus chrysonotus,Southern Mountain Cacique,Cassique montagnard,Cacique Montano
10182,Cacicus haemorrhous,Red-rumped Cacique,Cassique cul-rouge,Cacique Lomirrojo
10183,Cacicus oseryi,Casqued Oropendola,Cassique casque,Cacique de Yelmo
10184,Cacicus latirostris,Band-tailed Oropendola,Cassique a queue frangee,Cacique Colibandeado
10185,Icterus parisorum,Scott's Oriole,Oriole jaune-verdatre,Turpial de Scott
10186,Icterus graduacauda,Audubon's Oriole,Oriole d'Audubon,Turpial de Audubon
10187,Icterus chrysater,Yellow-backed Oriole,Oriole noir et or,Turpial Dorsidorado
10188,Icterus leucopteryx,Jamaican Oriole,Oriole de Jamaique,Turpial Jamaicano
10189,Icterus auratus,Orange Oriole,Oriole orange,Turpial Yucateco
10190,Icterus gularis,Altamira Oriole,Oriole a gros bec,Turpial de Altamira
10191,Icterus nigrogularis,Yellow Oriole,Oriole jaune,Turpial Amarillo
10192,Icterus galbula,Baltimore Oriole,Oriole de Baltimore,Turpial de Baltimore
10193,Icterus abeillei,Black-backed Oriole,Oriole d'Abeille,Turpial Dorsinegro
10194,Icterus bullockiorum,Bullock's Oriole,NA,NA
10195,Icterus pustulatus,Streak-backed Oriole,Oriole a dos raye,Turpial Dorsilistado
10196,Icterus mesomelas,Yellow-tailed Oriole,Oriole a queue jaune,Turpial Coliamarillo
10197,Icterus pectoralis,Spot-breasted Oriole,Oriole macule,Turpial Pechipinto
10198,Icterus graceannae,White-edged Oriole,Oriole leucoptere,Turpial Aliblanco
10199,Icterus jamacaii,Campo Troupial,Oriole des campos,Turpial Brasileno
10200,Icterus icterus,Venezuelan Troupial,Oriole troupiale,Turpial Venezolano
10201,Icterus croconotus,Orange-backed Troupial,Oriole a dos orange,Turpial Amazonico
10202,Icterus maculialatus,Bar-winged Oriole,Oriole unifascie,Turpial Alibarrado
10203,Icterus wagleri,Black-vented Oriole,Oriole cul-noir,Turpial Culinegro
10204,Icterus cucullatus,Hooded Oriole,Oriole masque,Turpial Enmascarado
10205,Icterus prosthemelas,Black-cowled Oriole,Oriole monacal,Turpial Cabecinegro
10206,Icterus spurius,Orchard Oriole,Oriole des vergers,Turpial Castano
10207,Icterus fuertesi,Fuertes's Oriole,NA,NA
10208,Icterus northropi,Bahama Oriole,Oriole des Bahamas,Turpial de Las Bahamas
10209,Icterus melanopsis,Cuban Oriole,Oriole de Cuba,Turpial Cubano
10210,Icterus bonana,Martinique Oriole,Oriole de Martinique,Turpial de Martinica
10211,Icterus portoricensis,Puerto Rican Oriole,Oriole de Porto Rico,Turpial Puertorriqueno
10212,Icterus oberi,Montserrat Oriole,Oriole de Montserrat,Turpial de Montserrat
10213,Icterus dominicensis,Hispaniolan Oriole,Oriole d'Hispaniola,Turpial de La Espanola
10214,Icterus laudabilis,St Lucia Oriole,Oriole de Sainte-Lucie,Turpial de Santa Lucia
10215,Icterus auricapillus,Orange-crowned Oriole,Oriole a tete d'or,Turpial Coroninaranja
10216,Icterus chrysocephalus,Moriche Oriole,NA,NA
10217,Icterus cayanensis,Epaulet Oriole,Oriole a epaulettes,Turpial Boyerito
10218,Icterus pyrrhopterus,Variable Oriole,Oriole variable,Turpial Variable
10219,Nesopsar nigerrimus,Jamaican Blackbird,Carouge de Jamaique,Zanate Jamaicano
10220,Agelaius humeralis,Tawny-shouldered Blackbird,Petit Carouge,Sargento Humeral
10221,Agelaius xanthomus,Yellow-shouldered Blackbird,Carouge de Porto Rico,Sargento Puertorriqueno
10222,Agelaius tricolor,Tricolored Blackbird,Carouge de Californie,Sargento Tricolor
10223,Agelaius phoeniceus,Red-winged Blackbird,Carouge a epaulettes,Sargento Alirrojo
10224,Agelaius assimilis,Red-shouldered Blackbird,Carouge de Cuba,Sargento Cubano
10225,Molothrus rufoaxillaris,Screaming Cowbird,Vacher criard,Tordo Chillon
10226,Molothrus oryzivorus,Giant Cowbird,Vacher geant,Tordo Gigante
10227,Molothrus bonariensis,Shiny Cowbird,Vacher luisant,Tordo Renegrido
10228,Molothrus ater,Brown-headed Cowbird,Vacher a tete brune,Tordo Cabecipardo
10229,Molothrus aeneus,Bronzed Cowbird,Vacher bronze,Tordo Ojirrojo
10230,Molothrus armenti,Bronze-brown Cowbird,NA,NA
10231,Dives dives,Melodious Blackbird,Quiscale chanteur,Zanate Cantor
10232,Dives warczewiczi,Scrub Blackbird,Quiscale buissonnier,Zanate Matorralero
10233,Ptiloxena atroviolacea,Cuban Blackbird,Quiscale violet,Zanate Cubano
10234,Euphagus carolinus,Rusty Blackbird,Quiscale rouilleux,Zanate Canadiense
10235,Euphagus cyanocephalus,Brewer's Blackbird,Quiscale de Brewer,Zanate de Brewer
10236,Quiscalus quiscula,Common Grackle,Quiscale bronze,Zanate Comun
10237,Quiscalus lugubris,Carib Grackle,Quiscale merle,Zanate Caribeno
10238,Quiscalus nicaraguensis,Nicaraguan Grackle,Quiscale du Nicaragua,Zanate Nicaragüense
10239,Quiscalus niger,Greater Antillean Grackle,Quiscale noir,Zanate Antillano
10240,Quiscalus major,Boat-tailed Grackle,Quiscale des marais,Zanate Marismeno
10241,Quiscalus mexicanus,Great-tailed Grackle,Quiscale a longue queue,Zanate Mexicano
10242,Lampropsar tanagrinus,Velvet-fronted Grackle,Carouge veloute,Chango Terciopelo
10243,Hypopyrrhus pyrohypogaster,Red-bellied Grackle,Carouge a ventre rouge,Chango Ventrirrojo
10244,Gymnomystax mexicanus,Oriole Blackbird,Carouge loriot,Chango Oriolino
10245,Macroagelaius subalaris,Mountain Grackle,Carouge montagnard,Chango Colombiano
10246,Macroagelaius imthurni,Golden-tufted Grackle,Carouge des tepuis,Chango de Tepui
10247,Amblyramphus holosericeus,Scarlet-headed Blackbird,Carouge a tete rouge,Federal
10248,Curaeus curaeus,Austral Blackbird,Carouge austral,Tordo Patagon
10249,Anumara forbesi,Forbes's Blackbird,Carouge de Forbes,Chango de Forbes
10250,Gnorimopsar chopi,Chopi Blackbird,Carouge chopi,Chopi
10251,Agelaioides badius,Greyish Baywing,Carouge a ailes baies,Tordo Musico
10252,Agelaioides fringillarius,Pale Baywing,Carouge de Spix,Tordo de Spix
10253,Oreopsar bolivianus,Bolivian Blackbird,Carouge de Bolivie,Tordo Boliviano
10254,Agelasticus thilius,Yellow-winged Blackbird,Carouge galonne,Varillero Aliamarillo
10255,Agelasticus cyanopus,Unicolored Blackbird,Carouge unicolore,Varillero Negro
10256,Agelasticus xanthophthalmus,Pale-eyed Blackbird,Carouge a oeil clair,Varillero Ojipalido
10257,Chrysomus icterocephalus,Yellow-hooded Blackbird,Carouge a capuchon,Varillero Capuchino
10258,Chrysomus ruficapillus,Chestnut-capped Blackbird,Carouge a calotte rousse,Varillero Congo
10259,Xanthopsar flavus,Saffron-cowled Blackbird,Carouge safran,Tordo Amarillo
10260,Pseudoleistes guirahuro,Yellow-rumped Marshbird,Carouge guirahuro,Tordo Güirahuro
10261,Pseudoleistes virescens,Brown-and-yellow Marshbird,Carouge dragon,Tordo Pechiamarillo
10262,Seiurus aurocapilla,Ovenbird,Paruline couronnee,Reinita Hornera
10263,Helmitheros vermivorum,Worm-eating Warbler,Paruline vermivore,Reinita Gusanera
10264,Parkesia motacilla,Louisiana Waterthrush,Paruline hochequeue,Reinita Charquera de Luisiana
10265,Parkesia noveboracensis,Northern Waterthrush,Paruline des ruisseaux,Reinita Charquera Nortena
10266,Vermivora bachmanii,Bachman's Warbler,Paruline de Bachman,Reinita de Bachman
10267,Vermivora chrysoptera,Golden-winged Warbler,Paruline a ailes dorees,Reinita Alidorada
10268,Vermivora cyanoptera,Blue-winged Warbler,Paruline a ailes bleues,Reinita Aliazul
10269,Mniotilta varia,Black-and-white Warbler,Paruline noir et blanc,Reinita Trepadora
10270,Protonotaria citrea,Prothonotary Warbler,Paruline orangee,Reinita Protonotaria
10271,Limnothlypis swainsonii,Swainson's Warbler,Paruline de Swainson,Reinita de Swainson
10272,Oreothlypis superciliosa,Crescent-chested Warbler,Paruline a croissant,Reinita Cejuda
10273,Oreothlypis gutturalis,Flame-throated Warbler,Paruline embrasee,Reinita Flamigera
10274,Leiothlypis peregrina,Tennessee Warbler,Paruline obscure,Reinita de Tennessee
10275,Leiothlypis celata,Orange-crowned Warbler,Paruline verdatre,Reinita Coroninaranja
10276,Leiothlypis crissalis,Colima Warbler,Paruline de Colima,Reinita de Colima
10277,Leiothlypis luciae,Lucy's Warbler,Paruline de Lucy,Reinita de Lucy
10278,Leiothlypis ruficapilla,Nashville Warbler,Paruline a joues grises,Reinita de Nashville
10279,Leiothlypis virginiae,Virginia's Warbler,Paruline de Virginia,Reinita de Virginia
10280,Leucopeza semperi,Semper's Warbler,Paruline pied-blanc,Reinita de Semper
10281,Oporornis agilis,Connecticut Warbler,Paruline a gorge grise,Reinita de Connecticut
10282,Geothlypis poliocephala,Grey-crowned Yellowthroat,Paruline a calotte grise,Mascarita Coronigris
10283,Geothlypis chiriquensis,Chiriqui Yellowthroat,NA,NA
10284,Geothlypis auricularis,Black-lored Yellowthroat,NA,NA
10285,Geothlypis aequinoctialis,Masked Yellowthroat,Paruline equatoriale,Mascarita Equinoccial
10286,Geothlypis tolmiei,MacGillivray's Warbler,Paruline des buissons,Reinita de Tolmie
10287,Geothlypis philadelphia,Mourning Warbler,Paruline triste,Reinita Planidera
10288,Geothlypis formosa,Kentucky Warbler,Paruline du Kentucky,Reinita de Kentucky
10289,Geothlypis bairdi,Baird's Yellowthroat,NA,NA
10290,Geothlypis semiflava,Olive-crowned Yellowthroat,Paruline des bambous,Mascarita Coronioliva
10291,Geothlypis speciosa,Black-polled Yellowthroat,Paruline a face noire,Mascarita Transvolcanica
10292,Geothlypis beldingi,Belding's Yellowthroat,Paruline de Belding,Mascarita de Belding
10293,Geothlypis rostrata,Bahama Yellowthroat,Paruline des Bahamas,Mascarita de Las Bahamas
10294,Geothlypis flavovelata,Altamira Yellowthroat,Paruline a couronne jaune,Mascarita de Altamira
10295,Geothlypis trichas,Common Yellowthroat,Paruline masquee,Mascarita Comun
10296,Geothlypis nelsoni,Hooded Yellowthroat,Paruline de Nelson,Mascarita Matorralera
10297,Catharopeza bishopi,Whistling Warbler,Paruline de Saint-Vincent,Reinita de San Vicente
10298,Setophaga plumbea,Plumbeous Warbler,Paruline cafeiette,Reinita Plumbea
10299,Setophaga angelae,Elfin Woods Warbler,Paruline d'Angela,Reinita de angela
10300,Setophaga pharetra,Arrowhead Warbler,Paruline de Jamaique,Reinita Jamaicana
10301,Setophaga citrina,Hooded Warbler,Paruline a capuchon,Reinita Encapuchada
10302,Setophaga ruticilla,American Redstart,Paruline flamboyante,Candelita Nortena
10303,Setophaga kirtlandii,Kirtland's Warbler,Paruline de Kirtland,Reinita de Kirtland
10304,Setophaga tigrina,Cape May Warbler,Paruline tigree,Reinita Atigrada
10305,Setophaga cerulea,Cerulean Warbler,Paruline azuree,Reinita Cerulea
10306,Setophaga americana,Northern Parula,Paruline a collier,Parula Nortena
10307,Setophaga pitiayumi,Tropical Parula,Paruline a joues noires,Parula Pitiayumi
10308,Setophaga graysoni,Socorro Parula,NA,NA
10309,Setophaga magnolia,Magnolia Warbler,Paruline a tete cendree,Reinita de Magnolia
10310,Setophaga castanea,Bay-breasted Warbler,Paruline a poitrine baie,Reinita Castana
10311,Setophaga fusca,Blackburnian Warbler,Paruline a gorge orangee,Reinita Gorjinaranja
10312,Setophaga petechia,American Yellow Warbler,Paruline jaune,Reinita de Manglar
10313,Setophaga pensylvanica,Chestnut-sided Warbler,Paruline a flancs marron,Reinita de Pensilvania
10314,Setophaga striata,Blackpoll Warbler,Paruline rayee,Reinita Estriada
10315,Setophaga caerulescens,Black-throated Blue Warbler,Paruline bleue,Reinita Azulada
10316,Setophaga palmarum,Palm Warbler,Paruline a couronne rousse,Reinita Palmera
10317,Setophaga pityophila,Olive-capped Warbler,Paruline a calotte verte,Reinita Coroniverde
10318,Setophaga pinus,Pine Warbler,Paruline des pins,Reinita del Pinar
10319,Setophaga auduboni,Audubon's Warbler,NA,NA
10320,Setophaga coronata,Myrtle Warbler,Paruline a croupion jaune,Reinita Coronada
10321,Setophaga dominica,Yellow-throated Warbler,Paruline a gorge jaune,Reinita Gorjiamarilla
10322,Setophaga flavescens,Bahama Warbler,Paruline de Todd,Reinita de Las Bahamas
10323,Setophaga vitellina,Vitelline Warbler,Paruline des Caimans,Reinita de Las Caiman
10324,Setophaga discolor,Prairie Warbler,Paruline des pres,Reinita Galana
10325,Setophaga adelaidae,Adelaide's Warbler,Paruline d'Adelaide,Reinita Puertorriquena
10326,Setophaga subita,Barbuda Warbler,Paruline de Barbuda,Reinita de Barbuda
10327,Setophaga delicata,St Lucia Warbler,Paruline de Sainte-Lucie,Reinita de Santa Lucia
10328,Setophaga graciae,Grace's Warbler,Paruline de Grace,Reinita de Grace
10329,Setophaga nigrescens,Black-throated Grey Warbler,Paruline grise,Reinita Gris
10330,Setophaga townsendi,Townsend's Warbler,Paruline de Townsend,Reinita de Townsend
10331,Setophaga occidentalis,Hermit Warbler,Paruline a tete jaune,Reinita Cabecigualda
