,species,English.name,French.name,Spanish.name
202,Rhizothera longirostris,Long-billed Partridge,Perdrix a long bec,Perdiz Piquilarga
203,Rhizothera dulitensis,Dulit Partridge,Perdrix du Dulit,Perdiz del Dulit
204,Melanoperdix niger,Black Partridge,Rouloul noir,Perdiz Negra
205,Haematortyx sanguiniceps,Crimson-headed Partridge,Rouloul sanglant,Perdicilla Cabecirroja
206,Caloperdix oculeus,Ferruginous Partridge,Rouloul ocelle,Perdicilla Herrumbrosa
207,Galloperdix spadicea,Red Spurfowl,Galloperdrix rouge,Faisancillo Rojo
208,Galloperdix lunulata,Painted Spurfowl,Galloperdrix lunulee,Faisancillo Moteado
209,Galloperdix bicalcarata,Sri Lanka Spurfowl,Galloperdrix de Ceylan,Faisancillo de Ceilan
210,Afropavo congensis,Congo Peafowl,Paon du Congo,Pavo Real del Congo
211,Pavo cristatus,Indian Peafowl,Paon bleu,Pavo Real Comun
212,Pavo muticus,Green Peafowl,Paon spicifere,Pavo Real Cuelliverde
213,Argusianus argus,Great Argus,Argus geant,Argos Real
214,Rheinardia ocellata,Vietnamese Crested Argus,Argus ocelle,Argos Vietnamita
215,Polyplectron napoleonis,Palawan Peacock-pheasant,eperonnier napoleon,Espolonero de Palawan
216,Polyplectron malacense,Malay Peacock-pheasant,eperonnier malais,Espolonero Malayo
217,Polyplectron schleiermacheri,Bornean Peacock-pheasant,eperonnier de Borneo,Espolonero de Borneo
218,Polyplectron germaini,Germain's Peacock-pheasant,eperonnier de Germain,Espolonero de Germain
219,Polyplectron katsumatae,Hainan Peacock-pheasant,eperonnier de Hainan,Espolonero de Hainan
220,Polyplectron bicalcaratum,Grey Peacock-pheasant,eperonnier chinquis,Espolonero Chinquis
221,Polyplectron inopinatum,Mountain Peacock-pheasant,eperonnier de Rothschild,Espolonero de Rothschild
222,Polyplectron chalcurum,Bronze-tailed Peacock-pheasant,eperonnier a queue bronzee,Espolonero Colibronceado
223,Margaroperdix madagarensis,Madagascar Partridge,Caille de Madagascar,Perdiz Malgache
224,Coturnix coturnix,Common Quail,Caille des bles,Codorniz Comun
225,Coturnix japonica,Japanese Quail,Caille du Japon,Codorniz Japonesa
226,Coturnix coromandelica,Rain Quail,Caille nattee,Codorniz Coromandelica
227,Coturnix delegorguei,Harlequin Quail,Caille arlequin,Codorniz Arlequin
228,Coturnix pectoralis,Stubble Quail,Caille des chaumes,Codorniz Pectoral
229,Synoicus ypsilophorus,Brown Quail,Caille tasmane,Codorniz de Tasmania
230,Synoicus chinensis,Asian Blue Quail,Caille peinte,Codorniz China
231,Synoicus adansonii,African Blue Quail,Caille bleue,Codorniz Africana
232,Anurophasis monorthonyx,Snow Mountain Quail,NA,NA
233,Tetraogallus caucasicus,Caucasian Snowcock,Tetraogalle du Caucase,Perdigallo Caucasiano
234,Tetraogallus caspius,Caspian Snowcock,Tetraogalle de Perse,Perdigallo del Caspio
235,Tetraogallus himalayensis,Himalayan Snowcock,Tetraogalle de l'Himalaya,Perdigallo Himalayo
236,Tetraogallus tibetanus,Tibetan Snowcock,Tetraogalle du Tibet,Perdigallo Tibetano
237,Tetraogallus altaicus,Altai Snowcock,Tetraogalle de l'Altai,Perdigallo Altaico
238,Alectoris graeca,Rock Partridge,Perdrix bartavelle,Perdiz Griega
239,Alectoris chukar,Chukar,Perdrix choukar,Perdiz Chucar
240,Alectoris magna,Przevalski's Partridge,Perdrix de Przewalski,Perdiz Magna
241,Alectoris philbyi,Philby's Partridge,Perdrix de Philby,Perdiz Gorjinegra
242,Alectoris barbara,Barbary Partridge,Perdrix gambra,Perdiz Moruna
243,Alectoris rufa,Red-legged Partridge,Perdrix rouge,Perdiz Roja
244,Alectoris melanocephala,Arabian Partridge,Perdrix a tete noire,Perdiz arabe
245,Lerwa lerwa,Snow Partridge,Lerva des neiges,Perdiz Lerwa
246,Ammoperdix griseogularis,See-see Partridge,Perdrix si-si,Perdiz Gorjigris
247,Ammoperdix heyi,Sand Partridge,Perdrix de Hey,Perdiz Desertica
248,Perdicula asiatica,Jungle Bush-quail,Perdicule rousse-gorge,Perdicilla Golirroja
249,Perdicula argoondah,Rock Bush-quail,Perdicule argoondah,Perdicilla Argunda
250,Perdicula erythrorhyncha,Painted Bush-quail,Perdicule a bec rouge,Perdicilla Piquirroja
251,Perdicula manipurensis,Manipur Bush-quail,Perdicule du Manipur,Perdicilla de Manipur
252,Ophrysia superciliosa,Himalayan Quail,Ophrysie de l'Himalaya,Perdicilla Himalaya
253,Pternistis hartlaubi,Hartlaub's Francolin,Francolin de Hartlaub,Francolin de Hartlaub
254,Pternistis bicalcaratus,Double-spurred Francolin,Francolin a double eperon,Francolin Biespolado
255,Pternistis icterorhynchus,Heuglin's Francolin,Francolin a bec jaune,Francolin Piquigualdo
256,Pternistis clappertoni,Clapperton's Francolin,Francolin de Clapperton,Francolin de Clapperton
257,Pternistis harwoodi,Harwood's Francolin,Francolin de Harwood,Francolin de Harwood
258,Pternistis adspersus,Red-billed Francolin,Francolin a bec rouge,Francolin Piquirrojo
259,Pternistis capensis,Cape Francolin,Francolin criard,Francolin de El Cabo
260,Pternistis natalensis,Natal Francolin,Francolin du Natal,Francolin de Natal
261,Pternistis hildebrandti,Hildebrandt's Francolin,Francolin de Hildebrandt,Francolin de Hildebrandt
262,Pternistis ahantensis,Ahanta Francolin,Francolin d'Ahanta,Francolin de Ahanta
263,Pternistis squamatus,Scaly Francolin,Francolin ecaille,Francolin Escamoso
264,Pternistis griseostriatus,Grey-striped Francolin,Francolin a bandes grises,Francolin Angoleno
265,Pternistis leucoscepus,Yellow-necked Francolin,Francolin a cou jaune,Francolin Gorjiamarillo
266,Pternistis rufopictus,Grey-breasted Francolin,Francolin a poitrine grise,Francolin del Victoria
267,Pternistis afer,Red-necked Francolin,Francolin a gorge rouge,Francolin Gorjirrojo
268,Pternistis swainsonii,Swainson's Francolin,Francolin de Swainson,Francolin de Swainson
269,Pternistis jacksoni,Jackson's Francolin,Francolin de Jackson,Francolin de Jackson
270,Pternistis nobilis,Handsome Francolin,Francolin noble,Francolin Noble
271,Pternistis camerunensis,Mount Cameroon Francolin,Francolin du Cameroun,Francolin de Camerun
272,Pternistis swierstrai,Swierstra's Francolin,Francolin de Swierstra,Francolin de Swierstra
273,Pternistis castaneicollis,Chestnut-naped Francolin,Francolin a cou roux,Francolin Cuellicastano
274,Pternistis atrifrons,Black-fronted Francolin,Francolin a front noir,Francolin Frentinegro
275,Pternistis erckelii,Erckel's Francolin,Francolin d'Erckel,Francolin de Erckel
276,Pternistis ochropectus,Djibouti Francolin,Francolin somali,Francolin de Yibuti
277,Francolinus francolinus,Black Francolin,Francolin noir,Francolin Ventrinegro
278,Francolinus pictus,Painted Francolin,Francolin peint,Francolin Pintojo
279,Francolinus pintadeanus,Chinese Francolin,Francolin perle,Francolin Chino
280,Francolinus pondicerianus,Grey Francolin,NA,NA
281,Francolinus gularis,Swamp Francolin,NA,NA
282,Dendroperdix sephaena,Crested Francolin,NA,NA
283,Peliperdix coqui,Coqui Francolin,NA,NA
284,Peliperdix albogularis,White-throated Francolin,NA,NA
285,Peliperdix schlegelii,Schlegel's Francolin,NA,NA
286,Peliperdix lathami,Forest Francolin,Francolin de Latham,Francolin Cariblanco
287,Scleroptila streptophora,Ring-necked Francolin,Francolin a collier,Francolin Acollarado
288,Scleroptila levaillantii,Red-winged Francolin,Francolin de Levaillant,Francolin Alirrojo
289,Scleroptila afra,Grey-winged Francolin,Francolin a ailes grises,Francolin Aligris
290,Scleroptila finschi,Finsch's Francolin,Francolin de Finsch,Francolin de Finsch
291,Scleroptila psilolaema,Moorland Francolin,Francolin montagnard,Francolin Etiope
292,Scleroptila elgonensis,Elgon Francolin,NA,NA
293,Scleroptila shelleyi,Shelley's Francolin,Francolin de Shelley,Francolin de Shelley
294,Scleroptila whytei,Whyte's Francolin,NA,NA
295,Scleroptila gutturalis,Orange River Francolin,Francolin d'Archer,Francolin del Orange
296,Bambusicola fytchii,Mountain Bamboo-partridge,Bambusicole de Fytch,Bambusicola Montana
297,Bambusicola thoracicus,Chinese Bamboo-partridge,Bambusicole de Chine,Bambusicola China
298,Bambusicola sonorivox,Taiwan Bamboo-partridge,Bambusicole de Taiwan,Bambusicola de Formosa
299,Gallus gallus,Red Junglefowl,Coq bankiva,Gallo Bankiva
300,Gallus sonneratii,Grey Junglefowl,Coq de Sonnerat,Gallo Gris
301,Gallus lafayettii,Sri Lanka Junglefowl,Coq de Lafayette,Gallo de Ceilan
302,Gallus varius,Green Junglefowl,Coq de Java,Gallo de Java
303,Tetraophasis obscurus,Chestnut-throated Partridge,Tetraophase de Verreaux,Perdiz Faisan Gorjioscura
304,Tetraophasis szechenyii,Buff-throated Partridge,Tetraophase de Szechenyi,Perdiz Faisan Gorjiclara
305,Lophophorus impejanus,Himalayan Monal,Lophophore resplendissant,Monal Colirrojo
306,Lophophorus sclateri,Sclater's Monal,Lophophore de Sclater,Monal Coliblanco
307,Lophophorus lhuysii,Chinese Monal,Lophophore de Lhuys,Monal Coliverde
308,Tragopan melanocephalus,Western Tragopan,Tragopan de Hastings,Tragopan Dorsigris
309,Tragopan satyra,Satyr Tragopan,Tragopan satyre,Tragopan Satiro
310,Tragopan blythii,Blyth's Tragopan,Tragopan de Blyth,Tragopan de Blyth
311,Tragopan temminckii,Temminck's Tragopan,Tragopan de Temminck,Tragopan Cariazul
312,Tragopan caboti,Cabot's Tragopan,Tragopan de Cabot,Tragopan Chino
313,Ithaginis cruentus,Blood Pheasant,Ithagine ensanglantee,Faisan Ensangrentado
314,Pucrasia macrolopha,Koklass Pheasant,Eulophe koklass,Faisan Koklas
315,Syrmaticus ellioti,Elliot's Pheasant,Faisan d'Elliot,Faisan de Elliot
316,Syrmaticus humiae,Mrs Hume's Pheasant,Faisan de Hume,Faisan de Hume
317,Syrmaticus mikado,Mikado Pheasant,Faisan mikado,Faisan Mikado
318,Syrmaticus soemmerringii,Copper Pheasant,Faisan scintillant,Faisan Cobrizo
319,Syrmaticus reevesii,Reeves's Pheasant,Faisan venere,Faisan Venerado
320,Chrysolophus pictus,Golden Pheasant,Faisan dore,Faisan Dorado
321,Chrysolophus amherstiae,Lady Amherst's Pheasant,Faisan de Lady Amherst,Faisan de Lady Amherst
322,Phasianus colchicus,Common Pheasant,Faisan de Colchide,Faisan Vulgar
323,Phasianus versicolor,Green Pheasant,NA,NA
