"","French.name"
"598","Pigeon de Delegorgue"
"599","Pigeon a nuque bronzee"
"600","Pigeon de Malherbe"
"602","Tourterelle des bois"
"603","Tourterelle a poitrine rose"
"604","Tourterelle d'Adamaoua"
"605","Tourterelle orientale"
"606","Tourterelle des Philippines"
"607","Tourterelle a double collier"
"608","Tourterelle turque"
"610","Tourterelle rieuse"
"611","Tourterelle de Reichenow"
"612","Tourterelle pleureuse"
"613","Tourterelle a collier"
"614","Tourterelle du Cap"
"615","Tourterelle vineuse"
"616","Tourterelle a tete grise"
"621","Pigeon rose"
"622","Phasianelle onchall"
"623","Phasianelle des Nicobar"
"624","Phasianelle rousse"
"625","Phasianelle des Philippines"
"626","Phasianelle de Wallace"
"627","Phasianelle de Timor"
"628","Phasianelle des Tanimbar"
"629","Phasianelle d'Ambon"
"630","Phasianelle brune"
"631","Phasianelle a tete rousse"
"632","Phasianelle barree"
"633","Phasianelle de Mackinlay"
"634","Phasianelle de Manado"
"635","Phasianelle des Sula"
"636","Phasianelle modeste"
"637","Phasianelle de Reinwardt"
"638","Phasianelle de Brown"
"639","Phasianelle huppee"
"640","Pigeon a couronne blanche"
"641","Pigeon a cou rouge"
"642","Pigeon ramiret"
"643","Pigeon jounud"
"644","Pigeon picazuro"
"645","Pigeon tigre"
"647","Pigeon a queue barree"
"649","Pigeon du Chili"
"650","Pigeon de Jamaique"
"651","Pigeon rousset"
"652","Pigeon a bec rouge"
"653","Pigeon du Perou"
"654","Pigeon simple"
"655","Pigeon plombe"
"656","Pigeon vineux"
"657","Pigeon a bec noir"
"658","Pigeon de Goodson"
"659","Colombe a tete bleue"
"660","Colombe violacee"
"661","Colombe saphir"
"662","Colombe versicolore"
"663","Colombe de Gundlach"
"664","Colombe d'Hispaniola"
"665","Colombe rouviolette"
"666","Colombe a nuque violette"
"667","Colombe a joues blanches"
"668","Colombe a croissants"
"669","Colombe de Veraguas"
"670","Colombe de Verreaux"
"671","Colombe de Jamaique"
"672","Colombe de Cassin"
"673","Colombe de Conover"
"674","Colombe de Chapman"
"675","Colombe a calotte grise"
"677","Colombe a front gris"
"678","Colombe de Grenade"
"679","Colombe pale"
"680","Colombe a face blanche"
"681","Colombe de Tuxtla"
"682","Colombe du Costa Rica"
"683","Colombe de Lawrence"
"684","Colombe des nuages"
