species_code,avibase_code,taxon_order,category,primary_com_name,cur_alternate_com_name,sci_name,com_name_locale_code
cubpar3,avibase-A9C88719,12387,issf,Cuban Parrot (Cuban),Amazone de Cuba (leucocephala),Amazona leucocephala leucocephala,fr
cubpar4,avibase-D0B94AAD,12388,issf,Cuban Parrot (Bahamas),Amazone de Cuba (bahamensis),Amazona leucocephala bahamensis,fr
cubpar5,avibase-E0EB5106,12389,issf,Cuban Parrot (Cayman Is.),Amazone de Cuba (caymanensis/hesterna),Amazona leucocephala caymanensis/hesterna,fr
hispar1,avibase-766B3C30,12392,species,Hispaniolan Parrot,Amazone d'Hispaniola,Amazona ventralis,fr
purpar1,avibase-E4507DF6,12393,species,Puerto Rican Parrot,Amazone de Porto Rico,Amazona vittata,fr
meapar,avibase-A05EF311,12396,species,Mealy Parrot,Amazone poudree,Amazona farinosa,fr
meapar1,avibase-D0D63FF1,12397,issf,Mealy Parrot (Northern),Amazone poudree (guatemalae/virenticeps),Amazona farinosa guatemalae/virenticeps,fr
meapar2,avibase-77721E6B,12400,issf,Mealy Parrot (Southern),Amazone poudree (farinosa),Amazona farinosa farinosa,fr
kawpar1,avibase-7F4458FE,12401,species,Kawall's Parrot,Amazone de Kawall,Amazona kawalli,fr
imppar1,avibase-B78B2F83,12402,species,Imperial Parrot,Amazone imperiale,Amazona imperialis,fr
guapar1,avibase-47A81116,12403,species,Guadeloupe Parrot,Amazone de Guadeloupe,Amazona violacea,fr
retpar1,avibase-5A7AF4AE,12404,species,Red-tailed Parrot,Amazone a joues bleues,Amazona brasiliensis,fr
stvpar1,avibase-62AFC876,12405,species,St. Vincent Parrot,Amazone de Saint-Vincent,Amazona guildingii,fr
orwpar,avibase-0F2066D5,12406,species,Orange-winged Parrot,Amazone aourou,Amazona amazonica,fr
scnpar1,avibase-CED01CA4,12409,species,Scaly-naped Parrot,Amazone mercenaire,Amazona mercenarius,fr
amazon,avibase-6B58F3B7,12412,spuh,Amazona sp.,Amazona sp.,Amazona sp.,fr
dubpar1,avibase-23C704E1,12413,species,Dusky-billed Parrotlet,Toui de Sclater,Forpus modestus,fr
dubpar2,avibase-A65690C2,12414,issf,Dusky-billed Parrotlet (Schomburgk's),Toui de Sclater (modestus),Forpus modestus modestus,fr
dubpar3,avibase-A703FA63,12415,issf,Dusky-billed Parrotlet (Dusky-billed),Toui de Sclater (sclateri),Forpus modestus sclateri,fr
mexpar1,avibase-64E60FBC,12416,species,Mexican Parrotlet,Toui du Mexique,Forpus cyanopygius,fr
