,keyword,en_count,en_mean
1019,Golden-crowned Warbler,712,3.19
1020,Golden-fronted Bowerbird,262,1.17
1021,Golden-fronted Leafbird,584,2.62
1022,Golden-fronted Woodpecker,1041,4.67
1023,Golden-headed Cisticola,1059,4.75
1024,Golden-winged Sparrow,321,1.44
1025,Golden-winged Warbler,3555,15.94
1026,Golden Bowerbird,1730,7.76
1027,Golden Dove,8509,38.16
1028,Golden Eagle,8886,39.85
1029,Golden Grosbeak,1154,5.17
1030,Golden Masked-owl,320,1.43
1031,Golden Monarch,5471,24.53
1032,Golden Myna,1927,8.64
1033,Golden Nightjar,836,3.75
1034,Golden Palm Weaver,259,1.16
1035,Golden Parakeet,3475,15.58
1036,Golden Pheasant,10240,45.92
1037,Golden Pipit,1882,8.44
1038,Golden Swallow,5483,24.59
1039,Golden Tanager,3297,14.78
1040,Golden Whistler,5737,25.73
1041,Goldenface,2717,12.18
1042,Goliath Heron,2441,10.95
1043,Goosander,4176,18.73
1044,Gorgeted Puffleg,270,1.21
1045,Gorgeted Woodstar,847,3.80
1046,Gouldian Finch,8940,40.09
1047,Grace's Warbler,412,1.85
1048,Graceful Prinia,1036,4.65
1049,Grandala,2776,12.45
1050,Grass Wren,3192,14.31
1051,Grasshopper Sparrow,3132,14.04
1052,Great-tailed Grackle,3107,13.93
1053,Great-winged Petrel,876,3.93
1054,Great Argus,6063,27.19
1055,Great Barbet,2981,13.37
1056,Great Black-backed Gull,2834,12.71
1057,Great Black Hawk,2696,12.09
1058,Great Blue Heron,6245,28.00
1059,Great Blue Turaco,1317,5.91
1060,Great Bowerbird,682,3.06
1061,Great Bustard,4914,22.04
1062,Great Cormorant,5470,24.53
1063,Great Crested Flycatcher,3250,14.57
1064,Great Crested Grebe,6231,27.94
1065,Great Curassow,2818,12.64
1066,Great Frigatebird,1229,5.51
1067,Great Grebe,4088,18.33
1068,Great Green Macaw,2392,10.73
1069,Great Grey Owl,3158,14.16
1070,Great Grey Shrike,3165,14.19
1071,Great Hornbill,2230,10.00
1072,Great Horned Owl,10403,46.65
1073,Great Indian Bustard,4240,19.01
1074,Great Kiskadee,2411,10.81
1075,Great Knot,6709,30.09
1076,Great Myna,1917,8.60
1077,Great Potoo,1026,4.60
1078,Great Rosefinch,1878,8.42
1079,Great Shearwater,3069,13.76
1080,Great Skua,2021,9.06
1081,Great Slaty Woodpecker,497,2.23
1082,Great Snipe,3216,14.42
1083,Great Sparrow,6663,29.88
1084,Great Spotted Cuckoo,1284,5.76
1085,Great Spotted Kiwi,1403,6.29
1086,Great Spotted Woodpecker,4865,21.82
1087,Great Thrush,6299,28.25
1088,Great Tinamou,2459,11.03
1089,Great Tit,6302,28.26
1090,Great White Egret,6108,27.39
1091,Great White Heron,5289,23.72
1092,Great White Pelican,3383,15.17
1093,Greater Adjutant,2309,10.35
1094,Greater Ani,2655,11.91
1095,Greater Antillean Bullfinch,2056,9.22
1096,Greater Antillean Grackle,791,3.55
1097,Greater Bird-of-paradise,710,3.18
1098,Greater Blue-eared Starling,781,3.50
1099,Greater Coucal,4064,18.22
1100,Greater Crested Tern,945,4.24
1101,Greater Flameback,2850,12.78
1102,Greater Flamingo,5035,22.58
1103,Greater Green Leafbird,1061,4.76
1104,Greater Honeyguide,1220,5.47
1105,Greater Pewee,1301,5.83
1106,Greater Rhea,3275,14.69
1107,Greater Roadrunner,2231,10.00
1108,Greater Sandplover,415,1.86
1109,Greater Scaup,2837,12.72
1110,Greater Spotted Eagle,2238,10.04
1111,Greater White-fronted Goose,735,3.30
1112,Greater Yellowlegs,1991,8.93
1113,Greater Yellownape,1076,4.83
1114,Green-backed Tit,1254,5.62
1115,Green-billed Coucal,766,3.43
1116,Green-billed Malkoha,1148,5.15
1117,Green-breasted Mango,262,1.17
1118,Green-cheeked Parakeet,1980,8.88
1119,Green-headed Tanager,644,2.89
1120,Green-tailed Towhee,1024,4.59
1121,Green-throated Carib,539,2.42
1122,Green-winged Teal,2558,11.47
1123,Green Barbet,2825,12.67
1124,Green Broadbill,2282,10.23
1125,Green Catbird,1715,7.69
1126,Green Cochoa,1038,4.65
1127,Green Hermit,5461,24.49
1128,Green Honeycreeper,1502,6.74
1129,Green Ibis,9918,44.48
1130,Green Inca,2999,13.45
1131,Green Iora,995,4.46
1132,Green Jay,4002,17.95
1133,Green Junglefowl,1016,4.56
1134,Green Kingfisher,7476,33.52
1135,Green Mango,12292,55.12
1136,Green Oriole,5065,22.71
1137,Green Parakeet,7813,35.04
1138,Green Peafowl,4128,18.51
1139,Green Pheasant,6996,31.37
1140,Green Rosella,5796,25.99
1141,Green Sandpiper,3719,16.68
1142,Green Turaco,2494,11.18
1143,Green Warbler,4732,21.22
1144,Green Woodhoopoe,669,3.00
1145,Greenish Warbler,3867,17.34
1146,Grenada Dove,2297,10.30
1147,Grey-backed Shrike,638,2.86
1148,Grey-crowned Warbler,239,1.07
1149,Grey-headed Albatross,939,4.21
1150,Grey-headed Lapwing,494,2.22
1151,Grey-headed Lovebird,843,3.78
1152,Grey-headed Woodpecker,1044,4.68
1153,Grey Bunting,5241,23.50
1154,Grey Bushchat,3290,14.75
1155,Grey Butcherbird,2949,13.22
1156,Grey Catbird,2361,10.59
1157,Grey Crow,5454,24.46
1158,Grey Crowned Crane,5598,25.10
1159,Grey Currawong,1520,6.82
1160,Grey Falcon,9290,41.66
1161,Grey Fantail,3986,17.87
1162,Grey Francolin,6227,27.92
1163,Grey Go-away-bird,1592,7.14
1164,Grey Goshawk,2166,9.71
1165,Grey Grasswren,567,2.54
1166,Grey Gull,6014,26.97
1167,Grey Hawk,6736,30.21
1168,Grey Heron,7749,34.75
1169,Grey Honeyeater,1705,7.65
1170,Grey Jay,2798,12.55
1171,Grey Junglefowl,1680,7.53
1172,Grey Kestrel,3064,13.74
1173,Grey Kingbird,1810,8.12
1174,Grey Nightjar,1570,7.04
1175,Grey Parrot,12348,55.37
1176,Grey Partridge,6319,28.34
1177,Grey Petrel,2368,10.62
1178,Grey Plover,3491,15.65
1179,Grey Teal,5315,23.83
1180,Grey Thrasher,4000,17.94
1181,Grey Tinamou,657,2.95
1182,Grey Tit,7082,31.76
1183,Grey Treepie,2919,13.09
1184,Grey Vireo,1430,6.41
1185,Grey Wagtail,5906,26.48
1186,Grey Whistler,3404,15.26
1187,Grey Woodpecker,5854,26.25
1188,Grey Wren,6574,29.48
1189,Greylag Goose,7713,34.59
1190,Griffon Vulture,5548,24.88
1191,Groove-billed Ani,733,3.29
1192,Grosbeak Starling,1569,7.04
1193,Ground Parrot,4707,21.11
1194,Ground Tit,3141,14.09
1195,Ground Woodpecker,2933,13.15
1196,Guadalcanal Moustached Kingfisher,137,0.61
1197,Guadalupe Murrelet,1640,7.35
1198,Guaiabero,2407,10.79
1199,Guam Kingfisher,1144,5.13
1200,Guam Rail,2313,10.37
1201,Guanay Cormorant,563,2.52
1202,Guayaquil Woodpecker,603,2.70
1203,Guianan Cock-of-the-rock,1300,5.83
1204,Guira Cuckoo,1077,4.83
1205,Gunnison Grouse,2842,12.74
1206,Gyrfalcon,8085,36.26
1207,Hadada Ibis,2399,10.76
1208,Hair-crested Drongo,1666,7.47
1209,Hairy Woodpecker,6607,29.63
1210,Hamerkop,4919,22.06
1211,Hammond's Flycatcher,1833,8.22
1212,Happy Wren,3584,16.07
1213,Hardhead,8105,36.35
1214,Harlequin Duck,7403,33.20
1215,Harlequin Quail,1329,5.96
1216,Harpy Eagle,1948,8.74
1217,Hawaii Creeper,2333,10.46
1218,Hawaiian Coot,1271,5.70
1219,Hawaiian Crow,2250,10.09
1220,Hawaiian Duck,3973,17.82
1221,Hawaiian Goose,2637,11.83
1222,Hawaiian Hawk,2371,10.63
1223,Hawaiian Petrel,2558,11.47
1224,Hawfinch,3268,14.65
1225,Hazel Grouse,2050,9.19
1226,Helmet Vanga,1879,8.43
1227,Helmeted Curassow,660,2.96
1228,Helmeted Friarbird,1779,7.98
1229,Helmeted Guineafowl,1511,6.78
1230,Helmeted Hornbill,2275,10.20
1231,Hen Harrier,4549,20.40
1232,Henderson Crake,1891,8.48
1233,Henderson Petrel,466,2.09
1234,Henslow's Sparrow,761,3.41
1235,Hepatic Tanager,1795,8.05
1236,Herald Petrel,816,3.66
1237,Hermit Thrush,7148,32.05
1238,Hermit Warbler,2692,12.07
1239,Hill Partridge,7314,32.80
1240,Hill Pigeon,11626,52.13
1241,Hill Prinia,1330,5.96
1242,Himalayan Bulbul,2112,9.47
1243,Himalayan Cuckoo,2610,11.70
1244,Himalayan Forest Thrush,765,3.43
1245,Himalayan Griffon,2575,11.55
1246,Himalayan Monal,3188,14.30
1247,Himalayan Owl,1798,8.06
1248,Himalayan Quail,3903,17.50
1249,Himalayan Snowcock,2343,10.51
1250,Hispaniolan Amazon,942,4.22
1251,Hispaniolan Trogon,2142,9.61
1252,Hoary Puffleg,721,3.23
1253,Hoatzin,5157,23.13
1254,Hooded Crane,569.5,2.55
1255,Hooded Grebe,2031,9.11
1256,Hooded Merganser,9256,41.51
1257,Hooded Oriole,4346,19.49
1258,Hooded Parrot,1902,8.53
1259,Hooded Pitohui,1728,7.75
1260,Hooded Plover,2958,13.26
1261,Hooded Robin,2676,12.00
1262,Hooded Siskin,1714,7.69
1263,Hooded Tanager,1366,6.13
1264,Hooded Treepie,846,3.79
1265,Hooded Vulture,1572,7.05
1266,Hooded Warbler,2430,10.90
1267,Hooded Wheatear,548,2.46
1268,Horned Grebe,2499,11.21
1269,Horned Guan,1604,7.19
1270,Horned Lark,2876,12.90
1271,Horned Parakeet,1634,7.33
1272,Horned Puffin,2917,13.08
1273,Horned Screamer,1642,7.36
1274,Horned Sungem,1702,7.63
1275,Horus Swift,645,2.89
1276,House Bunting,7884,35.35
1277,House Crow,10996,49.31
1278,House Finch,5576,25.00
1279,House Sparrow,6690,30.00
1280,House Swallow,8812,39.52
1281,House Swift,9089,40.76
1282,House Wren,6444,28.90
1283,Hudsonian Godwit,2388,10.71
1284,Humboldt Penguin,5445,24.42
1285,Hyacinth Macaw,11565,51.86
1286,Hypocolius,1594,7.15
1287,Ibadan Malimbe,1269,5.69
1288,Iberian Chiffchaff,1444,6.48
1289,Ibisbill,1266,5.68
1290,Iceland Gull,3854,17.28
1291,Icterine Warbler,925,4.15
1292,Iiwi,3756,16.84
1293,Imperial Amazon,9525,42.71
1294,Imperial Shag,773,3.47
1295,Imperial Woodpecker,1201,5.39
1296,Inaccessible Rail,2015,9.04
1297,Inca Dove,2641,11.84
1298,Inca Tern,2377,10.66
1299,Indian Blackbird,2449,10.98
1300,Indian Blue Robin,2099,9.41
1301,Indian Cormorant,1973,8.85
1302,Indian Courser,458,2.05
1303,Indian Cuckoo,4347,19.49
1304,Indian Golden Oriole,3206,14.38
1305,Indian Grey Hornbill,1743,7.82
1306,Indian Nightjar,975,4.37
1307,Indian Peafowl,5083,22.79
1308,Indian Pitta,6931,31.08
1309,Indian Robin,5947,26.67
1310,Indian Roller,6519,29.23
1311,Indian Silverbill,3373,15.13
1312,Indian Skimmer,2251,10.09
1313,Indian Spot-billed Duck,1187,5.32
1314,Indian Spotted Eagle,1824,8.18
1315,Indian Swiftlet,425,1.91
1316,Indian Vulture,7737,34.70
1317,Indian White-eye,866,3.88
1318,Indigo Bunting,2457,11.02
1319,Indigo Flycatcher,402,1.80
1320,Intermediate Egret,2214,9.93
1321,Iris Lorikeet,709,3.18
1322,Isabela Oriole,1356,6.08
1323,Isabelline Shrike,1538,6.90
1324,Isabelline Wheatear,2132,9.56
1325,Island Canary,6614,29.66
1326,Island Monarch,10117,45.37
1327,Island Thrush,4519,20.26
1328,Island Whistler,7347,32.95
1329,Italian Sparrow,5197,23.30
1330,Ivory-billed Woodpecker,459,2.06
1331,Ivory Gull,1907,8.55
1332,Jabiru,8657,38.82
1333,Jack Snipe,3276,14.69
1334,Jackal Buzzard,2475,11.10
1335,Jacky Winter,4405,19.75
1336,Jacobin Cuckoo,1988,8.91
1337,Jamaican Crow,4406,19.76
1338,Jamaican Mango,8505,38.14
1339,Jamaican Oriole,1157,5.19
1340,Jamaican Owl,2686,12.04
1341,Jamaican Petrel,415,1.86
1342,Jamaican Tody,525,2.35
1343,Jandaya Parakeet,726,3.26
1344,Japanese Cormorant,2165,9.71
1345,Japanese Grosbeak,598,2.68
1346,Japanese Murrelet,690,3.09
1347,Japanese Pygmy Woodpecker,803,3.60
1348,Japanese Quail,6309,28.29
1349,Japanese Robin,5004,22.44
1350,Japanese Sparrowhawk,1475,6.61
1351,Japanese Thrush,3288,14.74
1352,Japanese Wagtail,1095,4.91
1353,Japanese Waxwing,1092,4.90
1354,Japanese Woodpecker,3011,13.50
1355,Java Sparrow,4636,20.79
1356,Javan Green Magpie,1268,5.69
1357,Javan Hawk-eagle,545,2.44
1358,Javan Kingfisher,2002,8.98
1359,Javan Lapwing,910,4.08
1360,Javan Munia,2303,10.33
1361,Javan Myna,2666,11.96
1362,Javan Owlet,1537,6.89
1363,Jerdon's Babbler,233,1.04
1364,Jocotoco Antpitta,1069,4.79
1365,Jos Plateau Indigobird,712,3.19
1366,Juan Fernandez Firecrown,726,3.26
1367,Juan Fernandez Petrel,501,2.25
1368,Juan Fernandez Tit-tyrant,151,0.68
1369,Jungle Myna,2114,9.48
1370,Jungle Owlet,5051,22.65
1371,Jungle Prinia,708,3.17
1372,Junin Grebe,509,2.28
1373,Juniper Titmouse,799,3.58
1374,Kagu,10293,46.16
1375,Kakapo,5092,22.83
1376,Kalij Pheasant,972,4.36
1377,Karamoja Apalis,610,2.74
1378,Karoo Chat,2925,13.12
1379,Karoo Lark,979,4.39
1380,Karoo Thrush,2061,9.24
1381,Kashmir Flycatcher,1970,8.83
1382,Kauai Nukupuu,670,3.00
1383,Kea,5959,26.72
1384,Keel-billed Toucan,1791,8.03
1385,Kelp Goose,644,2.89
1386,Kelp Gull,1716,7.70
1387,Kentish Plover,2884,12.93
1388,Kentucky Warbler,3353,15.04
1389,Kerguelen Petrel,554,2.48
1390,Kerguelen Shag,786,3.52
1391,Kermadec Petrel,564,2.53
1392,Kikau,4729,21.21
1393,Killdeer,8391,37.63
1394,King Bird-of-paradise,1403,6.29
1395,King Eider,4029,18.07
1396,King of Saxony Bird-of-paradise,789,3.54
1397,King Penguin,7113,31.90
1398,King Rail,12080,54.17
1399,King Vulture,5433,24.36
1400,Kinglet Calyptura,328,1.47
1401,Kirtland's Warbler,878,3.94
1402,Knobbed Hornbill,1793,8.04
1403,Knysna Turaco,1562,7.00
1404,Koklass Pheasant,2039,9.14
1405,Kori Bustard,2835,12.71
1406,Kurdish Wheatear,807,3.62
1407,Ladder-backed Woodpecker,1447,6.49
1408,Laggar Falcon,1213,5.44
1409,Lake Duck,7870,35.29
1410,Lance-tailed Manakin,1005,4.51
1411,Lanceolated Warbler,529,2.37
1412,Lanner Falcon,3768,16.90
1413,Lapland Longspur,2236,10.03
1414,Lappet-faced Vulture,1602,7.18
1415,Large-billed Crow,1164,5.22
1416,Large-billed Reed-warbler,134,0.60
1417,Large-tailed Nightjar,717,3.22
1418,Large Frogmouth,1047,4.70
1419,Large Grey Babbler,3000,13.45
1420,Large Woodshrike,1583,7.10
1421,Lark Bunting,3876,17.38
1422,Lark Sparrow,4119,18.47
1423,Laughing Dove,5240,23.50
1424,Laughing Falcon,3453,15.48
1425,Laughing Gull,4003,17.95
1426,Laughing Kookaburra,5438,24.39
1427,Lava Gull,1016,4.56
1428,Lavender Waxbill,1481,6.64
1429,Laysan Albatross,2972,13.33
1430,Laysan Duck,1478,6.63
1431,Lazuli Bunting,3941,17.67
1432,Lazy Cisticola,655,2.94
1433,Leaden Flycatcher,2850,12.78
1434,Lear's Macaw,1503,6.74
1435,Least Auklet,383,1.72
1436,Least Bittern,3220,14.44
1437,Least Flycatcher,4652,20.86
1438,Least Grebe,1584,7.10
1439,Least Sandpiper,4576,20.52
1440,Least Tern,5279,23.67
1441,Lemon Dove,7829,35.11
1442,Lesser Adjutant,2427,10.88
1443,Lesser Black-backed Gull,2393,10.73
1444,Lesser Coucal,2497,11.20
1445,Lesser Crested Tern,2974,13.34
1446,Lesser Cuckoo,2155,9.66
1447,Lesser Flamingo,3165,14.19
1448,Lesser Florican,3899,17.48
1449,Lesser Frigatebird,3112,13.96
1450,Lesser Goldfinch,4625,20.74
1451,Lesser Grey Shrike,1671,7.49
1452,Lesser Kestrel,3465,15.54
1453,Lesser Masked Weaver,468,2.10
1454,Lesser Moorhen,469,2.10
1455,Lesser Nighthawk,2838,12.73
1456,Lesser Noddy,517,2.32
1457,Lesser Prairie-chicken,788,3.53
1458,Lesser Rhea,1065,4.78
1459,Lesser Roadrunner,919,4.12
1460,Lesser Scaup,5067,22.72
1461,Lesser Shortwing,984,4.41
1462,Lesser Spotted Eagle,3306,14.83
1463,Lesser Spotted Woodpecker,5434,24.37
1464,Lesser Yellowlegs,3003,13.47
1465,Levant Sparrowhawk,1335,5.99
1466,Lewin's Honeyeater,774,3.47
1467,Liben Lark,1057,4.74
1468,Light-vented Bulbul,1398,6.27
1469,Lilac-breasted Roller,2171,9.74
1470,Lilacine Amazon,793,3.56
1471,Limpkin,5401,24.22
1472,Lincoln's Sparrow,1107,4.96
1473,Lineated Barbet,2550,11.43
1474,Lineated Woodpecker,1174,5.26
1475,Lined Seedeater,679,3.04
1476,Little Auk,1349,6.05
1477,Little Bee-eater,1223,5.48
1478,Little Black Cormorant,1657,7.43
1479,Little Blue Heron,6366,28.55
1480,Little Brown Bustard,376,1.69
1481,Little Bunting,6398,28.69
1482,Little Bustard,2925,13.12
1483,Little Corella,4614,20.69
1484,Little Cormorant,6168,27.66
1485,Little Crake,1286,5.77
1486,Little Crow,10056,45.09
1487,Little Cuckoo,4379,19.64
1488,Little Curlew,2620,11.75
1489,Little Eagle,15166,68.01
1490,Little Egret,7361,33.01
1491,Little Friarbird,1201,5.39
1492,Little Grebe,3291,14.76
1493,Little Green Woodpecker,1461,6.55
1494,Little Gull,6231,27.94
1495,Little Hermit,5586,25.05
1496,Little Kingfisher,2711,12.16
1497,Little Lorikeet,3414,15.31
1498,Little Nightjar,626,2.81
1499,Little Owl,13332,59.78
1500,Little Penguin,10283,46.11
1501,Little Pied Cormorant,2493,11.18
1502,Little Pied Flycatcher,1250,5.61
1503,Little Raven,11053,49.57
1504,Little Ringed Plover,3831,17.18
1505,Little Shearwater,1905,8.54
1506,Little Spiderhunter,615,2.76
1507,Little Spotted Kiwi,1945,8.72
1508,Little Stint,3002,13.46
1509,Little Swift,5606,25.14
1510,Little Tern,3167,14.20
1511,Little Tinamou,710,3.18
1512,Little Wattlebird,1918,8.60
1513,Little Weaver,6783,30.42
1514,Little Woodpecker,4290,19.24
1515,Little Woodstar,643,2.88
1516,Little Woodswallow,941,4.22
1517,Livingstone's Turaco,594,2.66
1518,Lizard Buzzard,2315,10.38
1519,Loggerhead Kingbird,1106,4.96
1520,Loggerhead Shrike,5018,22.50
1521,Long-billed Corella,917,4.11
1522,Long-billed Curlew,2241,10.05
1523,Long-billed Dowitcher,2630,11.79
1524,Long-billed Murrelet,172.5,0.77
1525,Long-billed Thrasher,1311,5.88
1526,Long-legged Buzzard,1068,4.79
1527,Long-tailed Duck,2442,10.95
1528,Long-tailed Finch,582,2.61
1529,Long-tailed Jaeger,780,3.50
1530,Long-tailed Minivet,661,2.96
1531,Long-tailed Mockingbird,880,3.95
1532,Long-tailed Potoo,220,0.99
1533,Long-tailed Rosefinch,322,1.44
1534,Long-tailed Shrike,1125,5.04
1535,Long-tailed Tit,3157,14.16
1536,Long-tailed Widowbird,1004,4.50
1537,Long-toed Stint,750,3.36
1538,Long-wattled Umbrellabird,888,3.98
1539,Long-whiskered Owlet,417,1.87
1540,Louisiana Waterthrush,2311,10.36
1541,Lovely Cotinga,674,3.02
1542,Lucifer Hummingbird,3757,16.85
1543,Luzon Bleeding-heart,2220,9.96
1544,Luzon Hornbill,599,2.69
1545,Lyre-tailed Nightjar,327,1.47
1546,Macaroni Penguin,5164,23.16
1547,Madagascar Cuckoo,1109,4.97
1548,Madagascar Pochard,1573,7.05
1549,Madagascar Rail,1929,8.65
1550,Madagascar Red Owl,569,2.55
1551,Madagascar Sacred Ibis,685,3.07
1552,Madagascar Swift,3993,17.91
1553,Madagascar Teal,665,2.98
1554,Madanga,1278,5.73
1555,Madeira Firecrest,2071,9.29
1556,Magellanic Penguin,3597,16.13
1557,Magellanic Woodpecker,975,4.37
1558,Magnificent Bird-of-paradise,271,1.22
1559,Magnificent Frigatebird,6849,30.71
1560,Magnificent Hummingbird,2575,11.55
1561,Magnificent Riflebird,1517,6.80
1562,Magnolia Warbler,3636,16.30
1563,Magpie-lark,1230,5.52
1564,Magpie Goose,4061,18.21
1565,Magpie Starling,3892,17.45
1566,Maguari Stork,906,4.06
1567,Malabar Barbet,1760,7.89
1568,Malabar Grey Hornbill,1461,6.55
1569,Malabar Parakeet,1422,6.38
1570,Malabar Pied Hornbill,4395,19.71
1571,Malabar Trogon,3463,15.53
1572,Malachite Kingfisher,4611,20.68
1573,Malachite Sunbird,2011,9.02
1574,Maleo,8641,38.75
1575,Mali Firefinch,330,1.48
1576,Malia,4509,20.22
1577,Mallard,6560,29.42
1578,Mallee Emu-wren,447,2.00
1579,Malleefowl,2961,13.28
1580,Mandarin Duck,2759,12.37
1581,Maned Duck,1800,8.07
1582,Mangrove Cuckoo,1091,4.89
1583,Mangrove Finch,1606,7.20
1584,Mangrove Hummingbird,1122,5.03
1585,Mangrove Pitta,873,3.91
1586,Mangrove Swallow,431,1.93
1587,Mangrove Whistler,1373,6.16
1588,Manx Shearwater,5154,23.11
1589,Mao,16274,72.98
1590,Marabou,6193,27.77
1591,Marbled Frogmouth,872,3.91
1592,Marbled Godwit,4024,18.04
1593,Marbled Murrelet,3369,15.11
1594,Marbled Teal,1234,5.53
1595,Mariana Crow,2040,9.15
1596,Maroon-fronted Parrot,884,3.96
1597,Maroon Oriole,1416,6.35
1598,Marsh Babbler,723,3.24
1599,Marsh Owl,3308,14.83
1600,Marsh Sandpiper,2880,12.91
1601,Marsh Tit,3868,17.35
1602,Marsh Warbler,3059,13.72
1603,Marsh Wren,4605,20.65
1604,Martial Eagle,6591,29.56
1605,Marvelous Spatuletail,1809,8.11
1606,Mascarene Petrel,1007,4.52
1607,Masked Booby,2814,12.62
1608,Masked Bowerbird,1100,4.93
1609,Masked Duck,617.5,2.77
1610,Masked Finch,2810,12.60
1611,Masked Finfoot,811,3.64
1612,Masked Flowerpiercer,791,3.55
1613,Masked Lapwing,4411,19.78
1614,Masked Shrike,1016,4.56
1615,Masked Tityra,659,2.96
1616,Masked Trogon,820,3.68
1617,Maui Akepa,785,3.52
1618,Maui Nukupuu,219,0.98
1619,Maui Parrotbill,1623,7.28
1620,Mauritius Fody,1617,7.25
1621,Mauritius Kestrel,2166,9.71
1622,Mauritius Olive White-eye,654,2.93
1623,Mayotte Drongo,697,3.13
1624,McKay's Bunting,387,1.74
1625,Meadow Bunting,1441,6.46
1626,Meadow Pipit,2020,9.06
1627,Mediterranean Gull,2887,12.95
1628,Melancholy Woodpecker,1074,4.82
1629,Melodious Warbler,1278,5.73
1630,Merlin,10498,47.08
1631,Metallic Starling,1809,8.11
1632,Mew Gull,3374,15.13
1633,Mexican Hermit,1469,6.59
1634,Mexican Jay,7223,32.39
1635,Mexican Rail,5774,25.89
1636,Mexican Whip-poor-will,1520,6.82
1637,Micronesian Starling,967,4.34
1638,Middle Spotted Woodpecker,1676,7.52
1639,Mikado Pheasant,377.5,1.69
1640,Military Macaw,5285,23.70
1641,Milky Stork,2401,10.77
1642,Millerbird,828,3.71
1643,Mindanao Lorikeet,338,1.52
1644,Mindoro Bleeding-heart,1219,5.47
1645,Mississippi Kite,5800,26.01
1646,Mistle Thrush,5366,24.06
1647,Mistletoebird,877,3.93
1648,Mitred Parakeet,890,3.99
1649,Mongolian Finch,349,1.57
1650,Mongolian Lark,1624,7.28
1651,Monk Parakeet,5212,23.37
1652,Monotonous Lark,1015,4.55
1653,Montezuma Oropendola,3154,14.14
1654,Montezuma Quail,2195,9.84
1655,Montserrat Oriole,928,4.16
1656,Morepork,6534,29.30
1657,Morningbird,2608,11.70
1658,Mottled Duck,4883,21.90
1659,Mottled Owl,2932,13.15
1660,Mountain Barbet,2011,9.02
1661,Mountain Bluebird,6553,29.39
1662,Mountain Buzzard,3267,14.65
1663,Mountain Caracara,1005,4.51
1664,Mountain Chickadee,6589,29.55
1665,Mountain Chiffchaff,284,1.27
1666,Mountain Kingfisher,3244,14.55
1667,Mountain Oriole,1638,7.35
1668,Mountain Parakeet,2109,9.46
1669,Mountain Plover,2936,13.17
1670,Mountain Quail,8475,38.00
1671,Mountain Starling,1953,8.76
1672,Mountain Thrush,2068,9.27
1673,Mountain Warbler,1872,8.39
1674,Mountain Wren,4554,20.42
1675,Mourning Dove,7147,32.05
1676,Mourning Warbler,3425,15.36
1677,Moustached Flowerpiercer,228,1.02
1678,Moustached Puffbird,713,3.20
1679,Moustached Treeswift,425,1.91
1680,Moustached Warbler,859,3.85
1681,Mugimaki Flycatcher,2111,9.47
1682,Mulga Parrot,2759,12.37
1683,Multicolored Tanager,1042,4.67
1684,Muscovy Duck,11578,51.92
1685,Musician Wren,1064,4.77
1686,Musk Duck,1204,5.40
1687,Musk Lorikeet,5729,25.69
1688,Mute Swan,4735,21.23
1689,Myrtle Warbler,4123,18.49
1690,Nacunda Nighthawk,390,1.75
1691,Namaqua Dove,1137,5.10
1692,Namaqua Sandgrouse,822,3.69
1693,Nanday Parakeet,1749,7.84
1694,Nankeen Kestrel,2691,12.07
1695,Narcissus Flycatcher,1152,5.17
1696,Narcondam Hornbill,3422,15.35
1697,Narina Trogon,2761,12.38
1698,Nashville Warbler,4058,18.20
1699,Nazca Booby,2699,12.10
1700,Nechisar Nightjar,990,4.44
1701,Neddicky,2284,10.24
1702,Negros Bleeding-heart,1095,4.91
1703,Nelson's Sparrow,1382,6.20
1704,Neotropical Cormorant,573,2.57
1705,New Britain Rail,1468,6.58
1706,New Caledonian Crow,2915,13.07
1707,New Caledonian Owlet-nightjar,953,4.27
1708,New Holland Honeyeater,5494,24.64
1709,New Zealand Bellbird,2399,10.76
1710,New Zealand Falcon,5049,22.64
1711,New Zealand Fantail,4970,22.29
1712,New Zealand Kaka,3371,15.12
1713,New Zealand Pigeon,4122,18.48
1714,Nicobar Pigeon,4824,21.63
1715,Night Parrot,4706,21.10
1716,Nightingale Finch,1911,8.57
1717,Nihoa Finch,684,3.07
1718,Nile Valley Sunbird,396,1.78
1719,Nilgiri Flycatcher,1617,7.25
1720,Nilgiri Pipit,1050,4.71
1721,Noisy Friarbird,2749,12.33
1722,Noisy Miner,5121,22.96
1723,Noisy Pitta,2091,9.38
1724,Nonggang Babbler,452,2.03
1725,North Island Brown Kiwi,2050,9.19
1726,North Island Kokako,883,3.96
1727,North Island Robin,2355,10.56
1728,Northern Bald Ibis,2212,9.92
1729,Northern Bobwhite,3306,14.83
1730,Northern Boobook,657,2.95
1731,Northern Cardinal,3893,17.46
1732,Northern Carmine Bee-eater,591,2.65
1733,Northern Cassowary,2237,10.03
1734,Northern Fulmar,1460,6.55
1735,Northern Gannet,4408,19.77
1736,Northern Giant Petrel,1337,6.00
1737,Northern Goshawk,4639,20.80
1738,Northern Harrier,8028,36.00
1739,Northern House Martin,2797,12.54
1740,Northern Jacana,1411,6.33
1741,Northern Lapwing,893.5,4.01
1742,Northern Mockingbird,5860,26.28
1743,Northern Parula,4517,20.26
1744,Northern Pintail,4237,19.00
1745,Northern Potoo,2817,12.63
1746,Northern Pygmy-owl,1073,4.81
1747,Northern Red Bishop,2213,9.92
1748,Northern Rockhopper Penguin,2190,9.82
1749,Northern Rosella,2254,10.11
