,keyword,en_count,en_mean
2089,Rhinoceros Hornbill,4024,18.04
2090,Ribbon-tailed Astrapia,1651,7.40
2091,Richard's Pipit,1278,5.73
2092,Rifleman,14353,64.36
2093,Rimatara Lorikeet,317,1.42
2094,Ring-billed Gull,1596,7.16
2095,Ring-necked Dove,1452,6.51
2096,Ring-necked Duck,1926,8.64
2097,Ring Ouzel,4227,18.96
2098,Ringed Kingfisher,2398,10.75
2099,Ringed Teal,2610,11.70
2100,River Lapwing,1091,4.89
2101,River Tern,6746,30.25
2102,River Warbler,1475,6.61
2103,Riverside Wren,1938,8.69
2104,Roadside Hawk,2682,12.03
2105,Rock Bunting,2967,13.30
2106,Rock Dove,11516,51.64
2107,Rock Parrot,6873,30.82
2108,Rock Partridge,6468,29.00
2109,Rock Pipit,4002,17.95
2110,Rock Ptarmigan,2911,13.05
2111,Rock Sandpiper,3749,16.81
2112,Rock Shag,3913,17.55
2113,Rock Sparrow,3892,17.45
2114,Rock Wren,2533,11.36
2115,Rockrunner,4688,21.02
2116,Rockwarbler,691,3.10
2117,Rook,9875,44.28
2118,Rose-breasted Grosbeak,2470.5,11.08
2119,Rose-ringed Parakeet,2914,13.07
2120,Rose Robin,6864,30.78
2121,Roseate Spoonbill,5323,23.87
2122,Roseate Tern,2651,11.89
2123,Rosy-faced Lovebird,2473,11.09
2124,Rosy Starling,1823,8.17
2125,Rough-faced Shag,587,2.63
2126,Rough-legged Buzzard,1118,5.01
2127,Royal Cinclodes,526,2.36
2128,Royal Penguin,7078,31.74
2129,Royal Spoonbill,1426,6.39
2130,Royal Tern,5742,25.75
2131,Ruby-cheeked Sunbird,956,4.29
2132,Ruby-crowned Kinglet,2416,10.83
2133,Ruby-throated Hummingbird,3957,17.74
2134,Ruddy Duck,10793,48.40
2135,Ruddy Kingfisher,1073,4.81
2136,Ruddy Pigeon,869,3.90
2137,Ruddy Shelduck,3942,17.68
2138,Ruddy Turnstone,4491,20.14
2139,Ruff,9089,40.76
2140,Ruffed Grouse,5840,26.19
2141,Rufous-bellied Niltava,1404,6.30
2142,Rufous-bellied Thrush,1686,7.56
2143,Rufous-headed Hornbill,1076,4.83
2144,Rufous-legged Owl,1899,8.52
2145,Rufous-necked Hornbill,817,3.66
2146,Rufous-necked Wood-rail,173,0.78
2147,Rufous-tailed Hummingbird,414,1.86
2148,Rufous-tailed Robin,852,3.82
2149,Rufous Babbler,1515,6.79
2150,Rufous Bristlebird,729,3.27
2151,Rufous Fantail,1536,6.89
2152,Rufous Flycatcher,2502,11.22
2153,Rufous Hornero,2706,12.13
2154,Rufous Hummingbird,2577,11.56
2155,Rufous Motmot,1234,5.53
2156,Rufous Nightjar,566,2.54
2157,Rufous Owl,1827,8.19
2158,Rufous Potoo,726,3.26
