,keyword,mean
395,Blue-faced Honeyeater,5.69058296
396,Blue-footed Booby,12.03587444
397,Blue-fronted Redstart,6.071748879
398,Blue-grey Gnatcatcher,1.825112108
399,Blue-headed Parrot,5.076233184
400,Blue-headed Vireo,4.618834081
401,Blue-naped Parrot,3.125560538
402,Blue-streaked Lory,2.591928251
403,Blue-tailed Bee-eater,7.121076233
404,Blue-throated Barbet,1.995515695
405,Blue-throated Macaw,6.883408072
406,Blue-winged Kookaburra,4.085201794
407,Blue-winged Pitta,2.632286996
408,Blue-winged Teal,6.627802691
409,Blue-winged Warbler,9.565022422
410,Blue Bird-of-paradise,9.143497758
411,Blue Bunting,12.0941704
412,Blue Bustard,9.112107623
413,Blue Coua,3.928251121
414,Blue Crane,40.86098655
415,Blue Dacnis,11.68161435
416,Blue Duck,69.39910314
417,Blue Finch,25.22869955
418,Blue Grosbeak,15.50672646
419,Blue Jay,32
420,Blue Lorikeet,26.96412556
421,Blue Manakin,9.887892377
422,Blue Mockingbird,37.01793722
423,Blue Mountain Vireo,2.304932735
424,Blue Noddy,17.23766816
425,Blue Nuthatch,17.37219731
426,Blue Petrel,6.260089686
427,Blue Pitta,23.78026906
428,Blue Swallow,36.84753363
429,Bluebonnet,44.80269058
430,Bluethroat,11.15695067
431,Blyth's Pipit,1.470852018
432,Boat-billed Heron,6.206278027
433,Boat-tailed Grackle,8.143497758
434,Bobolink,38.26008969
435,Bohemian Waxwing,17.9955157
436,Bokmakierie,32.25112108
437,Bonaparte's Gull,6.627802691
438,Bonelli's Eagle,6.426008969
439,Bonin Petrel,2.156950673
440,Booted Eagle,33.17040359
441,Booted Warbler,5.623318386
442,Boreal Chickadee,10.83408072
443,Boreal Owl,14.73991031
444,Bornean Frogmouth,2.887892377
445,Bornean Peacock-pheasant,3.582959641
446,Bougainville Moustached Kingfisher,2.914798206
447,Boulder Chat,11.07623318
448,Bourke's Parrot,6.856502242
449,Brahminy Kite,24.79372197
450,Brahminy Starling,16.44843049
451,Brambling,35.52914798
452,Brazilian Merganser,5.65470852
453,Brazilian Ruby,30.26457399
454,Brazilian Tanager,6.515695067
455,Brazilian Teal,6.067264574
456,Brent Goose,23.03139013
457,Brewer's Blackbird,22.1793722
458,Brewer's Sparrow,9.497757848
459,Bridled Tern,8.264573991
460,Bridled Titmouse,3.201793722
461,Bridled White-eye,2.609865471
462,Broad-billed Hummingbird,6.623318386
463,Broad-billed Roller,1.013452915
464,Broad-billed Sandpiper,4.103139013
465,Broad-tailed Hummingbird,7.69955157
466,Broad-winged Hawk,13.13452915
467,Bronze-winged Courser,1.30044843
468,Bronze Mannikin,9.560538117
469,Bronzed Cowbird,9.434977578
470,Bronzed Drongo,4.080717489
471,Bronzy Inca,2.426008969
472,Brown-backed Solitaire,1.632286996
473,Brown-chested Martin,2.134529148
474,Brown-crested Flycatcher,4.089686099
475,Brown-eared Bulbul,7.174887892
476,Brown-headed Barbet,6.511210762
477,Brown-headed Cowbird,11.56502242
478,Brown-headed Gull,3.802690583
479,Brown-headed Nuthatch,7.304932735
480,Brown-hooded Gull,0.843049327
481,Brown-throated Sunbird,7.753363229
482,Brown Booby,14.39910314
