,species,gbif_mean,gbif_sum
466,Ampeliceps coronatus,93.8,1782
467,Ampelioides tschudii,216.1,4105
468,Ampelion rubrocristatus,817.9,15540
469,Ampelion rufaxilla,74.6,1417
470,Amphilais seebohmi,1.0,1
471,Amphispiza bilineata,14819.9,281578
472,Amphispiza quinquestriata,5.7,57
473,Amphispizopsis quinquestriata,316.2,6008
474,Amytornis ballarae,26.3,474
475,Amytornis barbatus,20.7,372
476,Amytornis dorotheae,15.4,247
477,Amytornis goyderi,47.9,862
478,Amytornis housei,8.4,143
479,Amytornis merrotsyi,19.7,354
480,Amytornis purnelli,55.2,993
481,Amytornis rowleyi,20.3,243
482,Amytornis striatus,89.6,1702
483,Amytornis textilis,121.5,2309
484,Amytornis whitei,19.3,308
485,Amytornis woodwardi,4.2,50
486,Anabacerthia amaurotis,95.6,1720
487,Anabacerthia striaticollis,896.6,17036
488,Anabacerthia variegaticeps,794.8,15101
489,Anabathmis hartlaubii,11.0,165
490,Anabathmis newtonii,37.2,669
491,Anabathmis reichenbachii,50.7,963
492,Anabazenops dorsalis,61.4,1167
493,Anabazenops fuscus,258.5,4911
494,Anairetes agilis,106.9,1924
495,Anairetes agraphia,37.3,672
496,Anairetes alpinus,37.5,675
497,Anairetes fernandezianus,6.5,78
498,Anairetes flavirostris,402.4,7646
499,Anairetes nigrocristatus,64.0,1152
500,Anairetes parulus,3478.6,66094
501,Anairetes reguloides,110.1,2091
502,Analisoma analis,11.8,225
503,Analisoma coerulescens,38.0,684
504,Analisoma ostenta,9.5,161
505,Anaplectes rubriceps,575.6,10937
506,Anarhynchus frontalis,398.4,7570
507,Anas acuta,113315.8,2153001
508,Anas acuta x platyrhynchos,15.5,294
509,Anas americana,117120.8,2225295
510,Anas aucklandica,11.8,213
511,Anas bahamensis,3423.6,65049
512,Anas bernieri,14.8,237
513,Anas capensis,2106.1,40015
514,Anas castanea,11387.0,216353
515,Anas chlorotis,234.5,4456
516,Anas clypeata,194865.5,3702445
517,Anas crecca,226249.6,4298743
518,Anas crecca x carolinensis,5.4,65
519,Anas crecca x Spatula querquedula,1.8,7
520,Anas cyanoptera,38204.2,725879
521,Anas discors,101178.5,1922392
522,Anas eatoni,22.6,294
523,Anas erythrorhyncha,4169.7,79224
524,Anas falcata,986.8,18750
525,Anas flavirostris,6443.2,122420
526,Anas formosa,399.3,7586
527,Anas fulvigula,23287.6,442464
528,Anas georgica,4812.0,91428
529,Anas gibberifrons,150.9,2868
530,Anas gracilis,16903.7,321171
531,Anas hottentota,1156.4,21971
532,Anas laysanensis,128.9,2321
533,Anas luzonica,6.6,106
534,Anas melleri,46.8,795
535,Anas nesiotis,13.4,201
536,Anas penelope,84596.4,1607332
537,Anas platalea,1580.5,30030
538,Anas platyrhynchos,911427.7,17317127
539,Anas platyrhynchos x crecca,3.8,30
540,Anas poecilorhyncha,15631.6,297000
541,Anas puna,549.2,10435
542,Anas punctata,1.0,3
543,Anas querquedula,20950.5,398060
544,Anas rhynchotis,4086.4,77642
545,Anas rubripes,91347.3,1735599
546,Anas rubripes x platyrhynchos,25.3,380
547,Anas sibilatrix,2578.3,48988
548,Anas smithii,2587.9,49170
549,Anas sparsa,2152.7,40902
550,Anas strepera,209376.4,3978151
551,Anas superciliosa,30903.9,587175
552,Anas undulata,9626.6,182906
553,Anas versicolor,1664.2,31619
554,Anas wyvilliana,297.8,5659
555,Anastomus lamelligerus,1389.6,26403
556,Anastomus oscitans,8498.7,161475
557,Ancistrops strigilatus,141.5,2688
558,Andigena cucullata,11.2,202
559,Andigena hypoglauca,347.1,6595
560,Andigena laminirostris,416.4,7912
561,Andigena nigrirostris,459.5,8730
562,Androdon aequatorialis,104.1,1874
563,Andropadus importunus,6106.6,116025
564,Androphobus viridis,1.3,5
565,Anhima cornuta,859.5,16331
566,Anhinga anhinga,48500.2,921504
567,Anhinga melanogaster,6010.6,114202
568,Anhinga novaehollandiae,9029.0,171551
569,Anhinga rufa,4965.3,94340
570,Anisognathus igniventris,1672.1,31770
571,Anisognathus lacrymosus,950.2,18053
572,Anisognathus melanogenys,140.3,2665
573,Anisognathus notabilis,323.6,6148
574,Anisognathus somptuosus,2050.1,38952
575,Anodorhynchus hyacinthinus,364.2,6919
576,Anodorhynchus leari,26.1,496
577,Anomalopteryx didiformis,1.0,1
578,Anomalospiza imberbis,189.9,3608
579,Anopetia gounellei,36.5,621
580,Anorrhinus austeni,33.7,640
581,Anorrhinus galeritus,220.8,4196
582,Anorrhinus tickelli,37.7,716
583,Anous minutus,1003.6,19069
584,Anous stolidus,1951.1,37070
585,Anous tenuirostris,120.2,2283
586,Anser albifrons,50960.1,968241
587,Anser albifrons x anser,1.6,18
588,Anser albifrons x Branta canadensis,8.9,160
589,Anser albifrons x Branta leucopsis,8.2,140
590,Anser albifrons x caerulescens,1.0,2
591,Anser albifrons x erythropus,1.5,9
592,Anser anser,142639.5,2710151
593,Anser anser x Branta canadensis,1310.8,24906
594,Anser anser x Branta leucopsis,16.8,268
595,Anser anser x caerulescens,1.8,24
596,Anser anser x indicus,3.4,54
