"","family","year","n"
"1658","Psittaculidae",2014,3365
"1659","Sulidae",2021,135943
"1660","Corcoracidae",2006,6318
"1661","Alaudidae",2004,50907
"1662","Passeridae",2021,2823208
"1663","Anseranatidae",2015,8279
"1664","Podargidae",2008,2545
"1665","Dicruridae",2016,130900
"1666","Apodidae",2004,48653
"1667","Zosteropidae",2011,44796
"1668","Otididae",2021,27276
"1669","Neosittidae",2019,3542
"1670","Tytonidae",2020,42886
"1671","Locustellidae",2007,21174
"1672","Aegothelidae",2021,3311
"1673","Orthonychidae",2016,1544
"1674","Neosittidae",2013,1903
"1675","Oreoicidae",2011,2388
"1676","Cisticolidae",2007,41949
"1677","Estrildidae",2022,19976
"1678","Pycnonotidae",2019,508041
"1679","Pomatostomidae",2021,12131
"1680","Tytonidae",2013,17259
"1681","Tytonidae",2008,11087
"1682","Tytonidae",2004,7971
"1683","Pycnonotidae",2005,45210
"1684","Dicaeidae",2006,7144
"1685",NA,2014,12803
"1686","Psittaculidae",2021,7187
"1687","Cisticolidae",2013,102101
"1688","Pittidae",2014,3914
"1689","Alaudidae",2020,564906
"1690","Oriolidae",2021,212182
"1691","Meropidae",2015,81713
"1692","Acanthizidae",2022,1775
"1693","Turnicidae",2015,2399
"1694","Rhipiduridae",2022,2266
"1695","Neosittidae",2005,1667
"1696","Psittaculidae",2006,2455
"1697","Alcedinidae",2022,23911
"1698","Neosittidae",2010,1731
"1699","Caprimulgidae",2010,39727
"1700","Sulidae",2012,66996
"1701","Monarchidae",2022,3915
"1702",NA,2017,22472
"1703","Cisticolidae",2004,21246
"1704","Dicruridae",2012,28613
"1705","Atrichornithidae",2010,77
"1706","Sulidae",2010,29844
"1707","Glareolidae",2006,2441
"1708","Acrocephalidae",2021,387526
"1709","Pandionidae",2007,52772
"1710","Pedionomidae",2018,34
"1711","Falconidae",2021,1732168
"1712","Orthonychidae",2012,668
"1713","Turnicidae",2013,1519
"1714","Psittaculidae",2009,2360
"1715","Coraciidae",2021,95557
"1716","Psittaculidae",2008,1944
"1717","Gruidae",2020,425450
"1718","Meliphagidae",2022,5496
"1719","Spheniscidae",2016,13462
"1720","Burhinidae",2007,7111
"1721","Ciconiidae",2006,22300
"1722","Burhinidae",2015,18498
"1723","Neosittidae",2008,1616
"1724","Tytonidae",2006,10211
"1725","Haematopodidae",2022,41265
"1726","Apodidae",2020,900768
"1727","Burhinidae",2008,6733
"1728","Pelecanidae",2005,26087
"1729","Pandionidae",2014,250444
"1730","Psittaculidae",2004,2437
"1731","Anhingidae",2013,52677
"1732","Pachycephalidae",2022,1130
"1733","Menuridae",2011,2219
"1734","Dicruridae",2008,16207
"1735","Ptilonorhynchidae",2021,30680
"1736","Acrocephalidae",2008,147182
"1737","Artamidae",2011,12149
"1738","Hydrobatidae",2017,28231
"1739","Dasyornithidae",2006,142
"1740","Orthonychidae",2004,403
"1741","Podicipedidae",2005,124472
"1742","Anhingidae",2012,40426
"1743","Burhinidae",2012,9778
"1744","Jacanidae",2007,5220
"1745","Atrichornithidae",2013,82
"1746","Pelecanidae",2021,555714
"1747","Cisticolidae",2009,97250
"1748","Pandionidae",2020,632199
"1749","Haematopodidae",2021,326416
"1750","Anhingidae",2005,9350
"1751","Gruidae",2010,86928
"1752","Anseranatidae",2011,3176
"1753","Caprimulgidae",2015,98227
"1754","Diomedeidae",2013,57775
"1755","Dicaeidae",2021,100373
"1756","Pandionidae",2021,717357
"1757",NA,2018,31145
"1758","Pomatostomidae",2013,5784
"1759","Haematopodidae",2013,145757
"1760",NA,2008,9169
"1761","Pandionidae",2010,104789
"1762",NA,2004,3761
"1763","Meropidae",2009,21733
"1764","Pittidae",2008,1117
"1765",NA,2005,3389
"1766","Paradisaeidae",2014,2442
"1767","Orthonychidae",2014,953
"1768","Stercorariidae",2010,21322
"1769","Recurvirostridae",2013,157620
"1770","Spheniscidae",2021,7572
"1771","Coraciidae",2017,59629
"1772","Tytonidae",2014,18069
"1773","Rostratulidae",2013,1198
"1774","Neosittidae",2007,1846
"1775","Burhinidae",2005,3686
"1776","Dicruridae",2005,11472
"1777","Dicruridae",2013,34417
"1778","Sulidae",2015,66406
"1779","Diomedeidae",2012,63202
"1780","Diomedeidae",2011,63324
"1781","Diomedeidae",2004,19038
"1782","Diomedeidae",2005,15018
"1783","Upupidae",2017,59888
"1784","Phaethontidae",2009,1524
"1785","Phaethontidae",2006,856
"1786","Spheniscidae",2015,11450
"1787","Pittidae",2011,1779
"1788","Phaethontidae",2016,4396
"1789","Pelecanoididae",2013,517
"1790","Phaethontidae",2007,1477
"1791","Fregatidae",2010,8256
"1792","Phoenicopteridae",2009,7204
"1793","Pittidae",2010,1592
"1794","Sulidae",2017,94778
"1795","Dromaiidae",2011,2155
"1796",NA,2013,12685
"1797","Fregatidae",2005,3703
"1798","Pittidae",2015,4160
"1799","Sulidae",2009,36821
"1800","Stercorariidae",2009,19173
"1801","Hydrobatidae",2007,9670
"1802","Sulidae",2013,136222
"1803","Phaethontidae",2018,7441
"1804","Aegithalidae",2015,187819
"1805","Troglodytidae",2015,1268435
"1806","Cardinalidae",2015,1615643
"1807","Parulidae",2015,2952695
"1808","Mimidae",2015,1032563
"1809","Stercorariidae",2008,16473
"1810","Trochilidae",2015,741446
"1811","Gaviidae",2015,234855
"1812","Picidae",2015,3167966
"1813","Trochilidae",2016,871681
"1814","Cardinalidae",2016,1936471
"1815","Parulidae",2016,3518963
"1816","Cathartidae",2016,1069399
"1817","Mimidae",2016,1213770
"1818","Icteridae",2016,3105450
"1819","Vireonidae",2016,783028
"1820","Alcidae",2016,157165
"1821","Thraupidae",2016,497023
"1822","Cotingidae",2016,70996
"1823","Cathartidae",2017,1303360
"1824","Dicruridae",2017,169475
"1825","Alcidae",2017,181331
"1826","Furnariidae",2017,279593
"1827","Thamnophilidae",2017,142000
"1828","Gaviidae",2017,292590
"1829","Cotingidae",2010,17370
"1830","Mimidae",2014,889064
"1831","Polioptilidae",2007,33305
"1832","Aegithinidae",2017,23626
"1833","Tyrannidae",2018,3605332
"1834","Mimidae",2011,420836
"1835","Coerebidae",2018,66331
"1836","Parulidae",2011,1232923
"1837","Trochilidae",2018,1473686
"1838","Parulidae",2018,5139126
"1839","Mimidae",2018,1720276
"1840","Cardinalidae",2018,2866468
"1841","Vireonidae",2018,1145132
"1842","Cathartidae",2018,1600931
"1843","Aegithinidae",2011,1833
"1844","Icteridae",2019,5102684
"1845","Trochilidae",2019,1797507
"1846","Cardinalidae",2019,3361577
"1847","Cathartidae",2019,1891094
"1848","Parulidae",2019,5821252
"1849","Vireonidae",2019,1353372
"1850","Ploceidae",2019,185840
"1851","Tinamidae",2019,67196
"1852","Alcidae",2019,228908
"1853","Furnariidae",2019,509385
"1854","Remizidae",2019,93920
"1855","Polioptilidae",2019,512821
"1856","Mimidae",2019,2011912
"1857","Bucerotidae",2019,86187
"1858","Sittidae",2020,2504044
"1859","Fregatidae",2020,56792
"1860","Nectariniidae",2020,319134
"1861","Formicariidae",2020,10880
"1862","Regulidae",2020,1224321
"1863","Thamnophilidae",2020,195035
"1864","Cotingidae",2020,131973
"1865","Paridae",2020,6019612
"1866","Megalaimidae",2020,199777
"1867","Vireonidae",2020,1635334
"1868","Bombycillidae",2020,732869
"1869","Parulidae",2020,7033012
"1870","Odontophoridae",2020,263850
"1871","Laniidae",2020,438846
"1872","Leiothrichidae",2020,188600
"1873","Muscicapidae",2020,1919912
"1874","Sulidae",2020,106481
"1875","Momotidae",2020,72140
"1876","Parulidae",2021,7622870
"1877","Mimidae",2021,2841414
"1878","Cathartidae",2021,2535667
"1879","Emberizidae",2021,11073886
"1880","Cardinalidae",2021,4889187
"1881","Tyrannidae",2021,5444056
"1882","Icteridae",2021,7049622
"1883","Sittidae",2021,2750823
"1884","Picidae",2021,9114055
"1885","Bucerotidae",2021,90086
"1886","Thraupidae",2021,1517732
"1887","Paridae",2021,6744883
"1888","Cisticolidae",2021,692553
"1889","Alaudidae",2021,679882
"1890","Motacillidae",2021,1447021
"1891","Polioptilidae",2021,555893
"1892","Apodidae",2021,974306
"1893","Trochilidae",2021,2350929
"1894","Dicruridae",2021,329452
"1895","Nectariniidae",2021,374896
"1896","Bombycillidae",2021,725240
"1897","Regulidae",2021,1233965
"1898","Alcidae",2021,274192
"1899","Furnariidae",2021,564358
"1900","Upupidae",2021,113732
"1901","Pteroclididae",2021,16633
"1902","Vireonidae",2007,113030
"1903","Icteridae",2011,1006232
"1904","Cathartidae",2012,455905
"1905","Parulidae",2012,1628004
"1906","Cardinalidae",2012,906068
"1907","Alcidae",2011,86310
"1908","Pandionidae",2012,159921
"1909","Gaviidae",2012,151705
"1910","Acanthisittidae",2012,383
"1911","Gaviidae",2013,176872
"1912","Icteridae",2013,1725100
"1913","Vireonidae",2013,441118
"1914","Cardinalidae",2013,1119226
"1915","Parulidae",2013,2055774
"1916","Mimidae",2013,708706
"1917","Parulidae",2014,2646299
"1918","Tyrannidae",2014,1527525
"1919","Regulidae",2014,491820
"1920","Cardinalidae",2014,1392199
"1921","Icteridae",2014,2164107
"1922","Sittidae",2014,703365
"1923","Remizidae",2014,39733
"1924","Cathartidae",2015,876987
"1925","Sittidae",2015,861453
"1926","Cinclidae",2010,21817
"1927","Thraupidae",2015,363735
"1928","Icteridae",2015,2588118
"1929","Galbulidae",2015,7795
"1930","Otididae",2004,2025
"1931","Pandionidae",2015,289055
"1932","Bucconidae",2006,2669
"1933","Gaviidae",2016,257245
"1934","Cathartidae",2013,576806
"1935","Remizidae",2017,66107
"1936","Bombycillidae",2017,422556
"1937","Leiothrichidae",2017,118405
"1938","Stercorariidae",2017,48204
"1939","Bombycillidae",2018,482195
"1940","Jacanidae",2018,67156
"1941","Megalaimidae",2018,140733
"1942","Polioptilidae",2018,417480
"1943","Fregatidae",2018,55892
"1944","Cisticolidae",2012,93558
"1945","Odontophoridae",2019,218927
"1946","Cisticolidae",2019,457825
"1947","Sulidae",2019,115849
"1948","Nectariniidae",2019,279110
"1949","Coerebidae",2019,90446
"1950","Ptilogonatidae",2020,68166
"1951","Cettiidae",2020,109557
"1952","Prunellidae",2020,192384
"1953","Cardinalidae",2009,455513
"1954","Aegithalidae",2020,418788
"1955","Musophagidae",2020,29879
"1956","Laniidae",2021,501016
"1957","Parulidae",2010,940788
"1958","Dromaiidae",2021,3938
"1959","Certhiidae",2021,471426
"1960","Muscicapidae",2021,2201323
"1961","Aegithalidae",2021,460353
"1962","Odontophoridae",2021,280517
"1963","Troglodytidae",2007,281922
"1964","Caprimulgidae",2008,24965
"1965","Cathartidae",2011,325930
"1966","Vireonidae",2011,248075
"1967","Tyrannidae",2012,955133
"1968","Vireonidae",2012,353536
"1969","Trochilidae",2012,352260
"1970","Regulidae",2006,112566
"1971","Polioptilidae",2013,154029
"1972","Trochilidae",2013,446528
"1973","Dicaeidae",2011,9641
"1974","Cathartidae",2014,729316
"1975","Paridae",2015,2512687
"1976","Bombycillidae",2015,337116
"1977","Vireonidae",2015,665272
"1978","Gaviidae",2010,99249
"1979","Megalaimidae",2016,78378
"1980","Ploceidae",2018,176677
"1981","Bucerotidae",2015,39253
"1982","Furnariidae",2018,385556
"1983","Paradisaeidae",2018,4964
"1984","Picidae",2008,768222
"1985","Thamnophilidae",2019,250568
"1986","Gaviidae",2019,349741
"1987","Fregatidae",2019,66045
"1988","Coliidae",2019,46007
"1989","Aegithinidae",2019,33352
"1990","Ptilogonatidae",2019,56097
"1991","Anseranatidae",2020,5982
"1992","Pycnonotidae",2020,581302
"1993","Capitonidae",2020,15528
"1994","Polioptilidae",2020,627367
"1995","Alcidae",2020,179622
"1996","Vireonidae",2021,1772511
"1997","Procellariidae",2021,158566
"1998","Odontophoridae",2007,24158
"1999","Icteridae",2010,807882
"2000","Trochilidae",2010,223887
"2001","Coerebidae",2013,14223
"2002","Laniidae",2015,237626
"2003","Phoenicopteridae",2016,32627
"2004","Trogonidae",2017,78119
"2005","Cracidae",2017,68191
"2006","Momotidae",2019,84315
"2007","Bombycillidae",2019,542144
"2008","Peucedramidae",2019,4748
"2009","Cotingidae",2012,20136
"2010","Ciconiidae",2020,300548
"2011","Meropidae",2021,280191
"2012","Dicruridae",2004,10498
"2013","Irenidae",2021,6739
"2014","Pipridae",2021,85481
"2015","Stercorariidae",2021,62891
"2016","Gruidae",2021,475671
"2017","Pycnonotidae",2021,691364
"2018","Certhiidae",2011,96359
"2019","Cardinalidae",2011,659022
"2020","Bombycillidae",2012,210276
"2021","Thraupidae",2013,172703
"2022","Phaethontidae",2013,2530
"2023","Paridae",2007,812337
"2024","Ploceidae",2014,83386
"2025","Bombycillidae",2014,274701
"2026","Tinamidae",2014,14738
"2027","Semnornithidae",2015,1514
"2028","Trogonidae",2015,42237
"2029","Trogonidae",2016,56904
"2030","Thamnophilidae",2018,196096
"2031","Cotingidae",2018,135567
"2032","Pipridae",2018,59050
"2033","Cracidae",2018,96701
"2034","Cettiidae",2019,102729
"2035","Dicruridae",2020,259544
"2036","Certhiidae",2020,402932
"2037","Sylviidae",2020,721865
"2038","Cinclidae",2021,58513
"2039","Megalaimidae",2021,231393
"2040","Thamnophilidae",2021,260744
"2041","Gaviidae",2006,59945
"2042","Rhinocryptidae",2009,2755
"2043","Trochilidae",2011,269054
"2044","Furnariidae",2014,100305
"2045","Odontophoridae",2015,124526
"2046","Furnariidae",2016,203189
"2047","Haematopodidae",2016,182162
"2048","Aramidae",2016,25589
"2049","Anseranatidae",2016,8292
"2050","Polioptilidae",2017,361214
"2051","Cisticolidae",2011,93004
"2052","Passerellidae",2018,9315
"2053","Malaconotidae",2018,91818
"2054","Jacanidae",2019,83190
"2055","Alcidae",2015,153372
"2056","Ramphastidae",2020,123680
"2057","Gaviidae",2020,383523
"2058","Cracidae",2019,127454
"2059","Coerebidae",2021,125573
"2060","Timaliidae",2009,10400
"2061","Ramphastidae",2021,156617
"2062","Jacanidae",2021,94143
"2063","Cettiidae",2012,31745
"2064","Mimidae",2009,273571
"2065","Regulidae",2009,177847
"2066","Thamnophilidae",2009,22205
"2067","Cardinalidae",2010,529035
"2068","Furnariidae",2012,55702
"2069","Megalaimidae",2006,5347
"2070","Stercorariidae",2015,41583
"2071","Tephrodornithidae",2015,6050
"2072","Diomedeidae",2018,28991
"2073","Anhimidae",2018,8311
"2074","Remizidae",2020,109013
"2075","Megalaimidae",2019,160790
"2076","Cathartidae",2007,120494
"2077","Gaviidae",2005,47203
"2078","Cathartidae",2008,152294
"2079","Cathartidae",2009,199053
"2080","Bombycillidae",2010,140750
"2081","Gaviidae",2011,121935
"2082","Sittidae",2008,231651
"2083","Odontophoridae",2012,63937
"2084","Mimidae",2012,577049
"2085","Bombycillidae",2013,229883
"2086","Aegithalidae",2014,163784
"2087","Alcidae",2014,119372
"2088","Thraupidae",2014,246260
"2089","Pellorneidae",2015,17587
"2090","Ploceidae",2015,109876
"2091","Stercorariidae",2007,18997
"2092","Ploceidae",2013,68770
"2093","Laniidae",2014,191730
"2094","Trogonidae",2020,96855
"2095","Stercorariidae",2012,27889
"2096","Upupidae",2020,95014
"2097","Cotingidae",2021,166307
"2098","Gaviidae",2021,432518
"2099","Polioptilidae",2015,247179
"2100","Ploceidae",2016,137225
"2101","Ploceidae",2017,157211
"2102","Momotidae",2018,68232
"2103","Pellorneidae",2019,39719
"2104","Pipridae",2020,62009
"2105","Calcariidae",2021,109227
"2106","Ciconiidae",2021,365022
"2107","Tinamidae",2021,75004
"2108","Nyctibiidae",2021,11797
"2109","Musophagidae",2021,39314
"2110","Polioptilidae",2009,59507
"2111","Pycnonotidae",2012,80144
"2112","Alcidae",2013,94946
"2113","Odontophoridae",2016,141259
"2114","Sulidae",2016,76749
"2115","Vireonidae",2010,208615
"2116","Ptilogonatidae",2018,53048
"2117","Polioptilidae",2011,84405
"2118","Aegithinidae",2018,29491
"2119","Cettiidae",2011,32058
"2120","Pandionidae",2008,65981
"2121","Malaconotidae",2019,91870
"2122","Platysteiridae",2019,22656
"2123","Megalaimidae",2012,13653
"2124","Stenostiridae",2021,19078
"2125","Trogonidae",2021,118596
"2126","Bucconidae",2010,4880
"2127","Leiothrichidae",2021,235211
"2128","Ploceidae",2021,212582
"2129","Regulidae",2010,243807
"2130","Polioptilidae",2012,111798
"2131","Jacanidae",2013,14351
"2132","Calcariidae",2013,46134
"2133","Certhiidae",2014,164822
"2134","Polioptilidae",2014,204984
"2135","Alaudidae",2014,254829
"2136","Upupidae",2015,33346
"2137","Pipridae",2019,77932
"2138","Mimidae",2008,207496
"2139","Certhiidae",2015,184330
"2140","Cotingidae",2015,52258
"2141","Fregatidae",2016,36325
"2142","Phoeniculidae",2017,15790
"2143","Regulidae",2008,175692
"2144","Numididae",2009,11202
"2145","Thamnophilidae",2010,29678
"2146","Grallariidae",2018,25401
"2147","Galbulidae",2019,27638
"2148","Timaliidae",2021,76242
"2149","Cathartidae",2004,66745
"2150","Trogonidae",2008,10241
"2151","Trochilidae",2009,173976
"2152","Cathartidae",2010,255747
"2153","Nectariniidae",2009,45231
"2154","Polioptilidae",2016,296035
"2155","Bombycillidae",2016,372247
"2156","Megalaimidae",2017,111992
"2157","Cinclidae",2020,48074
"2158","Bombycillidae",2009,105631
"2159","Sittidae",2005,120808
"2160","Fregatidae",2012,13302
"2161","Pipridae",2012,9925
"2162","Trogonidae",2013,21022
"2163","Troglodytidae",2008,314748
"2164","Cotingidae",2014,37063
"2165","Lybiidae",2014,30173
"2166","Bucconidae",2009,3667
"2167","Calcariidae",2017,65757
"2168","Aramidae",2018,38398
"2169","Momotidae",2010,6147
"2170","Cotingidae",2019,173854
"2171","Procellariidae",2020,103702
"2172","Ptilogonatidae",2005,3866
"2173","Pandionidae",2005,43644
"2174","Megalaimidae",2014,28685
"2175","Cettiidae",2015,51711
"2176","Thamnophilidae",2015,79874
"2177","Phylloscopidae",2006,174536
"2178","Aegithinidae",2016,17068
"2179","Burhinidae",2016,24725
"2180","Leiothrichidae",2012,20028
"2181","Leiothrichidae",2019,174880
"2182","Dicruridae",2019,235863
"2183","Bucconidae",2019,43234
"2184","Alcidae",2010,58748
"2185","Bombycillidae",2011,138797
"2186","Dicruridae",2010,22801
"2187","Odontophoridae",2011,51502
"2188","Aegithinidae",2013,2542
"2189","Odontophoridae",2014,97565
"2190","Stercorariidae",2014,37472
"2191","Timaliidae",2015,32048
"2192","Prunellidae",2017,144771
"2193","Hydrobatidae",2019,39395
"2194","Lybiidae",2019,64277
"2195","Caprimulgidae",2019,188336
"2196","Prionopidae",2019,5867
"2197","Pellorneidae",2020,34697
"2198","Jacanidae",2020,73378
"2199","Numididae",2020,24461
"2200","Aramidae",2021,48318
"2201","Burhinidae",2021,46365
"2202","Prunellidae",2021,227781
"2203","Remizidae",2021,107002
"2204","Ptilogonatidae",2012,13173
"2205","Coerebidae",2014,20157
"2206","Gaviidae",2014,203920
"2207","Platysteiridae",2016,17767
"2208","Rostratulidae",2018,5339
"2209","Ramphastidae",2018,120730
"2210","Ramphastidae",2016,61152
"2211","Trogonidae",2019,133467
"2212","Diomedeidae",2019,33835
"2213","Cracidae",2010,11602
"2214","Thamnophilidae",2014,55704
"2215","Cotingidae",2009,13059
"2216","Remizidae",2012,24130
"2217","Remizidae",2015,50835
"2218","Ramphastidae",2015,43933
"2219","Certhiidae",2004,32403
"2220","Thamnophilidae",2013,37911
"2221","Viduidae",2019,24552
"2222","Calcariidae",2019,73239
"2223","Viduidae",2020,24066
"2224","Anhimidae",2020,9709
"2225","Hydrobatidae",2021,36699
"2226","Cracidae",2021,128627
"2227","Polioptilidae",2010,70574
"2228","Ploceidae",2011,69123
"2229","Certhiidae",2006,42856
"2230","Momotidae",2014,16884
"2231","Trogonidae",2007,8461
"2232","Polioptilidae",2004,18673
"2233","Calcariidae",2016,59055
"2234","Vireonidae",2009,163536
"2235","Formicariidae",2017,9653
"2236","Tinamidae",2017,38147
"2237","Timaliidae",2019,64457
"2238","Galbulidae",2020,19704
"2239","Lybiidae",2020,56281
"2240","Malaconotidae",2020,84599
"2241","Phaethontidae",2020,4188
"2242","Jacanidae",2005,3726
"2243","Malaconotidae",2021,109852
"2244","Gaviidae",2009,91942
"2245","Recurvirostridae",2010,79016
"2246","Pipridae",2014,17719
"2247","Donacobiidae",2018,5029
"2248","Pteroclididae",2019,15442
"2249","Prunellidae",2012,84475
"2250","Anhimidae",2013,1296
"2251","Calcariidae",2004,17164
"2252","Phoenicopteridae",2020,44095
"2253","Momotidae",2021,90557
"2254","Rhinocryptidae",2011,3658
"2255","Furnariidae",2015,148533
"2256","Lybiidae",2017,54214
"2257","Ptilogonatidae",2017,39850
"2258","Nyctibiidae",2018,9593
"2259","Aramidae",2019,50187
"2260","Timaliidae",2005,6957
"2261","Megalaimidae",2015,55659
"2262","Musophagidae",2018,35121
"2263","Diomedeidae",2020,19837
"2264","Peucedramidae",2021,3917
"2265","Conopophagidae",2021,5567
"2266","Vireonidae",2008,130233
"2267","Momotidae",2015,24620
"2268","Cotingidae",2011,16604
"2269","Capitonidae",2018,16550
"2270","Todidae",2018,3854
"2271","Calcariidae",2020,81520
"2272","Rhinocryptidae",2020,26647
"2273","Cettiidae",2021,135995
"2274","Ptilogonatidae",2021,77068
"2275","Stercorariidae",2011,30503
"2276","Lybiidae",2021,72365
"2277","Anhimidae",2021,13783
"2278","Laniidae",2004,43535
"2279","Alcidae",2009,51645
"2280","Regulidae",2007,151797
"2281","Formicariidae",2015,5618
"2282","Paradisaeidae",2015,2710
"2283","Ptilogonatidae",2016,32046
"2284","Rhinocryptidae",2017,23231
"2285","Capitonidae",2017,10751
"2286","Cathartidae",2005,77379
"2287","Irenidae",2019,8282
"2288","Semnornithidae",2019,5181
"2289","Aramidae",2020,45401
"2290","Hypocoliidae",2020,247
"2291","Stenostiridae",2020,14758
"2292","Coerebidae",2012,10573
"2293","Trogonidae",2010,13430
"2294","Phoeniculidae",2018,17368
"2295","Timaliidae",2020,63888
"2296","Bucconidae",2018,34665
"2297","Bucerotidae",2020,69180
"2298","Galbulidae",2021,25497
"2299","Jacanidae",2017,53338
"2300","Calcariidae",2011,32393
"2301","Vangidae",2014,925
"2302","Formicariidae",2019,16280
"2303","Ploceidae",2020,174649
"2304","Passerellidae",2021,8973
"2305","Bombycillidae",2005,61364
"2306","Leiothrichidae",2011,18128
"2307","Bucconidae",2014,9926
"2308","Thamnophilidae",2016,103120
"2309","Stenostiridae",2014,3998
"2310","Anhimidae",2019,11358
"2311","Stercorariidae",2020,40959
"2312","Opisthocomidae",2007,422
"2313","Stenostiridae",2008,1829
"2314","Phylloscopidae",2005,139879
"2315","Cettiidae",2017,76372
"2316","Phoenicopteridae",2019,52128
"2317","Indicatoridae",2019,9039
"2318","Pellorneidae",2010,5569
"2319","Tephrodornithidae",2020,15120
"2320","Bucconidae",2021,37741
"2321","Bombycillidae",2008,83284
"2322","Bucerotidae",2004,3096
"2323","Leiothrichidae",2004,5753
"2324","Malaconotidae",2004,2192
"2325","Passerellidae",2020,10397
"2326","Capitonidae",2012,2268
"2327","Bombycillidae",2004,52826
"2328","Malaconotidae",2017,83778
"2329","Chloropseidae",2019,17883
"2330","Megalaimidae",2011,9892
"2331","Tephrodornithidae",2014,3859
"2332","Chloropseidae",2021,20796
"2333","Ptilogonatidae",2009,6675
"2334","Jacanidae",2014,19397
"2335","Cotingidae",2005,9519
"2336","Malaconotidae",2008,20341
"2337","Tinamidae",2018,55845
"2338","Aegithalidae",2006,37908
"2339","Bucerotidae",2010,13416
"2340","Stenostiridae",2012,2660
"2341","Eurypygidae",2021,3064
"2342","Sittidae",2004,98913
"2343","Coraciidae",2010,11252
"2344","Ptilogonatidae",2011,11188
"2345","Nectariniidae",2015,115135
"2346","Phoenicopteridae",2017,35133
"2347","Turnicidae",2018,5246
"2348","Lybiidae",2018,62758
"2349","Peucedramidae",2007,419
"2350","Viduidae",2018,23702
"2351","Tinamidae",2020,56596
"2352","Timaliidae",2014,20682
"2353","Gaviidae",2007,69039
"2354","Ramphastidae",2014,31219
"2355","Tinamidae",2015,22081
"2356","Aegithinidae",2015,10519
"2357","Bucconidae",2007,3364
"2358","Cariamidae",2017,2596
"2359","Pellorneidae",2013,8970
"2360","Nyctibiidae",2019,13233
"2361","Prunellidae",2014,107227
"2362","Aegithinidae",2020,42808
"2363","Cracidae",2016,50651
"2364","Galbulidae",2017,14819
"2365","Sittidae",2007,199769
"2366","Bombycillidae",2007,78822
"2367","Buphagidae",2020,8201
"2368","Chloropseidae",2020,17850
"2369","Fregatidae",2021,77418
"2370","Bernieridae",2013,509
"2371","Capitonidae",2008,1521
"2372","Stercorariidae",2019,61071
"2373","Tephrodornithidae",2010,1440
"2374","Rhinocryptidae",2021,37890
"2375","Certhiidae",2008,57912
"2376","Cracidae",2011,13004
"2377","Anseranatidae",2021,6615
"2378","Thamnophilidae",2012,32862
"2379","Anseranatidae",2013,3597
"2380","Aramidae",2017,32428
"2381","Burhinidae",2020,38599
"2382","Pellorneidae",2011,6942
"2383","Cracidae",2015,38892
"2384","Scopidae",2016,8305
"2385","Pittidae",2020,9072
"2386","Aegithinidae",2021,55369
"2387","Struthionidae",2021,7435
"2388","Panuridae",2021,27565
"2389","Scopidae",2021,12775
"2390","Fregatidae",2013,18072
"2391","Jacanidae",2015,31073
"2392","Pipridae",2016,34154
"2393","Scopidae",2015,6901
"2394","Trogonidae",2005,6938
"2395","Fregatidae",2015,81966
"2396","Cisticolidae",2010,84350
"2397","Capitonidae",2021,19308
"2398","Ramphastidae",2009,9728
"2399","Calcariidae",2014,52663
"2400","Coliidae",2004,832
"2401","Ploceidae",2005,130057
"2402","Coliidae",2020,42168
"2403","Galbulidae",2016,9447
"2404","Anseranatidae",2018,6312
"2405","Formicariidae",2018,14466
"2406","Phaethontidae",2015,4016
"2407","Malaconotidae",2005,6178
"2408","Malaconotidae",2016,74572
"2409","Coerebidae",2020,100573
"2410","Ciconiidae",2013,88543
"2411","Tinamidae",2016,28052
"2412","Stercorariidae",2016,40809
"2413","Indicatoridae",2018,8747
"2414","Formicariidae",2021,15703
"2415","Ploceidae",2012,65617
"2416","Aramidae",2014,12976
"2417","Jacanidae",2016,44069
"2418","Formicariidae",2016,7597
"2419","Phoeniculidae",2016,13833
"2420","Fregatidae",2017,45244
"2421","Irenidae",2020,6684
"2422","Sylviidae",2008,227009
"2423","Malaconotidae",2015,61406
"2424","Bucerotidae",2009,12567
"2425","Glareolidae",2017,14670
"2426","Grallariidae",2021,32933
"2427","Conopophagidae",2016,2551
"2428","Platysteiridae",2020,17562
"2429","Eurylaimidae",2021,4057
"2430","Viduidae",2013,8752
"2431","Pnoepygidae",2018,2689
"2432","Cinclidae",2015,33209
"2433","Ramphastidae",2011,14603
"2434","Aramidae",2012,7440
"2435","Pipridae",2015,26060
"2436","Bernieridae",2015,839
"2437","Scopidae",2020,8786
"2438","Paradisaeidae",2005,648
"2439","Remizidae",2007,11443
"2440","Cinclidae",2007,14608
"2441","Odontophoridae",2013,77062
"2442","Platysteiridae",2014,10792
"2443","Stenostiridae",2004,637
"2444","Macrosphenidae",2019,17004
"2445","Nectariniidae",2012,43865
"2446","Eurylaimidae",2013,1849
"2447","Ptilogonatidae",2015,24797
"2448","Leptosomidae",2017,448
"2449","Numididae",2018,28265
"2450","Dromadidae",2018,784
"2451","Grallariidae",2019,34074
"2452","Buphagidae",2019,12059
"2453","Diomedeidae",2021,26228
"2454","Coraciidae",2013,19137
"2455","Jacanidae",2009,6613
"2456","Laniidae",2005,49642
"2457","Opisthocomidae",2021,4345
"2458","Calcariidae",2006,19142
"2459","Thamnophilidae",2004,14004
"2460","Ptilogonatidae",2010,8387
"2461","Chloropseidae",2018,16597
"2462","Vangidae",2006,667
"2463","Passerellidae",2014,4759
