"","family","year","n"
"269","Anatidae",2018,10707193
"270","Alcedinidae",2016,676357
"271","Sittidae",2009,291260
"272","Emberizidae",2011,1758251
"273","Prunellidae",2009,191851
"274","Burhinidae",2013,11177
"275","Cuculidae",2010,140733
"276","Laniidae",2019,396701
"277","Meropidae",2018,180447
"278","Phalacrocoracidae",2010,328903
"279","Oriolidae",2009,28235
"280","Emberizidae",2012,2332155
"281","Remizidae",2016,55751
"282","Regulidae",2011,213681
"283","Strigidae",2017,461784
"284","Laridae",2017,4214853
"285","Podicipedidae",2013,562793
"286","Falconidae",2009,321052
"287","Picidae",2010,1108541
"288","Oriolidae",2012,31421
"289","Strigidae",2014,292580
"290","Accipitridae",2012,1756119
"291","Falconidae",2017,1059236
"292","Upupidae",2013,19054
"293","Alcedinidae",2018,890396
"294","Sturnidae",2012,685383
"295","Laniidae",2012,149660
"296","Hirundinidae",2017,2383742
"297","Burhinidae",2009,10622
"298","Sittidae",2012,548253
"299","Phylloscopidae",2011,312893
"300","Falconidae",2015,786313
"301","Phalacrocoracidae",2013,595258
"302","Cettiidae",2016,62722
"303","Podicipedidae",2010,302974
"304","Laridae",2016,3724661
"305","Laridae",2011,1430886
"306","Laniidae",2010,105514
"307","Laridae",2012,1734208
"308","Podicipedidae",2017,917837
"309","Scolopacidae",2013,1697952
"310","Strigidae",2012,216104
"311","Anatidae",2017,9193930
"312","Rallidae",2017,1225793
"313","Aegithalidae",2012,122216
"314","Charadriidae",2010,492087
"315","Cuculidae",2013,205187
"316","Troglodytidae",2010,435260
"317","Alcedinidae",2011,214028
"318","Motacillidae",2017,843658
"319","Picidae",2011,1310573
"320","Caprimulgidae",2012,54364
"321","Charadriidae",2011,564844
"322","Anatidae",2011,3793100
"323","Phasianidae",2017,563211
"324","Cettiidae",2013,31879
"325","Meropidae",2019,201986
"326","Cuculidae",2012,172544
"327","Meropidae",2013,36332
"328","Scolopacidae",2010,1069346
"329","Locustellidae",2009,26166
"330","Sittidae",2011,362042
"331","Phalacrocoracidae",2018,1394680
"332","Charadriidae",2016,1297001
"333","Scolopacidae",2017,2805140
"334","Laniidae",2017,311640
"335","Upupidae",2016,44669
"336","Upupidae",2019,89665
"337","Regulidae",2017,709482
"338","Locustellidae",2016,40134
"339","Phalacrocoracidae",2019,1565625
"340","Falconidae",2012,501833
"341","Cinclidae",2019,45597
"342","Sturnidae",2017,1729309
"343","Upupidae",2018,75783
"344","Pandionidae",2011,121814
"345","Certhiidae",2012,124237
"346","Strigidae",2013,237442
"347","Charadriidae",2017,1475411
"348","Ciconiidae",2019,295119
"349","Aegithalidae",2017,235861
"350","Remizidae",2010,16470
"351","Certhiidae",2010,86766
"352","Ciconiidae",2010,56308
"353","Ardeidae",2012,1305317
"354","Cinclidae",2017,42628
"355","Podicipedidae",2011,381428
"356","Pandionidae",2013,199616
"357","Regulidae",2012,330512
"358","Pandionidae",2009,81648
"359","Upupidae",2010,14558
"360","Phasianidae",2012,248119
"361","Laniidae",2011,132342
"362","Charadriidae",2019,1848845
"363","Sittidae",2013,614291
"364","Phasianidae",2011,216156
"365","Burhinidae",2019,38404
"366","Pelecanidae",2009,57112
"367","Caprimulgidae",2014,82723
"368","Accipitridae",2015,2800053
"369","Strigidae",2019,572015
"370","Cuculidae",2017,583543
"371","Troglodytidae",2011,494371
"372","Meropidae",2016,110513
"373","Tytonidae",2009,18662
"374","Caprimulgidae",2013,66117
"375","Phalacrocoracidae",2016,1015382
"376","Threskiornithidae",2009,121501
"377","Oriolidae",2011,29088
"378","Phalacrocoracidae",2011,388920
"379","Anatidae",2004,1266880
"380","Laridae",2004,475226
"381","Gaviidae",2004,48894
"382","Strigidae",2007,112599
"383","Anatidae",2008,2319623
"384","Laridae",2021,6265157
"385","Scolopacidae",2008,749131
"386","Scolopacidae",2004,482395
"387","Alcidae",2004,32656
"388","Podicipedidae",2004,110506
"389","Rallidae",2004,133552
"390","Laridae",2006,621541
"391","Anatidae",2006,1702028
"392","Ardeidae",2006,375374
"393","Phalacrocoracidae",2006,146309
"394","Procellariidae",2006,35572
"395","Anatidae",2005,1365406
"396","Anatidae",2007,2044754
"397","Alcidae",2008,48420
"398","Laridae",2008,852292
"399","Gaviidae",2008,78099
"400","Haematopodidae",2008,63007
"401","Rallidae",2008,256894
"402","Scolopacidae",2005,555456
"403","Recurvirostridae",2007,48280
"404","Haematopodidae",2010,202726
"405","Laridae",2015,3209271
"406","Alcidae",2006,40078
"407","Haematopodidae",2006,38048
"408","Gruidae",2018,336219
"409","Laridae",2005,510172
"410","Scolopacidae",2006,607594
"411","Laridae",2007,789934
"412","Gruidae",2019,352588
"413","Fringillidae",2015,3182564
"414","Ardeidae",2021,6071627
"415","Haematopodidae",2004,28131
"416","Phalacrocoracidae",2004,109116
"417","Sylviidae",2005,160608
"418","Fringillidae",2007,1039102
"419","Rallidae",2006,188712
"420","Stercorariidae",2006,14161
"421","Podicipedidae",2008,214309
"422","Ardeidae",2008,539977
"423","Picidae",2007,684253
"424","Haematopodidae",2007,54203
"425","Gruidae",2007,52511
"426","Phalacrocoracidae",2008,222325
"427","Recurvirostridae",2006,40803
"428","Scolopacidae",2007,706440
"429","Charadriidae",2008,342262
"430","Recurvirostridae",2019,398479
"431","Alaudidae",2012,184909
"432","Rallidae",2014,779343
"433","Cuculidae",2015,363431
"434","Phylloscopidae",2015,422473
"435","Charadriidae",2014,944426
"436","Accipitridae",2021,6862801
"437","Recurvirostridae",2017,285990
"438","Rallidae",2007,246700
"439","Ardeidae",2005,292426
"440","Procellariidae",2007,49696
"441","Charadriidae",2015,1091601
"442","Sylviidae",2015,413570
"443","Gruidae",2011,128681
"444","Podicipedidae",2006,157233
"445","Charadriidae",2006,251434
"446","Phasianidae",2015,401281
"447","Panuridae",2017,23450
"448","Corvidae",2021,11223497
"449","Sylviidae",2021,794778
"450","Accipitridae",2008,811806
"451","Ardeidae",2004,267600
"452","Scolopacidae",2011,1204458
"453","Strigidae",2005,91382
"454","Threskiornithidae",2017,537797
"455","Podicipitidae",2008,18
"456","Anatidae",2014,6444930
"457","Emberizidae",2015,4086297
"458","Picidae",2020,8326468
"459","Ardeidae",2020,5049304
"460","Rallidae",2015,934172
"461","Charadriidae",2004,198073
"462","Hirundinidae",2021,4218756
"463","Haematopodidae",2005,32451
"464","Haematopodidae",2018,488689
"465","Phalacrocoracidae",2005,119811
"466","Haematopodidae",2009,90226
"467","Gruidae",2009,74402
"468","Pandionidae",2017,404882
"469","Rallidae",2020,1772344
"470","Charadriidae",2007,313733
"471","Alcidae",2007,51082
"472","Accipitridae",2020,5955273
"473","Scolopacidae",2021,4600576
"474","Anatidae",2015,7174368
"475","Sylviidae",2007,241356
"476","Cuculidae",2022,24900
"477","Regulidae",2005,126572
"478","Accipitridae",2006,601930
"479","Phalacrocoracidae",2007,200316
"480","Phalacrocoracidae",2015,876176
"481","Accipitridae",2014,2381971
"482","Gruidae",2008,58799
"483","Anatidae",2020,13876912
