"","english_name","french_name","sci_name","spanish_name","en_count","en_mean","fr_count","fr_mean","spa_count","spa_mean"
"12957","Rufous-throated Dipper","Cincle a gorge rousse","Cinclus schulzii","Mirlo Acuatico Gorjirrufo",NA,NA,NA,NA,NA,NA
"12958","Red-billed Oxpecker","Piqueboeuf a bec rouge","Buphagus erythrorynchus","Picabueyes Piquirrojo",1188,5.33,NA,NA,NA,NA
"12959","Yellow-billed Oxpecker","Piqueboeuf a bec jaune","Buphagus africanus","Picabueyes Piquigualdo",571,2.56,NA,NA,NA,NA
"12960","Red-billed/Yellow-billed Oxpecker","Piqueboeuf a bec rouge ou P. a bec jaune","Buphagus erythrorynchus/africanus","Picabueyes Piquirrojo/Piquigualdo",NA,NA,NA,NA,NA,NA
"12961","Stripe-sided Rhabdornis","Rhabdornis a tete striee","Rhabdornis mystacalis","Rabdornis Comun",NA,NA,NA,NA,NA,NA
"12962","Long-billed Rhabdornis","Rhabdornis a long bec","Rhabdornis grandis","Rabdornis Grande",NA,NA,NA,NA,NA,NA
"12963","Stripe-breasted Rhabdornis","Rhabdornis a tete brune","Rhabdornis inornatus","Rabdornis Cabecipardo",NA,NA,NA,NA,NA,NA
"12964","Visayan Rhabdornis","Rhabdornis des Visayas","Rhabdornis rabori","Rabdornis de Rabor",NA,NA,NA,NA,NA,NA
"12965","Fiery-browed Myna","enode a sourcils rouges","Enodes erythrophris","Estornino Cejirrojo",NA,NA,NA,NA,NA,NA
"12966","Finch-billed Myna","Scissirostre des Celebes","Scissirostrum dubium","Estornino Culipinto",NA,NA,NA,NA,NA,NA
"12967","Metallic Starling","Stourne luisant","Aplonis metallica","Estornino Lustroso",1809,8.11,167,0.75,NA,NA
"12968","Metallic Starling (Violet-hooded)","Stourne luisant (circumscripta)","Aplonis metallica circumscripta","Estornino Lustroso (circumscripta)",NA,NA,NA,NA,NA,NA
"12969","Metallic Starling (Metallic)","Stourne luisant (groupe metallica)","Aplonis metallica [metallica Group]","Estornino Lustroso (grupo metallica)",NA,NA,NA,NA,NA,NA
"12970","Yellow-eyed Starling","Stourne de Grant","Aplonis mystacea","Estornino Ojigualdo",NA,NA,NA,NA,NA,NA
"12971","Tanimbar Starling","Stourne des Tanimbar","Aplonis crassa","Estornino de Las Tanimbar",NA,NA,NA,NA,NA,NA
"12972","Atoll Starling","Stourne des Fead","Aplonis feadensis","Estornino de Los Atolones",NA,NA,NA,NA,NA,NA
"12973","Rennell Starling","Stourne de Rennell","Aplonis insularis","Estornino de La Rennell",NA,NA,NA,NA,NA,NA
"12974","Long-tailed Starling","Stourne a longue queue","Aplonis magna","Estornino de La Biak",NA,NA,NA,NA,NA,NA
"12975","White-eyed Starling","Stourne aux yeux blancs","Aplonis brunneicapillus","Estornino Ojiblanco",NA,NA,NA,NA,NA,NA
"12976","Brown-winged Starling","Stourne des Salomon","Aplonis grandis","Estornino de Las Salomon",NA,NA,NA,NA,NA,NA
