"","masscentr","rangecentr","Migration","agriculture","invasive","residential","energy","transportation","resource_use","intrusion","nat_sys_modif","pollution","geological","climate_change","other","gbif_mean_scaled","mean","CITES_species","threatened"
"174",-1.525726952,-7.126444625,1,0,1,1,1,0,1,0,0,1,0,0,0,-0.149572355849776,0,0,1
"175",-1.709919417,-4.05700786,1,0,0,0,0,1,1,1,0,1,0,0,0,-0.14799054558877,0,0,0
"176",-1.525726952,1.862914867,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.142599530455324,0,0,0
"177",-1.58343527,0.826481713,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.148250322558464,0,0,0
"178",-1.300715987,-0.335652993,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149603220440235,0,0,0
"179",-1.498075421,-6.152442297,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149760115441733,0,0,0
"180",-1.300715987,-5.456502485,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149917010443231,0,0,0
"181",-1.06275735,1.420640368,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.147026027136937,0,0,0
"182",-1.471167968,-0.005391946,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.14846380264247,0,0,0
"183",-1.300715987,-4.06437707,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.149963307328919,0,0,0
"184",-1.300715987,-6.331439303,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.145984347208957,0,0,0
"185",-1.471167968,0.637372137,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.148757016251827,0,0,0
"186",-1.744208491,-9.172628034,1,0,1,0,0,0,0,1,0,0,0,0,0,-0.149927298640051,0,0,1
"187",-1.816529152,-0.626695249,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.144754907689021,0,0,0
"188",-1.411064044,-1.092303533,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.123538073797898,1.16,0,0
"189",-1.498075421,-0.025983944,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.120847710329585,0.636666667,0,0
"190",-1.525726952,1.557669162,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.143026490623336,0,0,0
"191",-1.300715987,-3.464513578,1,1,0,0,0,0,1,1,0,0,1,0,0,-0.149917010443231,0,0,0
"192",-1.256913364,-3.082854073,1,1,0,0,0,0,1,0,0,0,0,1,0,-0.149911866344822,0,0,0
"193",-1.028071792,1.24992101,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.137879820164355,0,0,0
"194",-0.895250879,1.193841049,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.140819672405542,0,0,0
"195",-0.427114664,2.775059745,1,0,0,0,0,0,0,0,0,0,0,0,0,0.224691668051921,0,0,0
"196",1.662400578,0.629223602,3,0,1,0,0,0,1,0,0,1,0,1,0,-0.134163209063291,1.91,0,0
"197",1.702451265,0.450117661,3,0,1,0,0,0,1,0,0,1,0,1,0,-0.134600457428122,1.466666667,0,0
"198",0.534846105,-1.365971104,3,0,1,0,0,0,0,0,0,0,0,1,0,-0.136318586296987,0.573333333,0,0
"199",0.822528177,-0.687195374,3,0,0,0,0,0,0,0,0,0,0,1,0,-0.148836749777178,0.856666667,0,0
"200",-2.509676,0.06772331,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149124819288126,0,0,0
"201",-1.935876,-3.531968,1,1,0,0,0,0,1,0,0,0,0,0,0,-0.14971124650684,0,0,0
"202",-2.247312,-2.022361,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.131886945516965,0.883333333,0,0
"203",-2.104211,-6.128806,1,1,0,0,0,0,1,0,0,0,0,0,0,-0.149883573803568,0,0,1
"204",-2.247312,-3.622775,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149973595525739,0,0,0
"205",-1.993863,-0.902853,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149060518058004,0,0,0
"206",-2.286533,2.635418,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.135580408175184,0,0,0
"207",-1.993863,-2.326293,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149677809867177,0,0,0
"208",-1.791837,0.8309808,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.143448306692938,0.513333333,0,0
"209",-2.247312,1.908541,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149950447082895,0,0,0
"210",-1.92189,-4.834549,1,0,0,0,1,0,0,0,0,0,0,0,0,-0.149217413059502,0,0,0
"211",-1.665956,-2.113215,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149237989453141,0,0,0
"212",-2.104211,-0.7118126,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149646945276718,0,0,0
"213",-1.964449,1.375939,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.128687316306084,0,0,0
"214",-1.950061,-3.054454,1,1,0,0,0,0,1,0,1,0,0,1,0,-0.149297146584853,0,0,0
"215",-2.071421,-0.1912543,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149232845354731,0,0,0
"216",-2.228264,1.883628,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.128093172939755,0,0,0
"217",-2.509676,-2.966167,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.148481806986904,0,0,0
"218",-1.993863,2.956574,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.102172061052891,9.493333333,0,0
"219",-2.104211,0.8428763,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.144245641946453,0,0,0
"220",-1.993863,-0.3616261,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.140845392897591,0,0,0
"221",3.253710636,1.004738249,1,1,0,0,1,0,1,1,0,0,0,0,0,-0.149955591181305,3.12,0,1
"222",2.640720904,-0.388513741,1,1,1,0,0,0,0,1,0,0,0,1,0,-0.140706502240527,0,1,1
"223",2.717413524,2.024756454,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0908241799609242,0,1,0
"224",2.44438861,3.424253745,1,1,0,0,0,0,1,0,0,0,0,0,0,-0.140948274865786,3.046666667,0,1
"225",-0.494773312,0.480317352,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.14730638050027,0,1,0
"226",-0.018539133,-0.64576254,1,0,1,0,0,0,1,0,0,0,0,0,0,-0.144003869321193,7.33,1,0
"227",-0.276977367,-0.189435354,1,0,0,0,0,0,1,0,1,0,0,0,0,-0.148440654199626,0,1,0
"228",-0.19466872,-2.879468071,1,1,1,0,0,0,1,0,1,0,0,1,0,-0.149397456503844,1.216666667,1,1
"229",0.062935897,-0.226791469,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.14522816474272,3.066666667,1,0
"230",-0.224746175,2.339837574,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.14765360714293,1.366666667,1,0
"231",0.089302773,0.578885123,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0999832471795313,3.696666667,1,0
"232",-0.20709124,1.767022685,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149865569459134,0,1,0
"233",0.155814254,0.467839647,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.147092900416264,0,1,0
"234",-0.08266366,2.682699,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0200259535471707,2.34,0,0
"235",-0.0310393,-4.137369,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.147725624520667,0.513333333,0,0
"236",-0.304153,-0.8368926,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.138509972219552,8.123333333,0,0
