species_code,avibase_code,taxon_order,category,primary_com_name,cur_alternate_com_name,sci_name,com_name_locale_code
resvan1,avibase-0CAB08FA,19213,species,Red-shouldered Vanga,Vanga Hombrorrojo,Calicalicus rufocarpalis,es
nuthat2,avibase-667C4DAB,19214,species,Nuthatch-Vanga,Vanga Trepador,Hypositta corallirostris,es
chavan2,avibase-AD014578,19215,species,Chabert Vanga,Vanga Chabert,Leptopterus chabert,es
chavan1,avibase-1843066D,19216,issf,Chabert Vanga (Chabert),Vanga Chabert (chabert),Leptopterus chabert chabert,es
chavan3,avibase-E8F2F3E2,19217,issf,Chabert Vanga (White-tailed),Vanga Chabert (schistocercus),Leptopterus chabert schistocercus,es
crobab1,avibase-9E483E48,19218,species,Crossley's Vanga,Tordina Malgache,Mystacornis crossleyi,es
bluvan1,avibase-DB5D67FD,19219,species,Blue Vanga,Vanga Azul,Cyanolanius madagascarinus,es
bluvan2,avibase-AF4CF9F8,19220,issf,Blue Vanga (Comoro),Vanga Azul (comorensis/bensoni),Cyanolanius madagascarinus comorensis/bensoni,es
bluvan3,avibase-FCBB03B8,19223,issf,Blue Vanga (Madagascar),Vanga Azul (madagascarinus),Cyanolanius madagascarinus madagascarinus,es
hobvan1,avibase-CA9D7671,19224,species,Hook-billed Vanga,Vanga Picudo,Vanga curvirostris,es
hobvan2,avibase-C92CD99C,19225,issf,Hook-billed Vanga (Hook-billed),Vanga Picudo (curvirostris),Vanga curvirostris curvirostris,es
hobvan3,avibase-220A1AAE,19226,issf,Hook-billed Vanga (Black-crowned),Vanga Picudo (cetera),Vanga curvirostris cetera,es
warfly1,avibase-7BB35115,19227,species,Ward's Flycatcher,Bias de Ward,Pseudobias wardi,es
rufvan1,avibase-6814C645,19228,species,Rufous Vanga,Vanga Rufo,Schetba rufa,es
rufvan2,avibase-71C889B0,19229,issf,Rufous Vanga (rufa),Vanga Rufo (oriental),Schetba rufa rufa,es
rufvan3,avibase-C632F504,19230,issf,Rufous Vanga (occidentalis),Vanga Rufo (occidental),Schetba rufa occidentalis,es
helvan1,avibase-E5EC5D38,19231,species,Helmet Vanga,Vanga de Casco,Euryceros prevostii,es
bervan1,avibase-68E5CE2D,19232,species,Bernier's Vanga,Vanga de Bernier,Oriolia bernieri,es
sibvan1,avibase-3A343C0C,19233,species,Sickle-billed Vanga,Vanga Piquicurvo,Falculea palliata,es
whhvan1,avibase-C141B912,19234,species,White-headed Vanga,Vanga Cabeciblanco,Artamella viridis,es
whhvan2,avibase-AECAC8C5,19235,issf,White-headed Vanga (viridis),Vanga Cabeciblanco (oriental),Artamella viridis viridis,es
whhvan3,avibase-FB0970D6,19236,issf,White-headed Vanga (annae),Vanga Cabeciblanco (occidental),Artamella viridis annae,es
polvan1,avibase-01877F66,19237,species,Pollen's Vanga,Vanga de Pollen,Xenopirostris polleni,es
lafvan1,avibase-FE3B4759,19238,species,Lafresnaye's Vanga,Vanga de Lafresnaye,Xenopirostris xenopirostris,es
vadvan1,avibase-4DAB9A41,19239,species,Van Dam's Vanga,Vanga de Van Dam,Xenopirostris damii,es
vangid1,avibase-F9D52DA9,19240,spuh,Vangidae sp.,Vangidae sp.,Vangidae sp.,es
borbri1,avibase-5B196640,19241,species,Bornean Bristlehead,Gimnocefalo,Pityriasis gymnocephala,es
comior1,avibase-EEC311EA,19242,species,Common Iora,Iora Comun,Aegithina tiphia,es
whtior1,avibase-C3E4EF0E,19254,species,White-tailed Iora,Iora Coliblanca,Aegithina nigrolutea,es
y00890,avibase-ECD48B7F,19255,slash,Common/White-tailed Iora,Iora Comun/Coliblanca,Aegithina tiphia/nigrolutea,es
greior2,avibase-418B6BE2,19256,species,Green Iora,Iora Verde,Aegithina viridissima,es
greior1,avibase-D00A485D,19259,species,Great Iora,Iora Grande,Aegithina lafresnayei,es
brubru1,avibase-967545BC,19263,species,Brubru,Brubru,Nilaus afer,es
norpuf1,avibase-7DE7F0ED,19273,species,Northern Puffback,Cubla del Gambia,Dryoscopus gambensis,es
pripuf1,avibase-706FEEB4,19278,species,Pringle's Puffback,Cubla de Pringle,Dryoscopus pringlii,es
blbpuf2,avibase-00855728,19279,species,Black-backed Puffback,Cubla Dorsinegra,Dryoscopus cubla,es
reepuf1,avibase-AFE5B0C4,19285,species,Red-eyed Puffback,Cubla Senegalesa,Dryoscopus senegalensis,es
pifpuf1,avibase-201E1243,19286,species,Pink-footed Puffback,Cubla Patirrosada,Dryoscopus angolensis,es
labpuf1,avibase-DEE6CC4D,19290,species,Sabine's Puffback,Cubla de Sabine,Dryoscopus sabini,es
puffba1,avibase-0C72A85C,19293,spuh,puffback sp.,Dryoscopus sp.,Dryoscopus sp.,es
martch2,avibase-7DCA1C1E,19294,species,Marsh Tchagra,Chagra Marismena,Tchagra minutus,es
martch1,avibase-9FFEA7C6,19295,issf,Marsh Tchagra (Marsh),Chagra Marismena (minutus),Tchagra minutus minutus,es
martch3,avibase-654BB235,19296,issf,Marsh Tchagra (Anchieta's),Chagra Marismena (de Anchieta/de Reichenow),Tchagra minutus anchietae/reichenowi,es
bkctch1,avibase-022798AB,19299,species,Black-crowned Tchagra,Chagra del Senegal,Tchagra senegalus,es
bkctch2,avibase-02972D84,19300,issf,Black-crowned Tchagra (Hooded),Chagra del Senegal (cucullatus),Tchagra senegalus cucullatus,es
bkctch3,avibase-6E5BE71A,19301,issf,Black-crowned Tchagra (Black-crowned),Chagra del Senegal (grupo senegalus),Tchagra senegalus [senegalus Group],es
