,Spanish.name
934,Ganga Bicinta
935,Ganga Cuadricinta
936,Ganga de Lichtenstein
937,Ganga India
938,Guacharo
939,Podargo de Las Salomon
940,Podargo Ocelado
941,Podargo Papu
942,Podargo Australiano
943,Podargo Orejudo
944,Podargo del Dulit
945,Podargo Filipino
946,Podargo Estrellado
947,Podargo de Ceilan
948,Podargo Colilargo
949,Podargo Colicorto
950,Podargo de Borneo
951,Podargo de Java
952,Podargo Cornudo
953,Nictibio Grande
954,Nictibio Colilargo
955,Nictibio Jamaicano
956,Nictibio Urutau
957,Nictibio Andino
958,Nictibio Aliblanco
960,Chotacabras Argos
961,Chotacabras Bigotudo
962,Chotacabras de Las Salomon
963,Chotacabras de Nueva Caledonia
964,Chotacabras Diabolico
965,Chotacabras de Archbold
966,Chotacabras Papu
967,Chotacabras Orejudo
968,Chotacabras de Temminck
969,Chotacabras Acollarado
970,Anapero nacunda
971,Anapero Menudo
972,Anapero Yanqui
973,Anapero Querequete
974,Anapero Garrapena
975,Anapero Blanco
976,Anapero Colicorto
977,Anapero Ventrirrufo
978,Anapero Colibandeado
979,Anapero de Bahia
980,Chotacabras Negruzco
981,Chotacabras Pigmeo
983,Chotacabras nanarca
984,Chotacabras Serrano
985,Chotacabras Pauraque
986,Chotacabras de Anthony
987,Chotacabras Pantanero
988,Chotacabras Aliblanco
989,Chotacabras Golondrina
990,Chotacabras Lira
991,Chotacabras de Todd
992,Chotacabras Chico
993,Chotacabras del Roraima
994,Chotacabras Guayanes
995,Chotacabras de Escalera
996,Chotacabras Tijereta
997,Chotacabras Coliblanco
998,Chotacabras Colipinto
999,Chotacabras Coludo
1000,Chotacabras Jamaicano
1001,Chotacabras Torico
1002,Chotacabras del Choco
1003,Chotacabras Prio
1004,Chotacabras Yucateco
1005,Chotacabras Ocelado
1006,Chotacabras Pachacua
1007,Chotacabras Cuerporruin Norteno
1008,Chotacabras Cuerporruin Mexicano
1009,Chotacabras Puertorriqueno
1010,Chotacabras Fuliginoso
1011,Chotacabras Tucuchillo
1012,Chotacabras Ticuer
1013,Chotacabras Guatemalteco
1014,Chotacabras Coladeseda
1015,Chotacabras de La Carolina
1016,Chotacabras Colorado
1017,Chotacabras Cubano
1019,Chotacabras Cuellirrojo
1020,Chotacabras de Jungla
1021,Chotacabras Jotaka
1022,Chotacabras de Palaos
1023,Chotacabras Europeo
1024,Chotacabras Oscuro
1025,Chotacabras Carirrojo
1026,Chotacabras Egipcio
1027,Chotacabras de Mahratta
1029,Chotacabras Nubio
1030,Chotacabras Dorado
1031,Chotacabras Maraja
1032,Chotacabras Macruro
1033,Chotacabras de Mees
1034,Chotacabras de Andaman
1035,Chotacabras Filipino
1036,Chotacabras de Celebes
1037,Chotacabras de Bonaparte
1038,Chotacabras de Salvadori
1039,Chotacabras Espinero
1040,Chotacabras Musico
1041,Chotacabras Montano
1042,Chotacabras Hindu
1043,Chotacabras Malgache
1044,Chotacabras del Natal
1045,Chotacabras de Nechisar
1046,Chotacabras Sencillo
1047,Chotacabras Estrellado
1048,Chotacabras de Sabana
1049,Chotacabras Pecoso
1050,Chotacabras de Prigogine
1051,Chotacabras de Bates
1052,Chotacabras Rabudo
1053,Chotacabras Colifino
1054,Chotacabras de Fosse
1055,Chotacabras Portaestandarte
1056,Chotacabras Cuelgacintas
1058,Egotelo de Nueva Caledonia
1059,Egotelo Grande
1060,Egotelo de Rand
1061,Egotelo Moluqueno
1062,Egotelo Australiano
1063,Egotelo Afin
1064,Egotelo Barrado
1065,Egotelo de Wallace
1066,Egotelo de Archbold
1067,Egotelo Montano
1068,Vencejo Arboricola Coronado
1069,Vencejo Arboricola Culigris
1070,Vencejo Arboricola Chico
1071,Vencejo Arboricola Bigotudo
1072,Vencejo Cuatroojos
1073,Vencejo Barbiblanco
1074,Vencejo Frentiblanco
1075,Vencejo Negro
1076,Vencejo Pechiblanco
1077,Vencejo Parduzco
1078,Vencejo Negruzco
1079,Vencejo Canoso
1080,Vencejo Cuellirrojo
1081,Vencejo de Tepuy
1082,Vencejo Acollarado
1083,Vencejo Nuquiblanco Brasileno
1084,Vencejo Nuquiblanco Mexicano
1085,Vencejo Filipino
1086,Vencejo Papu
1087,Vencejo Malgache
1088,Vencejo de Santo Tome
1089,Vencejo Indio
1090,Vencejo de Baobab
1091,Vencejo del Ituri
1092,Vencejo Culiplata
1093,Vencejo de Sabine
1094,Vencejo de Cassin
1095,Vencejo de Böhm
1096,Vencejo Costarricense
1097,Vencejo Lomiblanco
1098,Vencejo de Martinica
1099,Vencejo Ceniciento
1100,Vencejo Egregio
1101,Vencejo de Vaux
1102,Vencejo Colicenizo
1103,Vencejo de Chimenea
1104,Vencejo de Chapman
1105,Vencejo de Tormenta
1106,Vencejo Rabon
1107,Vencejo Mongol
1108,Vencejo de La Cochinchina
1109,Vencejo Gigante
1110,Vencejo de Celebes
1111,Salangana Chica
1112,Salangana Linchi
1113,Salangana Lustrosa
1114,Salangana Gigante
1115,Salangana Papu
1116,Salangana de Whitehead
1117,Salangana Tarsidesnuda
1118,Salangana de Guadalcanal
1119,Salangana de Halmahera
1120,Salangana Montana
1121,Salangana Australiana
1122,Salangana del Himalaya
1123,Salangana de Los Volcanes
1124,Salangana Nidonegro
1125,Salangana de Vanikoro
1126,Salangana de Las Cook
1127,Salangana Polinesia
1128,Salangana de Las Carolinas
1129,Salangana de Las Palau
1130,Salangana de Guam
1131,Salangana Filipina
1132,Salangana Culiblanca
1133,Salangana de Malabar
1134,Salangana de Las Mascarenas
1135,Salangana de Las Seychelles
1136,Salangana Nidoblanco
1137,Salangana de La Sonda
1138,Vencejo de Shoa
1139,Vencejo Gorjiblanco
1140,Vencejo Montanes
1141,Vencejo Andino
1142,Vencejillo Antillano
1143,Vencejillo Venezolano
1144,Vencejillo Tijereta
