,keyword,spa_count,spa_mean
631,Quetzal Guatemalteco,3702,16.68
632,Rabijunco Etereo,900,4.05
633,Rascon de Cuvier,315,1.42
634,Rascon Weka,185,0.83
635,Reinita de Kentucky,184,0.83
636,Reinita Estriada,859,3.87
637,Reinita Trepadora,738,3.32
638,Remolinera Ventriblanca,1183,5.33
639,Reyezuelo Listado,1491,6.72
640,Reyezuelo Sencillo,896,4.04
641,Saltarin Alitorcido,839,3.78
642,Saltarin Azul,974,4.39
643,Saltarin Coronidorado,100,0.45
644,Saltarin Enano,1372,6.18
645,Sapayoa,675,3.04
646,Sastrecillo Comun,621,2.80
647,Secretario,8294,37.36
648,Semillero de Barbados,261,1.18
649,Serin Verdecillo,1481,6.67
650,Serreta Chica,526,2.37
651,Sietecolores,2187,9.85
652,Sinsonte de Floreana,347,1.56
653,Sinsonte Tropical,590,2.66
654,Solitario Negro,5637,25.39
655,Somormujo Cuellirrojo,742,3.34
656,Somormujo Lavanco,1733,7.81
657,Tangara Multicolor,786,3.54
658,Tangara Verde,6807,30.66
659,Tantalo Africano,458,2.06
660,Tarabilla Canaria,782,3.52
661,Tarro Blanco,6189,27.88
662,Tarro Canelo,976,4.40
663,Tejedor Baya,1081,4.87
664,Tejedor Dorado Asiatico,238,1.07
665,Tejedor Republicano,178.5,0.80
666,Terrera Comun,1058,4.77
667,Tigana,3298,14.86
668,Tirano Griton,510,2.30
669,Tirano Oriental,1088,4.90
670,Tordina Cejinegra,148,0.67
671,Tordo Amarillo,2982,13.43
672,Tordo Musico,1558,7.02
673,Tordo Renegrido,3063,13.80
674,Torillo Andaluz,889,4.00
675,Torillo Tanki,209,0.94
676,Tortola Europea,2203,9.92
677,Tortola Oriental,676,3.05
678,Tortola Rosigris,1545,6.96
679,Tortola Turca,3427,15.44
680,Tortolita Mexicana,2280,10.27
681,Trepador Azul,3427,15.44
682,Treparriscos,4134,18.62
683,Trogon Malabar,3491,15.73
684,Trompetero Aligris,685,3.09
685,Tucan Pechiblanco,444,2.00
686,Tucan Toco,3401,15.32
687,Tucanete Culirrojo,266,1.20
688,Turaco de Guinea,612,2.76
689,Turaco de Knysna,427,1.92
690,Turaco de Livingstone,446,2.01
691,Turaco de Ross,438,1.97
692,Turpial Amarillo,3683,16.59
693,Turpial Venezolano,1761,7.93
694,Urraca Comun,4531,20.41
695,Urraca de Formosa,1278,5.76
696,Urraca Negra,2935,13.22
697,Urraca Verde,2330,10.50
698,Vencejo Cafre,1734,7.81
699,Vencejo Comun,2698,12.15
700,Vencejo Mongol,2170,9.77
701,Vencejo Moro,466,2.10
702,Vencejo Palido,401,1.81
703,Verderon Comun,2510,11.31
704,Verderon Serrano,1715,7.73
705,Verdugo Flautista,632,2.85
706,Vinago Cuellirrosa,267,1.20
707,Viuda del Paraiso,1618,7.29
708,Viuda Real,5025,22.64
709,Yacutoro,1718,7.74
