,keyword,mean
584,Petirrojo Europeo,7.130630631
585,Petrel de Barau,3.207207207
586,Petrel de Bulwer,2.684684685
587,Petrel de Galapagos,7.373873874
588,Petrel Freira,1.063063063
589,Petrel Niveo,2.009009009
590,Petroica Carbonera,2.036036036
591,Petroica Encarnada,2.513513514
592,Peutren,6.445945946
593,Picabuey,9.202702703
594,Picamaderos Negro,9.923423423
595,Pico del Himalaya,14.29279279
596,Pico Menor,26.51801802
597,Pico Mexicano,40.99099099
598,Pico Picapinos,10.62162162
599,Picogordo Comun,3.635135135
600,Picogrueso Pechirrosado,1.04954955
601,Picozapato,6.578828829
602,Pigargo Americano,5.058558559
603,Pigargo Europeo,4.594594595
604,Pigargo Gigante,22.74774775
605,Pigargo Oriental,5.279279279
606,Pintada Negra,29.28828829
607,Pintada Vulturina,5.572072072
608,Pinzon Real,13.11261261
609,Pinzon Vulgar,10.77027027
610,Piquero Pardo,5.063063063
611,Piquero Patirrojo,1.486486486
612,Piquero Peruano,4.036036036
613,Pirincho,14.77477477
614,Pita Azul,15.74774775
615,Pita India,27.27927928
616,Pitohui Bicolor,2.851351351
617,Platanero,35.7972973
618,Pluvial,62.09009009
619,Podargo Australiano,2.756756757
620,Podargo de Ceilan,1.310810811
621,Podargo Orejudo,1.333333333
622,Podargo Papu,0.990990991
623,Polluela Pintoja,5.675675676
624,Porron Bola,2.454954955
625,Porron Malgache,1.504504505
626,Porron Maori,0.815315315
627,Porron Osculado,1.563063063
628,Porron Pardo,4.756756757
629,Potoyunco Peruano,4.675675676
630,Quebrantahuesos,13.95945946
631,Quetzal Guatemalteco,16.67567568
632,Rabijunco Etereo,4.054054054
633,Rascon de Cuvier,1.418918919
634,Rascon Weka,0.833333333
635,Reinita de Kentucky,0.828828829
636,Reinita Estriada,3.869369369
637,Reinita Trepadora,3.324324324
638,Remolinera Ventriblanca,5.328828829
639,Reyezuelo Listado,6.716216216
640,Reyezuelo Sencillo,4.036036036
641,Saltarin Alitorcido,3.779279279
642,Saltarin Azul,4.387387387
643,Saltarin Coronidorado,0.45045045
644,Saltarin Enano,6.18018018
645,Sapayoa,3.040540541
646,Sastrecillo Comun,2.797297297
647,Secretario,37.36036036
648,Semillero de Barbados,1.175675676
649,Serin Verdecillo,6.671171171
650,Serreta Chica,2.369369369
651,Sietecolores,9.851351351
652,Sinsonte de Floreana,1.563063063
653,Sinsonte Tropical,2.657657658
654,Solitario Negro,25.39189189
655,Somormujo Cuellirrojo,3.342342342
656,Somormujo Lavanco,7.806306306
657,Tangara Multicolor,3.540540541
658,Tangara Verde,30.66216216
659,Tantalo Africano,2.063063063
660,Tarabilla Canaria,3.522522523
661,Tarro Blanco,27.87837838
662,Tarro Canelo,4.396396396
663,Tejedor Baya,4.869369369
664,Tejedor Dorado Asiatico,1.072072072
665,Tejedor Republicano,0.804054054
666,Terrera Comun,4.765765766
667,Tigana,14.85585586
668,Tirano Griton,2.297297297
669,Tirano Oriental,4.900900901
670,Tordina Cejinegra,0.666666667
671,Tordo Amarillo,13.43243243
672,Tordo Musico,7.018018018
673,Tordo Renegrido,13.7972973
674,Torillo Andaluz,4.004504505
675,Torillo Tanki,0.941441441
676,Tortola Europea,9.923423423
677,Tortola Oriental,3.045045045
