"","species","English.name","X","Sequence","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","result.taxonid","result.category","threatened","agriculture","invasive","residential","energy","transportation","resource_use","instrusion","nat_sys_modif","pollution","geological","climate_change","other","rangecentr","masscentr","winglength_ok"
"3081","Estrilda thomensis","Cinderella Waxbill",1409,9783,"Estrildidae","Passeriformes","AVIBASE-3161DF72",3,2,1,0,3,9.6,6.7,4.4,5,13.9,51.6,7.4,44.2,14.4,50.3,7.6,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Herbivore","Granivore","Insessorial",-17.56,-9.34,-14.49,13.78,87604.65,22719528,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0.56422065,-2.473650824,-0.440413208
"3082","Estrilda poliopareia","Anambra Waxbill",1407,9784,"Estrildidae","Passeriformes","AVIBASE-A25AFBEA",5,2,3,0,4,9.6,6.7,4.3,6.1,15.1,47.4,9.4,37.9,19.9,40.4,7.5,"EltonTraits_GenAvg",NA,"NO",NA,NA,"Shrubland",2,1,"Herbivore","Granivore","Insessorial",4.28,7.4,5.64,6.08,43938.47,22719543,2,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.12582318,-2.48689605,-0.457650279
"3083","Estrilda rufibarba","Arabian Waxbill",1408,9788,"Estrildidae","Passeriformes","AVIBASE-5E163A46",4,2,2,0,4,9.9,7.3,4.3,5.2,15,47.6,9.2,38.5,19.2,46.5,8.5,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Herbivore","Granivore","Generalist",13,18.63,15.29,44.69,86115.99,22719566,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.54708168,-2.361732908,-0.456829466
"3084","Cryptospiza shelleyi","Shelley's Crimsonwing",1401,9801,"Estrildidae","Passeriformes","AVIBASE-1C1A87C4",1,0,1,0,1,12.1,9.5,6.8,8,21.4,64,10.1,53.9,15.8,49,17.6,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Granivore","Terrestrial",-5.3,0.83,-2.14,29.05,46042.02,22719374,4,1,1,0,0,1,0,1,0,0,0,0,0,0,-0.07905897,-1.633900169,-0.38952281
"3085","Parmoptila rubrifrons","Red-fronted Antpecker",1420,9813,"Estrildidae","Passeriformes","AVIBASE-6B6E52A1",3,1,1,1,2,11.3,6.8,3.6,3.2,13,46.5,6.4,40,13.9,36.5,9.5,"Dunning",NA,"NO",NA,NA,"Forest",2,2,"Carnivore","Invertivore","Insessorial",4.6,10.32,6.55,-7.94,97502.69,22735256,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0.67126654,-2.250507272,-0.461343937
"3086","Amandava formosa","Green Avadavat",1399,9819,"Estrildidae","Passeriformes","AVIBASE-7423EBDD",5,2,3,0,4,10.6,7.9,4.7,5.3,14.1,47.7,4.5,42.9,9.4,38.9,9,"Updated_literature","Birdcare Avicultural","NO",NA,NA,"Grassland",2,1,"Omnivore","Granivore","Terrestrial",17.02,25.03,21.68,78.29,686385.24,22719618,3,1,1,0,0,0,0,1,0,1,1,0,0,0,2.62282561,-2.304574494,-0.45641906
"3087","Paludipasser locustella","Locust Finch",1419,9821,"Estrildidae","Passeriformes","AVIBASE-EF6293B7",4,2,2,0,4,9.1,5.2,3.8,5,15.5,44.5,6.4,38,14.5,30,10.6,"Inferred",NA,"YES","Body Mass","Ortygospiza atricollis","Grassland",3,1,"Herbivore","Granivore","Terrestrial",-20.53,10.34,-10.09,27.21,731202.26,22719645,1,0,1,0,0,0,0,1,0,0,0,0,1,0,2.68607668,-2.14094507,-0.469552066
"3088","Lonchura vana","Grey-banded Mannikin",1417,9845,"Estrildidae","Passeriformes","AVIBASE-D6BEA296",1,0,1,0,1,9.5,6.7,5.8,6.9,10.9,49,7.8,41.2,15.9,36,13.3,"EltonTraits_GenAvg",NA,"NO",NA,NA,"Grassland",3,1,"Herbivore","Granivore","Generalist",-1.4,-0.64,-0.69,132.87,29.06,22719861,3,1,1,0,0,0,0,0,0,0,0,0,1,0,-7.447006052,-1.914035036,-0.451083776
"3089","Lonchura stygia","Black Mannikin",1416,9853,"Estrildidae","Passeriformes","AVIBASE-D8C80CAF",3,1,2,0,3,11.9,8.3,6.7,8,15.3,51.2,10.4,40.7,20.4,37,11.2,"Dunning",NA,"NO",NA,NA,"Grassland",3,1,"Herbivore","Granivore","Insessorial",-8.59,-6.06,-7.77,140.77,18694.09,22719890,2,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.980406,-2.085885293,-0.442054834
"3090","Lonchura monticola","Alpine Mannikin",1414,9855,"Estrildidae","Passeriformes","AVIBASE-21E64EAC",2,0,0,2,1,11.6,8.3,6.7,7.7,17.2,63,12,51,19,46,13.3,"EltonTraits_GenAvg",NA,"NO",NA,NA,"Grassland",3,1,"Herbivore","Granivore","Insessorial",-9.57,-7.77,-8.53,147.37,5354.89,22719900,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-2.230603269,-1.914035036,-0.393626874
